"Time"	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W

0	0.1499948	0.7700662	0.0871655	0.3637353	0.5779682	0.1310714	0.0864185	0.0723811	0.0790423	0.6262263
50	0.2600895	0.4501537	0.1012086	0.3244935	0.7422619	0.0798872	0.1108211	0.0470653	0.0589503	0.7127708
100	0.2489798	0.4741129	0.1536841	0.3156955	0.6311172	0.0940902	0.0610066	0.0269927	0.0473227	0.6355901
150	0.2300138	0.4420800	0.0735031	0.1972880	0.6722782	0.0484376	0.0936109	0.0567032	0.0952264	0.7431036
200	0.4043451	0.5648909	0.0689609	0.1526798	0.7050776	0.0785225	0.0763838	0.0516570	0.0319871	0.5996813
250	0.3402972	0.4197519	0.0396508	0.1955667	0.6495951	0.0944481	0.0512157	0.0547843	0.0864128	0.8075757
300	0.2733526	0.4878283	0.0501702	0.1453029	0.6013020	0.0904720	0.0405460	0.0731598	0.0197229	0.8128008
350	0.2514711	0.5107964	0.0247270	0.1627439	0.5815562	0.0595003	0.0359325	0.0454771	0.0848462	0.6414940
400	0.3249580	0.4535264	0.0330713	0.1795778	0.5560960	0.1270557	0.0385511	0.0632970	0.0569898	0.6134538
450	0.3130421	0.5086569	0.0355622	0.1791665	0.6471116	0.0938137	0.0169081	0.0543028	0.0957339	0.6981522
500	0.2406041	0.5290900	0.0332072	0.2206507	0.5994356	0.1571924	0.0546352	0.0738383	0.0395115	0.6374129
550	0.2017636	0.4360700	0.0338382	0.1652663	0.6586676	0.1307284	0.0325975	0.0991301	0.0628131	0.7295854
600	0.2792984	0.6797572	0.0124589	0.1837602	0.7248753	0.1485963	0.0232809	0.0563950	0.0406292	0.8729714
650	0.3386480	0.6768036	0.0341727	0.1529499	0.6529159	0.1851266	0.0467781	0.0505176	0.0628990	0.8747904
700	0.2530975	0.8472314	0.0607427	0.2306151	0.5859098	0.1427059	0.0383403	0.0320884	0.0610023	0.8112713
750	0.2358010	0.6850469	0.0471431	0.2724607	0.5894253	0.1506576	0.0377259	0.0592280	0.0365140	0.7257020
800	0.2299575	0.7386918	0.0868634	0.2492171	0.6685163	0.0799685	0.0439150	0.0432353	0.0414493	0.7385652
850	0.2411284	0.6258936	0.0987803	0.2555086	0.6100862	0.1333129	0.0640569	0.0577491	0.0527863	0.7034276
900	0.2482824	0.6495332	0.0384530	0.2863691	0.6593874	0.1006423	0.1141477	0.0582944	0.0409747	0.8267805
950	0.2405788	0.6853056	0.0898839	0.3352068	0.6957924	0.0993845	0.0533719	0.0603996	0.0987929	0.7268319
1000	0.1725492	0.6141368	0.0451045	0.2695448	0.6280550	0.0878610	0.0607877	0.0271518	0.0466064	0.7426637

0	0.1566550	0.7626721	0.0529159	0.2706318	0.5983213	0.0811380	0.0749371	0.0373736	0.1030471	0.8864648
50	0.2065271	0.6083272	0.0740551	0.3091885	0.5776813	0.2396036	0.0658263	0.2428729	0.0605804	0.8038978
100	0.2347047	0.8099125	0.1641527	0.3556779	0.5390812	0.1996215	0.0656493	0.5295932	0.0286381	0.6897255
150	0.3238815	0.4861138	0.0606609	0.3893961	0.4370596	0.4445528	0.0311646	0.7074208	0.0451037	0.6203843
200	0.2145550	0.5506023	0.1465032	0.3033365	0.2493058	0.5739318	0.0596503	0.8077125	0.0543566	0.7017725
250	0.2686244	0.6468516	0.0887620	0.2132441	0.2874629	0.6286368	0.0437857	0.7472182	0.0362740	0.7667080
300	0.4246870	0.7220115	0.0765834	0.2358053	0.2174571	0.6603978	0.0238160	0.7934099	0.0292695	0.7688327
350	0.2919553	0.7459793	0.0445362	0.2310136	0.2982367	0.7562169	0.0187062	0.7427362	0.0404032	0.7980486
400	0.2671179	0.6364213	0.0447520	0.3429741	0.1778488	0.6646502	0.0083162	0.7539908	0.0604730	0.7922797
450	0.2437599	0.6164673	0.0655483	0.2408456	0.2041939	0.7747695	0.0042614	0.8682949	0.0814596	0.6602958
500	0.3302772	0.6845361	0.0640539	0.2084302	0.2029633	0.6612146	0.0103523	0.8303400	0.0648919	0.7389449
550	0.2932897	0.6385550	0.0907000	0.2186038	0.1671318	0.7325953	0.0055182	0.5642851	0.0629966	0.6347385
600	0.3110947	0.6904435	0.0658000	0.2041604	0.1572216	0.7400078	0.0204464	0.3101756	0.0955487	0.7114930
650	0.3490070	0.7209855	0.0528082	0.1977281	0.2130873	0.5308730	0.0405669	0.1497370	0.0304474	0.7008849
700	0.2810719	0.7757231	0.0611648	0.2490258	0.1530092	0.3446072	0.0370736	0.0778494	0.0747189	0.7116537
750	0.2875243	0.7563001	0.0619076	0.2762176	0.2967497	0.3644205	0.0453123	0.0445849	0.0994764	0.7899109
800	0.2850568	0.5142590	0.0428093	0.2187086	0.3032242	0.1623319	0.0828056	0.0599482	0.0609588	0.7114649
850	0.2677839	0.7204806	0.0570279	0.2666947	0.4180914	0.1920990	0.0210980	0.0603634	0.1189214	0.8240602
900	0.2016759	0.7067988	0.0588446	0.2565459	0.4233571	0.1388067	0.0773117	0.0520395	0.0472740	1.0044816
950	0.2963071	0.6503369	0.0445990	0.2681868	0.6269397	0.1002658	0.0372886	0.0884303	0.0450142	0.7942126
1000	0.1952681	0.8824458	0.0650182	0.3209355	0.5580163	0.1137742	0.1013662	0.0333268	0.0469742	0.7338220

0	0.1479207	0.7558117	0.0617223	0.2601284	0.6155819	0.0764726	0.1228712	0.0902241	0.0930184	0.8112105
50	0.2068499	0.3824373	0.1108049	0.2538616	0.3071105	0.1464641	0.1349758	0.0956881	0.0469321	0.7479552
100	0.3115497	0.1627383	0.0667916	0.2863358	0.1848050	0.1754195	0.0668845	0.0352525	0.0577927	0.7304342
150	0.3778602	0.0639148	0.1248327	0.2661292	0.0746742	0.1608622	0.1140764	0.0573530	0.0451601	0.8081312
200	0.3587548	0.0882428	0.2320780	0.3555889	0.0812197	0.1324293	0.0694641	0.0467797	0.0227076	0.7997106
250	0.4363333	0.1046143	0.1042685	0.3993762	0.0396984	0.1896494	0.1044210	0.0428284	0.0407490	0.8633648
300	0.4718595	0.0523630	0.1842559	0.3308375	0.1278681	0.1469783	0.0759499	0.0561561	0.0260967	0.8013773
350	0.4814298	0.0679887	0.1133107	0.3211812	0.0383966	0.2524757	0.1237586	0.0261633	0.0687475	0.6838254
400	0.5409765	0.0942620	0.1153022	0.3216594	0.0594203	0.3020516	0.1403270	0.0195050	0.0796999	0.6513975
450	0.5764630	0.0985472	0.2250274	0.4378456	0.0469648	0.2168582	0.1255358	0.0192794	0.0591328	0.7769558
500	0.5152817	0.1090487	0.1990437	0.3874256	0.0499732	0.2737718	0.1559688	0.0151215	0.0725034	0.6840198
550	0.5456916	0.3390872	0.2918782	0.3343459	0.2951842	0.1087210	0.1849818	0.0371913	0.0500223	0.8295033
600	0.4762214	0.4307010	0.1296736	0.2894030	0.4708434	0.0710951	0.1581837	0.0385034	0.0472639	0.7317935
650	0.2821358	0.6438877	0.1121020	0.2521435	0.5238266	0.0713432	0.1453697	0.0369033	0.0436014	0.7396599
700	0.2635518	0.5740672	0.0807199	0.1326654	0.5710369	0.0522776	0.1026369	0.0171712	0.0544886	0.8120141
750	0.1853358	0.6570174	0.0295873	0.1948117	0.6444844	0.0826814	0.0788960	0.0220398	0.0726509	0.7541369
800	0.1457194	0.7204744	0.0963285	0.2451395	0.5810232	0.1094561	0.0478737	0.0301074	0.0353803	0.7065019
850	0.1702303	0.7758134	0.0779144	0.3508050	0.6658563	0.0772337	0.0592860	0.0596297	0.0675162	0.6290978
900	0.2026198	0.5524550	0.1111371	0.3726640	0.8465199	0.1108483	0.1061993	0.0403404	0.0771746	0.6157181
950	0.1672243	0.5950693	0.1340527	0.3402549	0.5912648	0.0791786	0.1176979	0.0615631	0.0564255	0.8510710
1000	0.2271447	0.5443070	0.1478200	0.3379042	0.7113859	0.1043209	0.1392633	0.0436388	0.0670414	0.8629069

0	0.1338858	0.8308228	0.1043581	0.3059413	0.5778808	0.0888975	0.1022330	0.0601983	0.1168477	0.7171776
50	0.2532976	0.5810143	0.1387512	0.1777254	0.5526563	0.0926195	0.1737327	0.0726997	0.0463178	0.6755719
100	0.3610652	0.6812153	0.0508214	0.0773092	0.6498811	0.1254036	0.0918593	0.1155385	0.0926741	0.6989301
150	0.3374302	0.8083052	0.0762466	0.0456392	0.5273750	0.1983419	0.0904815	0.1717235	0.0685204	0.8244766
200	0.4274047	0.8701880	0.0251587	0.0287116	0.3907901	0.2613341	0.0274466	0.2134287	0.0787604	0.7406253
