YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.2243565	0.3171516	1.0829480	0.9895884	0.2227699	1.0002558	0.8156498	1.0032663	1.0744126	0.1186225
0.2410526	0.2011662	0.9478108	0.9118474	0.1572249	0.9739689	0.8753723	1.0218063	1.0016794	0.0219551
0.8332518	0.8966650	0.5094197	0.9760857	0.1970410	1.0325642	0.9102481	0.9640254	1.0397752	0.1195199
0.5492325	0.3734071	0.9596644	0.5158945	0.1612194	1.0630149	0.8454917	0.9241850	0.9361126	0.0573077
0.5578089	0.3916903	1.0162005	1.0226799	0.1366512	0.9612551	0.9325580	0.9769996	1.0260650	0.0099957
0.5994938	0.2652576	0.9939557	0.3206557	0.6329372	0.5325012	0.7636317	0.8123783	0.0198170	0.8324429
0.5437217	0.3587541	1.0925983	0.9818348	0.2167361	0.9446770	0.3944305	1.1448912	0.9402913	0.0803461
0.5132149	0.2826147	1.0651933	0.9401234	0.2037092	1.0206408	0.8208427	0.4466334	0.9635299	0.0772838
0.5256432	0.2857868	1.0410023	1.0643387	0.2333960	0.9473723	0.8950406	0.8410847	0.4913196	0.0655817
0.5372379	0.3538938	0.9523675	1.0393052	0.1792101	0.9623816	0.9213247	0.9152107	1.0000173	0.0229783
