YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.9674209	0.0009074	0.0041839	0.4103269	0.7416498	0.0399071	0.2030542	0.8307929	0.0002593	0.5117780
0.8050556	0.2880826	0.5343023	0.2811727	0.9000782	0.0045769	0.4128143	0.7698682	0.3152842	0.8989204
0.5082982	0.5074274	0.4483129	0.2440951	1.0681716	0.0131096	0.3602079	0.9509526	0.0056952	0.9509936
0.7882823	0.2507149	0.5315642	0.3226399	0.5139664	0.0545046	0.2563712	1.0206994	0.0004210	0.5289346
0.6396961	0.0478392	0.3574952	0.3582541	0.7502793	0.1244908	0.3104590	0.8686291	0.2638874	0.3548646
0.8315427	0.2326716	0.6091469	0.1663042	0.9552586	0.0107888	1.0624051	0.8579073	0.0020152	0.8449247
0.5778026	0.3443376	0.4480303	0.1855799	0.9494753	0.0158793	0.3236474	0.6641465	0.0043455	0.9502502
0.7082597	0.6350313	0.8771633	0.2206290	0.9752657	0.0845004	0.6292187	0.9206900	0.0062668	0.4475376
0.8918628	0.1047170	0.1185694	0.2730005	0.9907022	0.0273535	0.8013586	1.0487194	0.0091456	0.5616841
0.6636222	0.4569483	0.8483249	0.2383029	0.8566419	0.0166968	0.7624424	1.0321384	0.2542442	0.9186930
