YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.0000000	1.0000000	0.0771499	0.9088441	0.2965837	1.0000000	0.5208974	0.9081809	0.6837601	1.0000000
0.0298100	0.0000000	0.4762286	0.4888859	0.2966518	0.9996130	0.5208995	0.9082335	0.6838980	1.0000000
0.7917360	1.0000000	0.0000002	0.6242113	0.6149390	0.2908526	0.6445134	0.9671573	0.9714219	1.0000000
0.7917360	1.0000000	0.0670488	0.0000000	0.6151793	0.2906635	0.6446398	0.9671648	0.9714817	1.0000000
0.7917360	1.0000000	0.0776029	0.9993340	0.0000000	0.7853267	0.3683028	0.9346452	0.7708231	1.0000000
0.7917360	1.0000000	0.0736246	0.4608747	0.9999994	0.0000001	0.7679169	0.9698996	0.9999997	1.0000000
0.7917360	1.0000000	0.0771499	0.9088445	0.2965835	1.0000000	0.0000012	0.9081745	0.6837582	1.0000000
0.7917360	1.0000000	0.0740050	0.4955630	0.8688405	0.0980322	0.9999917	0.0000000	0.9981375	1.0000000
0.7917360	1.0000000	0.0740048	0.4955583	0.8688470	0.0980317	0.9999918	0.0147825	0.0000001	1.0000000
0.7917360	1.0000000	0.0752250	0.6247869	0.6133346	0.2926821	0.6427528	0.9698990	0.9999992	0.0000008
