"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W

0	0.1515662	0.8128988	0.0896189	0.1911369	0.6645231	0.1939560	0.5035081	0.5217973	0.6264899	0.6491231
50	0.1522210	0.6588444	0.0471774	0.2411512	0.7270553	0.1689884	0.5114913	0.4973621	0.5588995	0.8169215
100	0.1146126	0.7986130	0.0862512	0.2123350	0.6782150	0.2045224	0.3453728	0.4377079	0.5501762	0.7123728
150	0.1137589	0.7356786	0.0522389	0.2398193	0.7054568	0.1750016	0.4419496	0.5202944	0.5788402	0.6459316
200	0.0662543	0.7967496	0.0436164	0.2007800	0.5841820	0.1366991	0.3355535	0.5865278	0.6793994	0.5822057
250	0.0653668	0.6507731	0.1335849	0.1966703	0.5808455	0.1554233	0.4345203	0.5251374	0.5243981	0.5996300
300	0.1106687	0.6241303	0.0466587	0.2404898	0.5155758	0.1599328	0.4797935	0.5359046	0.5903467	0.5835542
350	0.1008884	0.6692558	0.0453628	0.2659612	0.6385519	0.1756716	0.4342510	0.4758577	0.6175827	0.8059270
400	0.1099362	0.6992459	0.0612798	0.1931617	0.6265565	0.1685637	0.3368710	0.6076365	0.5582076	0.7512706
450	0.1211081	0.7033321	0.0490971	0.2502852	0.6561012	0.1757303	0.4279461	0.4888139	0.6718722	0.6780458
500	0.0774846	0.6649351	0.0363666	0.2057385	0.7148893	0.2159191	0.3801185	0.6171526	0.5777728	0.6420570
550	0.2576796	0.8251887	0.0774004	0.1196427	0.6676232	0.1206782	0.3974116	0.6060322	0.5856916	0.6090759
600	0.2054557	0.8348815	0.0486361	0.1705370	0.6183678	0.1508659	0.3773726	0.5614269	0.6277176	0.7558542
650	0.1958234	0.6419725	0.0517868	0.2605968	0.5481756	0.1400462	0.3272990	0.5217798	0.5551539	0.7900279
700	0.2266436	0.7315414	0.1106987	0.2513545	0.5782975	0.1558706	0.2978284	0.4583480	0.4620112	0.6694659
750	0.2454604	0.5927691	0.0592261	0.2179915	0.5875192	0.1263710	0.3586616	0.5951907	0.5199653	0.6121818
800	0.2523724	0.6913387	0.0409054	0.2667445	0.6839812	0.2297750	0.3513773	0.5120322	0.5382526	0.7219838
850	0.2486939	0.6391352	0.0419411	0.2178931	0.6527244	0.2461120	0.4739079	0.4189830	0.4849825	0.6920979
900	0.2143337	0.6854239	0.0432539	0.2274815	0.6526026	0.2009906	0.3869582	0.5659111	0.7274713	0.7079857
