YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.0000000	0.3360133	0.1306694	1.0044720	0.1153713	0.2078791	0.0268030	0.1044439	0.0788310	1.1163519
1.0163219	0.0000000	0.5315540	0.1882412	0.9779945	0.8869184	0.1454044	0.5975999	0.0647758	1.0600649
1.1259162	0.1334413	0.0000000	0.1735345	0.9955243	0.8085591	0.1291119	0.6093558	0.0971603	1.0061323
0.9776811	0.1638830	0.5363043	0.0000000	1.0084340	0.8495631	0.1271815	0.6179197	0.0723838	1.0584498
0.8448599	0.1396493	0.6280248	0.9872892	0.0000000	1.0325802	0.4190079	0.0579184	0.0682308	0.9414014
0.8265997	1.0218577	0.1125192	1.0044796	0.0718012	0.0000000	0.4907849	0.0830894	0.0622223	1.0396303
1.0748547	0.4525961	0.1106909	1.0363031	0.0814651	0.0796607	0.0000000	0.0513960	0.0994671	0.9699517
0.8372709	0.1150543	0.6329026	0.2140202	1.1424047	1.0142413	0.5732957	0.0000000	0.0822928	0.9356370
1.0290641	0.1666614	0.3864278	0.3259382	0.9132196	0.6956370	0.0900625	0.6612050	0.0000000	0.9533888
0.9022745	0.1356730	0.5828565	0.2831799	0.9871103	0.9863550	0.4942820	0.0812910	1.0497900	0.0000000
