YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.0000000	0.4513990	0.4963562	0.0915562	0.3058873	0.6511553	0.1432616	0.3053190	0.1206075	0.7076380
0.0635718	0.0000000	0.6341633	0.0672629	0.2162442	0.7488742	0.2318401	0.2428381	0.1057004	0.6604660
0.7128159	0.5146487	0.0000000	0.6730230	0.8298469	0.6485733	0.0289968	0.5550513	0.2106710	0.7633261
0.7416192	0.4112705	0.4008585	0.0000000	0.2374640	0.6533918	0.1506105	0.2691982	0.0897829	0.6934298
0.7417114	0.4486110	0.0262702	0.0011483	0.0000000	0.6727591	0.2434919	0.1823935	0.1578772	0.6776092
0.1009673	0.0590261	0.7575629	0.5442818	0.8292056	0.0000000	0.0292391	0.6989722	0.0936564	0.8042969
0.0885453	0.0449399	0.8041211	0.4293751	0.5413855	0.1032664	0.0000000	0.5262089	0.1199807	0.6624577
0.0948115	0.6987088	0.4846961	0.1006258	0.2599093	0.9083218	0.6806126	0.0000000	0.3075862	0.6655884
0.7569814	0.2469109	0.6044410	0.2063541	0.2019926	0.5385596	0.1477448	0.2599058	0.0000000	0.7455786
0.6318972	0.4162442	0.5164356	0.1414003	0.2518007	0.7003059	0.4454765	0.1651679	0.3692247	0.0000000
