YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1914805	0.4988905	0.0265854	0.7349600	0.0776352	0.2223686	0.6948042	0.6086446	0.6501968	0.2010773
0.0970938	0.1795686	0.0305605	0.7091273	0.0798471	0.2156675	0.7375068	0.6923081	0.8038507	0.1186779
0.3262247	0.4658783	0.0135864	0.7194185	0.0575714	0.2003132	0.9219423	0.5715939	0.5971302	0.2357647
0.2261234	0.4914118	0.0781189	0.3882526	0.1229892	0.3103277	0.7526589	0.7793514	0.5831055	0.2241211
0.3158960	0.4976593	0.0303271	0.7138625	0.0713581	0.1859945	0.7785929	0.5831400	0.5463326	0.3113707
0.2807682	0.4844192	0.0354855	0.7997829	0.0664862	0.0995129	0.9754716	0.6749026	0.6446622	0.1484780
0.2279201	0.5067411	0.0393335	0.4796025	0.3696893	0.4844868	0.3426962	0.6258922	0.7454357	0.1805022
0.2072165	0.4706959	0.0313161	0.8998837	0.0514581	0.2153920	0.7025922	0.2957500	0.5183409	0.1752526
0.5117506	0.6972976	0.0753758	0.4909036	0.1255240	0.2829164	0.6088278	0.0418234	0.2372078	0.7494122
0.3226484	0.4634885	0.0445660	0.6954002	0.0603478	0.2531939	0.7172629	0.9091340	0.6798328	0.0920907
