YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.4663655	0.9963323	0.3504027	0.0644590	0.9968340	0.8440610	0.6038731	0.6378179	0.6081244	0.0692922
0.7470594	0.4981674	0.3504027	0.0644590	0.9968341	0.8440550	0.6038782	0.6378253	0.6081155	0.0692922
0.9325575	0.9963484	0.1751992	0.0644584	0.9980944	0.9536916	0.5175561	0.5263386	0.7471888	0.0692805
0.9325581	0.9963517	0.1128922	0.0322291	0.9983208	0.9821458	0.4628379	0.4625236	0.8385704	0.0692782
0.9266447	0.9565337	0.3579371	0.0654184	0.4984017	0.8412272	0.6057923	0.6405554	0.6046900	0.1010056
0.9324584	0.9955591	0.3505959	0.0644867	0.9443573	0.4220223	0.6039103	0.6378723	0.6080416	0.0698516
0.9325579	0.9963526	0.3503978	0.0644582	0.9984386	0.9995275	0.3019408	0.6378299	0.6081106	0.0692775
0.9325574	0.9963489	0.3503987	0.0644584	0.9981555	0.9615299	0.5064225	0.3189154	0.6081104	0.0692802
0.9325028	0.9959041	0.3505087	0.0644746	0.9656168	0.4749300	0.7567909	0.8942589	0.3040359	0.0696014
0.9325555	0.9963323	0.3504027	0.0644590	0.9968342	0.8440721	0.6038668	0.6378092	0.6081344	0.0346475
