YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.3238782	0.7197839	0.5979740	0.1416288	0.1022082	0.6481588	0.3814123	0.3599808	0.3115548	0.3802154
0.6783495	0.3065204	0.6882497	0.2018807	0.0410460	0.6762922	0.4981632	0.3376083	0.3226628	0.3489862
0.6364894	0.6816566	0.4088030	0.1322453	0.1086129	0.5995626	0.3579951	0.3997313	0.2383896	0.4989788
0.6799177	0.6121048	0.6475901	0.1084863	0.0306971	0.7258371	0.5267475	0.3627361	0.5349413	0.3654825
0.6714576	0.5581804	0.5860272	0.2086986	0.0446365	0.6434570	0.4146103	0.4619905	0.3382883	0.4010707
0.6055413	0.6888541	0.8004903	0.2086299	0.0522746	0.3490435	0.4773791	0.3405995	0.3210531	0.5879292
0.6823885	0.5997640	0.7371450	0.1142115	0.0310487	0.7915840	0.3291023	0.3272045	0.4613580	0.4085638
0.6470942	0.7231707	0.5125667	0.1525173	0.0449975	0.5436285	0.6036360	0.1968180	0.5101122	0.4396877
0.7403876	0.7256156	0.9538377	0.1205098	0.2031245	0.7003450	0.4056574	0.4524162	0.1444838	0.3518610
0.7449470	0.7290090	0.6611451	0.3428062	0.0174342	0.6542667	0.6097254	0.3059256	0.5927050	0.2518755
