YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0566597	0.0043039	0.8593622	0.4675887	0.7879081	0.9998989	0.0927140	0.3863177	0.6400767	0.4170509
0.1108574	0.0021556	0.8594864	0.4676265	0.7878235	0.9998989	0.0927130	0.3864569	0.6398207	0.4169054
0.2402569	0.0294702	0.4498069	0.4351736	0.8273486	0.9998930	0.0936110	0.3258100	0.8136628	0.6755779
0.1123338	0.0036502	0.9952855	0.2411064	0.7703650	0.9999001	0.0925099	0.4148587	0.5751743	0.3597077
0.9475358	0.2860912	0.2537027	0.8122903	0.4379976	0.9998903	0.0940168	0.3106129	0.8685113	0.8428773
0.1132488	0.0043045	0.8593523	0.4675595	0.7879491	0.5001875	0.0927146	0.3862586	0.6401603	0.4170866
0.1132488	0.0043045	0.8593523	0.4675595	0.7879491	0.9999980	0.0463819	0.3862586	0.6401603	0.4170866
0.1125405	0.0038075	0.9508018	0.3770649	0.9057992	0.9997631	0.1070449	0.2024356	0.5963263	0.3771452
0.1169357	0.0062625	0.7074664	0.5570749	0.6891759	0.9999026	0.0921224	0.5512883	0.3558750	0.4967425
0.1156681	0.0057112	0.7344415	0.5433091	0.7038316	0.9999024	0.0921573	0.5244089	0.3925488	0.2402482
