YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.0000000	0.7715435	0.8043332	0.0259436	0.7698233	0.0407009	0.0567562	0.8244554	0.7898193	0.0256128
0.0123872	0.0000000	0.7980028	0.0234539	0.6608075	0.0158387	0.0155873	0.7847232	0.7733541	0.0117495
0.4862863	0.7835758	0.0000000	0.6768274	0.8649783	0.0559673	0.0234492	0.5455971	0.2720418	0.5398675
0.4053134	0.7367781	0.8542269	0.0000000	0.7194866	0.0320725	0.0387992	0.6924879	0.8419321	0.0171077
0.5114408	0.6447076	0.7760843	0.0715182	0.0000000	0.0576899	0.0458990	0.8875558	0.7337907	0.0177626
0.4858833	0.7459371	0.7709170	0.0598903	0.6675628	0.0000000	0.0227404	0.7059474	0.7046948	0.0173728
0.5370776	0.8203758	0.6457847	0.0475932	0.7491387	0.0340121	0.0000000	0.6611805	0.7054816	0.0055469
0.6013800	0.7656945	0.8711415	0.0274227	0.7978658	0.0410369	0.7626478	0.0000000	0.6914975	0.0218192
0.5193116	0.7330082	0.7651631	0.0361879	0.0364114	0.7515467	0.7106922	0.0705540	0.0000000	0.0136280
0.5087284	0.7321569	0.8515436	0.0590599	0.6264038	0.0446261	0.0438591	0.8446975	0.6998468	0.0000000
