YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.6287385	0.4078919	0.1089253	0.6430221	0.6425300	0.5682506	0.6429907	0.3929493	0.3858024	0.6658523
0.5258163	0.5812165	0.3005216	0.4908438	0.6403543	0.4558139	0.8138841	0.7589036	0.7899665	0.7201991
0.6291254	0.4130330	0.1592842	0.7338563	0.5370009	0.3927754	0.6486743	0.7989235	0.6088095	0.5513877
0.6385691	0.3191650	0.0970301	0.5993152	0.6911827	0.4837682	0.6673585	0.3031347	0.7191156	0.7030634
0.5440056	0.3333728	0.2169535	0.3776237	0.7556693	0.3716036	0.5661507	0.6767916	0.7232115	0.5915335
0.5823650	0.4065809	0.1870260	0.7622414	0.5473791	0.7329800	0.6870806	0.5135215	0.8312388	0.4580719
0.5883939	0.3191215	0.2118528	0.6165277	0.7970531	0.4016467	0.7231777	0.6847226	0.6932349	0.3890364
0.6841743	0.4802992	0.2862139	0.6346635	0.6827909	0.3798330	0.6809748	0.7011187	0.6415202	0.5662178
0.6843316	0.4289866	0.2144656	0.7642064	0.6588709	0.3613583	0.8002109	0.7211024	0.5291021	0.6460452
0.6265377	0.4284126	0.1698758	0.8381050	0.7493411	0.3257443	0.5660846	0.8666779	0.7508025	0.6176267
