"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C

0	0.5676393	0.9162154	0.5161375	1.0000000	0.4257983	0.4034347	0.1300279	0.1707396	0.9956525	1.0000000
50	0.5688260	0.9102366	0.5161375	1.0000000	0.4257665	0.4030756	0.6471892	0.1707635	0.9450291	0.8780593
100	0.5713957	0.9080382	0.5161375	1.0000000	0.4257370	0.4030139	0.7908646	0.1716272	0.6963126	0.8325627
150	0.5733135	0.9072298	0.5161375	1.0000000	0.4257155	0.4030673	0.8309645	0.1793978	0.5211525	0.8155878
200	0.5743616	0.9069326	0.5161375	1.0000000	0.4257062	0.4031231	0.8434248	0.2131322	0.4586922	0.8092544
250	0.5748615	0.9068233	0.5161375	1.0000000	0.4257052	0.4031599	0.8517491	0.2739107	0.4394140	0.8068914
300	0.5750832	0.9067831	0.5161375	1.0000000	0.4257078	0.4031778	0.8634493	0.3301689	0.4314379	0.8060098
350	0.5751771	0.9067684	0.5161375	1.0000000	0.4257109	0.4031829	0.8773996	0.3683616	0.4247101	0.8056808
400	0.5752157	0.9067629	0.5161375	1.0000000	0.4257131	0.4031816	0.8899898	0.3937335	0.4175786	0.8055581
450	0.5752312	0.9067609	0.5161375	1.0000000	0.4257143	0.4031784	0.8997095	0.4130036	0.4109256	0.8055123
500	0.5752374	0.9067602	0.5161375	1.0000000	0.4257147	0.4031755	0.9069074	0.4291748	0.4054790	0.8054952
550	0.5740443	0.9127392	0.5161375	1.0000000	0.4257145	0.4031739	0.6247064	0.4402282	0.4239270	0.9274296
600	0.5714707	0.9149377	0.5161375	1.0000000	0.4257141	0.4031736	0.5559735	0.4121771	0.5090974	0.9729237
650	0.5695548	0.9157460	0.5161375	1.0000000	0.4257140	0.4031741	0.5140730	0.3332524	0.5978818	0.9898977
700	0.5685094	0.9160433	0.5161375	1.0000000	0.4257141	0.4031749	0.4389198	0.2621336	0.6763834	0.9962308
750	0.5680112	0.9161526	0.5161375	1.0000000	0.4257144	0.4031761	0.3439484	0.2180460	0.7703631	0.9985937
800	0.5677905	0.9161928	0.5161375	1.0000000	0.4257147	0.4031801	0.2608381	0.1936195	0.8666278	0.9994753
850	0.5676970	0.9162076	0.5161375	1.0000000	0.4257153	0.4031938	0.2032515	0.1812134	0.9343946	0.9998042
900	0.5676586	0.9162130	0.5161375	1.0000000	0.4257167	0.4032337	0.1686363	0.1753807	0.9693721	0.9999270
950	0.5676431	0.9162150	0.5161375	1.0000000	0.4257206	0.4033199	0.1495607	0.1727628	0.9845673	0.9999727
1000	0.5676370	0.9162157	0.5161375	1.0000000	0.4257290	0.4034494	0.1396129	0.1716150	0.9908362	0.9999898

0	0.5676393	0.9162154	0.5161375	1.0000000	0.4257983	0.4034347	0.1300279	0.1707396	0.9956525	1.0000000
50	0.3221779	0.7140181	0.5161375	1.0000000	0.3673771	0.3661816	0.1772472	0.0665859	0.2427572	0.8382651
100	0.2663028	0.6396698	0.5161375	1.0000000	0.3443411	0.4098675	0.1656352	0.1084922	0.1487262	0.7779212
150	0.2596143	0.6123319	0.5161375	1.0000000	0.3376153	0.4609912	0.1680987	0.1716509	0.1370893	0.7554067
200	0.2617302	0.6022796	0.5161375	1.0000000	0.3390402	0.4941189	0.1910909	0.1967702	0.1355734	0.7470065
250	0.2639881	0.5985834	0.5161375	1.0000000	0.3437276	0.5076690	0.2186086	0.2061175	0.1349810	0.7438723
300	0.2652995	0.5972243	0.5161375	1.0000000	0.3483454	0.5080677	0.2395497	0.2095710	0.1342386	0.7427030
350	0.2659388	0.5967246	0.5161375	1.0000000	0.3512455	0.5026188	0.2522734	0.2108462	0.1334264	0.7422667
400	0.2662254	0.5965408	0.5161375	1.0000000	0.3522971	0.4966204	0.2590620	0.2113189	0.1327437	0.7421039
450	0.2663476	0.5964732	0.5161375	1.0000000	0.3521567	0.4926057	0.2624001	0.2114958	0.1322743	0.7420432
500	0.2663981	0.5964484	0.5161375	1.0000000	0.3515649	0.4909343	0.2639548	0.2115631	0.1319944	0.7420205
550	0.6039789	0.7986370	0.5161375	1.0000000	0.4116914	0.5410326	0.2777264	0.4075501	0.8628067	0.9037470
600	0.6396967	0.8729821	0.5161375	1.0000000	0.4366626	0.4856758	0.3504292	0.2673700	0.9335377	0.9640877
650	0.6139680	0.9003189	0.5161375	1.0000000	0.4415543	0.4282305	0.3133987	0.2076306	0.9174154	0.9866010
700	0.5911887	0.9103707	0.5161375	1.0000000	0.4372209	0.3966872	0.2434886	0.1851731	0.9282310	0.9950008
750	0.5784299	0.9140668	0.5161375	1.0000000	0.4315548	0.3871380	0.1905804	0.1766832	0.9566284	0.9981348
800	0.5723030	0.9154258	0.5161375	1.0000000	0.4275656	0.3891362	0.1600317	0.1732953	0.9773821	0.9993041
850	0.5695798	0.9159255	0.5161375	1.0000000	0.4255224	0.3947178	0.1443340	0.1718630	0.9876882	0.9997403
