YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0000001	0.3064827	0.9612669	0.2910197	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
0.0301140	0.0000004	0.9612670	0.2910195	0.5115203	0.6456321	0.9995314	0.0187057	0.1793006	0.5505732
0.0681703	0.3064827	0.0000000	0.2910196	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
0.0681708	0.3064843	1.0000000	0.0000003	0.5115200	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
0.0681673	0.3064736	0.5106248	0.9999993	0.0000001	0.6456328	0.9995325	0.0186927	0.1791183	0.5505735
0.0681706	0.3064838	0.9951087	0.1378956	0.9999969	0.0000000	0.9995325	0.0186927	0.1791183	0.5505735
0.1085884	0.4056052	0.9931747	0.1553299	0.8851454	0.1125586	0.0000000	0.0166283	0.1265692	0.0848945
0.0681609	0.3064520	0.9612403	0.2911041	0.5113879	0.6459371	1.0000000	0.0000005	0.1791802	0.5506972
0.0676833	0.3049740	0.9612637	0.2910357	0.5114830	0.6457406	0.9997102	0.0162220	0.0000000	0.5506157
0.1104345	0.4093465	0.9612575	0.2910484	0.5114759	0.6457340	0.9996880	0.0166283	0.1265678	0.0000000
