YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0000000	0.0496039	0.2677807	0.1418953	0.4534004	0.6379185	0.4416101	0.6327793	0.3374095	0.8188284
0.1025408	0.0007452	0.1944825	0.1828454	0.4620419	0.4935511	0.4362432	0.9090119	0.1894798	0.8799102
0.0513984	0.0146090	0.0000000	0.1866690	0.4474187	0.5872698	0.4538506	0.8674279	0.2138642	0.8364094
0.6752955	0.7001007	0.9088196	0.0000000	0.0895752	0.5277284	0.4297982	0.8203058	0.1764963	0.7090307
0.0612194	0.0111642	0.0761069	0.8703697	0.0000000	0.4908680	0.4817018	0.7177534	0.0968441	0.7574861
0.1573183	0.2734767	0.2827601	0.2505443	0.3306205	0.0000000	0.5145862	0.8155683	0.2185976	0.7951061
0.1089345	0.0084114	0.2072219	0.1659900	0.8593943	0.0126218	0.0000000	0.8924769	0.3118704	0.6830688
0.1853570	0.2059812	0.4514172	0.2146148	0.3743304	0.0319779	0.0059583	0.0000000	0.3247909	0.7765584
0.0773919	0.0151444	0.1662178	0.2401542	0.4366453	0.5458037	0.4888512	0.6171144	0.0000000	0.8761809
0.0750202	0.1012569	0.3767814	0.1474251	0.4201412	0.5485912	0.4026822	0.8045077	0.5050717	0.0000000
