"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	0.6761800	0.7432810	0.6608516	0.6305267	0.0038543	0.1694355	0.8238986	0.1120452	0.7218181	0.6686802
50	0.6611200	0.6378519	0.6072827	0.6658793	0.0114453	0.2309367	0.5922927	0.0576542	0.6674398	0.6366065
100	0.6667128	0.6293159	0.6531853	0.6938736	0.0130161	0.2141118	0.6484932	0.1384668	0.7393929	0.4807868
150	0.7669645	0.6717099	0.6236152	0.7573423	0.0155138	0.2544612	0.6034270	0.0770083	0.7571880	0.4646342
200	0.6636095	0.6944531	0.6371543	0.6175941	0.0031166	0.2741853	0.5371577	0.0899235	0.6293568	0.5236910
250	0.7646715	0.6653109	0.6520951	0.6732348	0.0249889	0.2312881	0.5794035	0.1088072	0.7922269	0.4649357
300	0.7124640	0.6567748	0.6489439	0.6999024	0.0100641	0.2681138	0.4619436	0.0948767	0.7991209	0.4085869
350	0.7242318	0.5792699	0.7046605	0.7005386	0.0036697	0.3176012	0.6054747	0.1534422	0.7013031	0.4274365
400	0.6781156	0.6011677	0.6631857	0.5847543	0.0225736	0.2350442	0.5992271	0.0869996	0.8026963	0.5570699
450	0.7177178	0.6978131	0.6291345	0.6929685	0.0127846	0.2720625	0.4763504	0.1136229	0.8361194	0.4654158
500	0.6992749	0.6040127	0.5834418	0.6949866	0.0191205	0.3140944	0.5393776	0.0930817	0.7733262	0.5644097
550	0.7794258	0.6833870	0.5804159	0.7192231	0.0391463	0.3967437	0.6644448	0.0703725	0.7357937	0.5510447
600	0.6280548	0.6194905	0.5902898	0.6746557	0.0145560	0.2748656	0.6202936	0.1138901	0.7611731	0.4617571
650	0.7555060	0.6773627	0.6096699	0.6884771	0.0181786	0.1831982	0.6927316	0.1093506	0.7297787	0.4912895
700	0.6785233	0.7363710	0.7119690	0.9454150	0.0097018	0.2284818	0.7030723	0.0788193	0.6841881	0.5412110
750	0.6675159	0.8299093	0.7003007	0.6188812	0.0109763	0.2672035	0.8077971	0.0935401	0.6416117	0.5168604
800	0.6500195	0.6929429	0.6168134	0.6157699	0.0255048	0.1515472	0.7479123	0.0881863	0.8292970	0.5266867
850	0.5867841	0.7993288	0.6524149	0.6537194	0.0242809	0.1958656	0.6771199	0.0689485	0.7365777	0.5810585
900	0.6547390	0.7234601	0.6105895	0.8774730	0.0052097	0.2199876	0.8114068	0.0544905	0.7583982	0.6493560
950	0.7746262	0.7185850	0.5952850	0.7887121	0.0039078	0.2041709	0.5968020	0.0761747	0.8083539	0.6013983
1000	0.7370361	0.7519411	0.5984439	0.5683910	0.0076777	0.1901592	0.8306381	0.1505145	0.8097968	0.5177278

0	0.7781126	0.9595672	0.5797799	0.6578928	0.0047204	0.1441461	0.8462947	0.1417980	0.8117936	0.5033796
50	0.6941901	0.6280564	0.6960888	0.8435616	0.0148008	0.1335750	0.3153860	0.1039097	0.9029429	0.5777918
100	0.7406091	0.7729072	0.5675436	0.6569563	0.0057223	0.1487447	0.1904907	0.1111959	0.6504562	0.4980988
150	0.7366307	0.5896483	0.4514644	0.7024679	0.0064598	0.2741614	0.2180763	0.0756996	0.7776772	0.5772399
200	0.7931657	0.6237510	0.6247585	0.7239848	0.0068910	0.2828993	0.1794750	0.1039994	0.7081589	0.5275954
250	0.6279525	0.5585777	0.7573175	0.6532279	0.0020621	0.2649683	0.1650622	0.1371893	0.7475769	0.5521311
300	0.6403835	0.7365401	0.6242691	0.7214072	0.0031773	0.2873704	0.1923447	0.0716253	0.8060665	0.5973416
350	0.7106780	0.6901903	0.5714355	0.7080211	0.0124292	0.2770069	0.1603007	0.1392429	0.8119146	0.5686417
400	0.5944802	0.6641933	0.6051209	0.7489484	0.0136661	0.3636918	0.2124310	0.1139871	0.8318276	0.6025531
450	0.7622765	0.6807136	0.6341200	0.6321140	0.0309724	0.2898735	0.2608773	0.1042607	0.6506532	0.4969328
500	0.7651346	0.6905059	0.6607016	0.6357499	0.0174178	0.2197809	0.2456775	0.0816829	0.8215571	0.6190617
550	0.6248261	0.8678097	0.6647664	0.8327415	0.0186700	0.3931443	0.7138791	0.0728610	0.6818082	0.4711851
600	0.7410397	0.8047935	0.6032861	0.6622785	0.0308279	0.2925110	0.7573650	0.0921779	0.6757251	0.5913451
650	0.6967388	0.6455787	0.4670650	0.7622227	0.0320561	0.2195191	0.7110309	0.1041313	0.6640759	0.6729373
700	0.6358790	0.6084908	0.5786111	0.7753027	0.0327833	0.2043579	0.7846077	0.0909002	0.7561706	0.5556368
750	0.7133813	0.6690296	0.6235236	0.7416909	0.0132712	0.1579461	0.6192651	0.0794532	0.7023717	0.5617601
800	0.6313601	0.5982805	0.5826664	0.7570121	0.0083715	0.1886242	0.6128181	0.0925618	0.7794753	0.5861308
850	0.6940167	0.7066446	0.6350266	0.7422162	0.0015600	0.2655205	0.6629779	0.0812090	0.7062150	0.5610229
900	0.6730399	0.6419521	0.4898518	0.7436166	0.0090110	0.1456954	0.7810970	0.0664440	0.6994665	0.4562594
950	0.7436317	0.6238726	0.7388067	0.8381149	0.0058777	0.2467041	0.6793884	0.0805106	0.7253941	0.6568569
1000	0.7564704	0.6550607	0.5360825	0.6706279	0.0159751	0.1315962	0.7376173	0.0725127	0.8170247	0.7001240

0	0.7457721	0.6521787	0.5921016	0.6972268	0.0042580	0.1573115	0.7000859	0.1104213	0.6795859	0.5551045
50	0.6363380	0.6672438	0.6322289	0.4868071	0.0161407	0.0332491	0.7883131	0.0675102	0.6596375	0.6117519
100	0.7788462	0.5415197	0.6404374	0.6097418	0.0186019	0.0564273	0.7728417	0.1054644	0.6757587	0.6791698
150	0.7600273	0.6057243	0.5269925	0.4346991	0.0145549	0.0118140	0.7036437	0.0810745	0.7411433	0.6249802
200	0.6686683	0.6219909	0.5192884	0.4940397	0.0120828	0.0188913	0.7383463	0.0661794	0.7907069	0.5676468
250	0.7322840	0.5891368	0.4470177	0.3969462	0.0425959	0.0098512	0.7866125	0.0387344	0.6527421	0.6203360
300	0.5426272	0.5401985	0.3565247	0.4227955	0.0080964	0.0129732	0.7976168	0.0665551	0.6205339	0.4806171
350	0.7290173	0.5304512	0.3722403	0.5444139	0.0133005	0.0155585	0.7015063	0.1133250	0.7051207	0.4987487
400	0.6651896	0.5065445	0.4021593	0.4960356	0.0121405	0.0104057	0.7401211	0.0674007	0.7317561	0.6043013
450	0.7622200	0.4433330	0.5541725	0.4406420	0.0190548	0.0095234	0.6887607	0.0945517	0.7961313	0.5561758
500	0.7619047	0.4017065	0.3398122	0.5064807	0.0038142	0.0136918	0.7235239	0.1050539	0.5595335	0.5956235
550	0.6362477	0.5321265	0.4163017	0.5945522	0.0012876	0.1828126	0.7241279	0.0826557	0.7007166	0.5259011
600	0.7914998	0.5120525	0.5895634	0.6901813	0.0233858	0.1385862	0.7413874	0.0870459	0.8169099	0.7326018
650	0.6164143	0.6327200	0.6518624	0.7900041	0.0060316	0.1536738	0.6743596	0.0983728	0.6307166	0.7066276
700	0.7232793	0.7524141	0.4831277	0.9227661	0.0062853	0.1495872	0.7532469	0.0607334	0.6595299	0.6112873
750	0.6810024	0.5756129	0.6671737	0.7843737	0.0080028	0.1792151	0.8062704	0.0704099	0.6815952	0.5882724
800	0.6602701	0.6202913	0.5414990	0.5948694	0.0098864	0.1790449	0.6717886	0.0797869	0.7250078	0.4939677
850	0.7793421	0.7585035	0.5327927	0.6407319	0.0092315	0.1415981	0.6605113	0.0706203	0.6453017	0.4946011
900	0.6837989	0.7096751	0.5366344	0.6080407	0.0044524	0.1514052	0.6715342	0.0657815	0.7062076	0.5041541
950	0.7734840	0.6290282	0.7026017	0.7315006	0.0224986	0.1344665	0.5879706	0.1202582	0.6771891	0.4346945
1000	0.7009384	0.7302850	0.6020405	0.6266466	0.0075178	0.1884026	0.8667843	0.1005302	0.6852988	0.4100911

0	0.7178283	0.6571296	0.6725634	0.7189287	0.0050455	0.1307141	0.7214617	0.1040920	0.6589183	0.5785700
50	0.7192923	0.7105074	0.5729968	0.4072911	0.1886536	0.1527333	0.5832120	0.0990321	0.7905284	0.3498280
100	0.6394248	0.6635428	0.2939864	0.2133007	0.1406005	0.2353257	0.5798490	0.1360998	0.7219693	0.2676848
150	0.5699744	0.5225169	0.1748120	0.2214393	0.2078644	0.2677379	0.5133968	0.2332121	0.6173705	0.2979403
200	0.6336389	0.2755265	0.0846242	0.1307015	0.1996517	0.2515697	0.6007453	0.1432246	0.6472088	0.3547295
250	0.6972863	0.2314753	0.0943102	0.1566150	0.2318583	0.2106559	0.6534299	0.1625016	0.6991999	0.2636422
300	0.5204682	0.2712672	0.0781838	0.1070518	0.2901168	0.2064377	0.6468840	0.2207870	0.6954203	0.2471960
350	0.6457327	0.1622301	0.0455821	0.0826133	0.2127832	0.2261653	0.6187723	0.2831286	0.6841055	0.3056948
400	0.7629155	0.1785856	0.0211327	0.1685180	0.1917406	0.1897425	0.6240584	0.4010130	0.6510367	0.3022319
450	0.5711378	0.1689307	0.0161939	0.1728753	0.1835199	0.2101154	0.5557746	0.3558858	0.6079030	0.3086218
500	0.5644668	0.1330433	0.0237913	0.2095249	0.2915233	0.2728851	0.5785658	0.4199403	0.7134784	0.3129058
550	0.2198619	0.0441249	0.0731508	0.3944106	0.0780536	0.1710654	0.7561025	0.4739596	0.8528605	0.5756949
600	0.0920485	0.0862568	0.2189380	0.6623303	0.0500201	0.1889153	0.6649349	0.2020321	0.8058496	0.5857953
650	0.1484869	0.1629450	0.4360332	0.7200838	0.0374816	0.2292143	0.6772765	0.1839427	0.7276073	0.6573221
700	0.5341863	0.3823672	0.5348291	0.7696778	0.0085629	0.2208762	0.7438547	0.0684794	0.8173084	0.5938294
750	0.7001127	0.5885313	0.6545491	0.7553391	0.0183262	0.1586449	0.7057804	0.0615274	0.7082714	0.6423128
800	0.6203167	0.6183005	0.6460124	0.7348168	0.0214893	0.1679105	0.7525057	0.0778603	0.7586620	0.6371471
850	0.6774920	0.7904399	0.5673320	0.6899944	0.0131150	0.1808567	0.7931275	0.1171146	0.8041656	0.5502041
900	0.7652878	0.8311484	0.5010829	0.6320712	0.0077138	0.1241560	0.7495175	0.1064914	0.6458399	0.5019700
950	0.7790269	0.5881656	0.5233916	0.6963916	0.0109021	0.1162144	0.6980348	0.0904538	0.7697750	0.5129042
1000	0.6253254	0.7074136	0.6746216	0.7738640	0.0014771	0.2266236	0.5962371	0.0791298	0.6570842	0.5060308

0	0.7750808	0.8483105	0.5582923	0.6227104	0.0182692	0.2023425	0.6724596	0.0714569	0.6593536	0.8108199
50	0.7862593	0.8486868	0.5243964	0.7857018	0.3150641	0.2230354	0.7095534	0.1026384	0.7651539	0.4890595
100	0.7594815	0.7087539	0.6249755	0.6854438	0.3054503	0.1945735	0.8333421	0.0509548	0.7284157	0.5410160
150	0.7598250	0.6483116	0.5554855	0.6180159	0.5630502	0.1684648	0.8182380	0.1190929	0.6484645	0.6124969
200	0.6936561	0.6348601	0.5812926	0.5146110	0.4156423	0.1675472	0.7870299	0.0924323	0.5944569	0.5393421
250	0.7138874	0.6004898	0.5513159	0.4639784	0.4196254	0.2227061	0.6443097	0.1007324	0.6929399	0.6037523
300	0.7776896	0.6795354	0.4686482	0.4699423	0.3362344	0.1959243	0.6332484	0.0713037	0.5957063	0.4832729
350	0.7635674	0.5558834	0.5002950	0.6293484	0.4885852	0.2265963	0.7969552	0.1153027	0.6669627	0.5298117
400	0.6810934	0.5667637	0.4548446	0.4767919	0.4379433	0.1907694	0.7861401	0.1010166	0.6840043	0.5783989
450	0.7625730	0.5646119	0.5191271	0.4044567	0.3688809	0.1993148	0.6938703	0.0549542	0.8226112	0.6319025
