YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.6772968	0.9022872	0.0103881	0.5500415	0.2962645	0.5580247	0.2780607	0.6495861	0.5839640	0.8234601
0.5520620	0.7157378	0.2788429	0.4235285	0.1748444	0.8492834	0.1572509	0.8806077	0.5016822	0.4519991
0.5800190	0.6151255	0.3281363	0.1829403	0.6158298	0.0567596	0.6544788	0.8253518	0.8041695	0.7591753
0.6372058	0.6112455	0.2773588	0.2903463	0.4418986	0.2540609	0.5039884	0.7172364	0.5036630	0.8787092
0.6408591	0.7841176	0.3016643	0.1040781	0.4651360	0.2468261	0.3763346	0.8087224	0.9114711	0.5855799
0.7352083	0.7896202	0.2080962	0.5424809	0.5420769	0.0952121	0.5058618	0.4907713	0.3960316	0.6430299
0.6798330	0.8287090	0.0071420	0.7135367	0.2654923	0.5810297	0.2773581	0.6778000	0.5631223	0.8028990
0.3615868	0.4882682	0.2153926	0.3409643	0.2227192	0.6314968	0.3719661	0.9088060	0.7353966	0.4301566
0.5178479	0.7959884	0.0849325	0.7289044	0.1822255	0.6141993	0.2578499	0.7169774	0.6091586	0.8284447
0.7148860	0.7945152	0.0534505	0.1535151	0.5083161	0.1588000	0.6334733	0.7194241	0.5002862	0.5209745
