YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.0000029	1.0000000	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
0.0284988	0.0000004	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
0.7073422	1.0000000	0.0000000	0.9978264	0.9996837	0.0496192	0.0552854	0.6467117	0.3210212	0.7418534
0.7073422	1.0000000	1.0000000	0.0000028	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271669
0.7073422	1.0000000	1.0000000	0.0440464	0.0000025	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
0.7073422	1.0000000	1.0000000	0.0440464	0.9999957	0.0000070	0.0436988	0.9750414	0.9999624	0.0271697
0.7073422	1.0000000	1.0000000	0.0440464	0.9999957	0.0479694	0.0000039	0.9750414	0.9999624	0.0271697
0.7073422	1.0000000	1.0000000	0.0440464	0.9999957	0.0479694	0.9999508	0.0000047	0.9999624	0.0271697
0.7073422	1.0000000	1.0000000	0.0440464	0.0252626	0.9998637	0.9999178	0.0477459	0.0000007	0.0271697
0.7073422	1.0000000	1.0000000	0.0429072	0.9999957	0.0479694	0.0436988	0.9750438	0.9999999	0.0000021
