"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C

0	0.1425725	0.2751917	0.1987195	0.9055260	0.9534142	0.0944288	0.9971821	0.2461422	1.0000000	1.0000000
50	0.1425746	0.2752027	0.1987140	0.9054689	0.9532984	0.0944123	0.9974284	0.1736959	1.0000000	1.0000000
100	0.1425642	0.2752040	0.1987146	0.9054400	0.9532717	0.0943613	0.9983910	0.0909992	1.0000000	1.0000000
150	0.1425611	0.2752042	0.1987176	0.9054279	0.9533123	0.0942518	0.9992367	0.0439917	1.0000000	1.0000000
200	0.1425656	0.2752056	0.1987202	0.9054268	0.9534191	0.0941319	0.9996861	0.0218206	1.0000000	1.0000000
250	0.1425720	0.2752075	0.1987213	0.9054338	0.9535606	0.0940419	0.9998805	0.0122408	1.0000000	1.0000000
300	0.1425763	0.2752091	0.1987209	0.9054457	0.9536949	0.0939876	0.9999566	0.0083052	1.0000000	1.0000000
350	0.1425770	0.2752096	0.1987197	0.9054587	0.9537979	0.0939591	0.9999847	0.0067401	1.0000000	1.0000000
400	0.1425746	0.2752092	0.1987182	0.9054702	0.9538660	0.0939455	0.9999947	0.0061315	1.0000000	1.0000000
450	0.1425707	0.2752082	0.1987168	0.9054789	0.9539063	0.0939396	0.9999982	0.0058986	1.0000000	1.0000000
500	0.1425666	0.2752070	0.1987158	0.9054848	0.9539281	0.0939374	0.9999994	0.0058106	1.0000000	1.0000000
550	0.1425633	0.2752058	0.1987153	0.9054884	0.9539390	0.0939369	0.9999984	0.0782239	1.0000000	1.0000000
600	0.1425609	0.2752050	0.1987150	0.9054905	0.9539437	0.0939381	0.9999228	0.1609083	1.0000000	1.0000000
650	0.1425595	0.2752044	0.1987149	0.9054916	0.9539433	0.0939518	0.9995498	0.2079113	1.0000000	1.0000000
700	0.1425588	0.2752041	0.1987149	0.9054918	0.9539281	0.0939984	0.9989088	0.2300807	1.0000000	1.0000000
750	0.1425586	0.2752039	0.1987149	0.9054905	0.9538806	0.0940792	0.9982648	0.2396599	1.0000000	1.0000000
800	0.1425586	0.2752039	0.1987150	0.9054864	0.9537940	0.0941720	0.9977870	0.2435953	1.0000000	1.0000000
850	0.1425590	0.2752039	0.1987154	0.9054788	0.9536817	0.0942538	0.9974924	0.2451603	1.0000000	1.0000000
900	0.1425599	0.2752042	0.1987160	0.9054685	0.9535667	0.0943138	0.9973311	0.2457689	1.0000000	1.0000000
950	0.1425617	0.2752047	0.1987170	0.9054571	0.9534678	0.0943524	0.9972497	0.2460017	1.0000000	1.0000000
1000	0.1425643	0.2752054	0.1987180	0.9054464	0.9533933	0.0943749	0.9972108	0.2460898	1.0000000	1.0000000

0	0.1425725	0.2751917	0.1987195	0.9055260	0.9534142	0.0944288	0.9971821	0.2461422	1.0000000	1.0000000
50	0.3390593	0.2751396	0.1975072	0.9052353	0.9549975	0.0826664	0.9972252	0.2461422	1.0000000	1.0000000
100	0.5082252	0.2742626	0.1942487	0.9043734	0.9628247	0.0721168	0.9974543	0.2461422	1.0000000	1.0000000
150	0.5764347	0.2722242	0.1917068	0.9039278	0.9718611	0.0676133	0.9977435	0.2461422	1.0000000	1.0000000
200	0.5980527	0.2698556	0.1902971	0.9040748	0.9781682	0.0662943	0.9979593	0.2461422	1.0000000	1.0000000
250	0.6037229	0.2678873	0.1896056	0.9044429	0.9815505	0.0662807	0.9980792	0.2461422	1.0000000	1.0000000
300	0.6048105	0.2665320	0.1892751	0.9047704	0.9829967	0.0666759	0.9981302	0.2461422	1.0000000	1.0000000
350	0.6048158	0.2656980	0.1891131	0.9049790	0.9834174	0.0671025	0.9981432	0.2461422	1.0000000	1.0000000
400	0.6046609	0.2652182	0.1890310	0.9050834	0.9833904	0.0674358	0.9981397	0.2461422	1.0000000	1.0000000
450	0.6045378	0.2649527	0.1889892	0.9051215	0.9832201	0.0676614	0.9981313	0.2461422	1.0000000	1.0000000
500	0.6044629	0.2648095	0.1889687	0.9051258	0.9830416	0.0678020	0.9981232	0.2461422	1.0000000	1.0000000
550	0.4013755	0.2647363	0.1890190	0.9052501	0.9817845	0.0803543	0.9980709	0.2461422	1.0000000	1.0000000
600	0.2252796	0.2647732	0.1896154	0.9058952	0.9750179	0.0916333	0.9978285	0.2461422	1.0000000	1.0000000
650	0.1530934	0.2652138	0.1914858	0.9064653	0.9650237	0.0966364	0.9975163	0.2461422	1.0000000	1.0000000
700	0.1317123	0.2665259	0.1945293	0.9064524	0.9565047	0.0983636	0.9972751	0.2461422	1.0000000	1.0000000
750	0.1305096	0.2687911	0.1973673	0.9060414	0.9511911	0.0985267	0.9971342	0.2461422	1.0000000	1.0000000
800	0.1356070	0.2713830	0.1989618	0.9055637	0.9487593	0.0978564	0.9970721	0.2461422	1.0000000	1.0000000
850	0.1405406	0.2735070	0.1994002	0.9052090	0.9483432	0.0968233	0.9970612	0.2461422	1.0000000	1.0000000
900	0.1431886	0.2747941	0.1992550	0.9050297	0.9490863	0.0958144	0.9970788	0.2461422	1.0000000	1.0000000
950	0.1438603	0.2753429	0.1989845	0.9050003	0.9502791	0.0950616	0.9971074	0.2461422	1.0000000	1.0000000
1000	0.1435656	0.2754497	0.1987919	0.9050641	0.9514332	0.0946165	0.9971351	0.2461422	1.0000000	1.0000000

0	0.1425725	0.2751917	0.1987195	0.9055260	0.9534142	0.0944288	0.9971821	0.2461422	1.0000000	1.0000000
50	0.1256789	0.2695341	0.1395674	0.7361231	0.9557673	0.0768552	0.9972636	0.2507886	0.7450448	1.0000000
100	0.0806303	0.2331583	0.0724538	0.5930093	0.9663949	0.0627891	0.9972047	0.3419893	0.5357296	1.0000000
150	0.0540270	0.1733207	0.0368405	0.5317258	0.9770314	0.0640396	0.9944242	0.4928811	0.4538770	1.0000000
200	0.0436319	0.1169639	0.0245492	0.5089981	0.9809407	0.0794011	0.9827892	0.6197017	0.4274533	1.0000000
250	0.0401366	0.0790333	0.0234600	0.5008301	0.9740877	0.1016519	0.9550936	0.6982988	0.4196509	1.0000000
300	0.0390455	0.0595242	0.0256252	0.4973048	0.9534944	0.1235670	0.9123929	0.7396901	0.4174618	1.0000000
350	0.0387194	0.0520808	0.0277819	0.4945302	0.9194707	0.1446881	0.8644212	0.7594267	0.4168675	1.0000000
400	0.0386247	0.0505972	0.0292429	0.4909899	0.8730078	0.1670084	0.8189029	0.7682339	0.4167097	1.0000000
450	0.0385977	0.0513336	0.0301778	0.4859657	0.8135710	0.1914143	0.7777731	0.7719838	0.4166685	1.0000000
500	0.0385902	0.0525869	0.0308779	0.4788335	0.7411459	0.2179908	0.7401101	0.7735261	0.4166579	1.0000000
550	0.0387636	0.0673816	0.1341052	0.6381057	0.6414641	0.2989019	0.6974787	0.7687981	0.6716103	1.0000000
600	0.0692531	0.1370397	0.2273174	0.7638290	0.4848725	0.3719916	0.6535066	0.6485333	0.8809248	1.0000000
650	0.1996019	0.2196885	0.2438666	0.7939298	0.3468095	0.3705868	0.6816329	0.4889587	0.9627773	1.0000000
700	0.2866358	0.2721121	0.2315355	0.7773827	0.2918222	0.2959703	0.7793130	0.3724787	0.9892009	1.0000000
750	0.2844934	0.2931378	0.2215576	0.7610340	0.3529886	0.2100017	0.8765836	0.3060146	0.9970033	1.0000000
800	0.2534651	0.2976046	0.2172193	0.7740829	0.5146519	0.1490710	0.9391142	0.2727761	0.9991924	1.0000000
850	0.2278064	0.2964741	0.2142420	0.8101210	0.6915960	0.1151215	0.9714999	0.2574650	0.9997867	1.0000000
900	0.2089374	0.2937789	0.2102449	0.8467750	0.8200024	0.0987664	0.9864502	0.2507963	0.9999445	1.0000000
950	0.1914908	0.2902319	0.2058000	0.8730672	0.8942625	0.0918581	0.9929209	0.2480066	0.9999857	1.0000000
1000	0.1747371	0.2861787	0.2021137	0.8889551	0.9317925	0.0896477	0.9956129	0.2468743	0.9999964	1.0000000

0	0.1425725	0.2751917	0.1987195	0.9055260	0.9534142	0.0944288	0.9971821	0.2461422	1.0000000	1.0000000
50	0.1425746	0.3040464	0.1987140	0.9054693	0.9534044	0.0928449	0.9971789	0.2478190	0.9693729	1.0000000
100	0.1425641	0.3366575	0.1987144	0.9054700	0.9554603	0.0854104	0.9971652	0.2568177	0.9442284	1.0000000
150	0.1425596	0.3551329	0.1987138	0.9056585	0.9614548	0.0766682	0.9971164	0.2689573	0.9343956	1.0000000
200	0.1425517	0.3638866	0.1986998	0.9061359	0.9691550	0.0703416	0.9970424	0.2786819	0.9312214	1.0000000
250	0.1425121	0.3677087	0.1986624	0.9067969	0.9757832	0.0666636	0.9969726	0.2846896	0.9302841	1.0000000
300	0.1424149	0.3692915	0.1986047	0.9074517	0.9803571	0.0647652	0.9969228	0.2878773	0.9300211	1.0000000
350	0.1422609	0.3699091	0.1985411	0.9079775	0.9831188	0.0638564	0.9968929	0.2894106	0.9299498	1.0000000
400	0.1420786	0.3701244	0.1984864	0.9083445	0.9846459	0.0634455	0.9968771	0.2901002	0.9299308	1.0000000
450	0.1419058	0.3701801	0.1984482	0.9085766	0.9854385	0.0632698	0.9968695	0.2903956	0.9299258	1.0000000
500	0.1417696	0.3701797	0.1984264	0.9087130	0.9858295	0.0632000	0.9968659	0.2905178	0.9299246	1.0000000
550	0.1416788	0.3413092	0.1984165	0.9087886	0.9859902	0.0639624	0.9968656	0.2886225	0.9605514	1.0000000
600	0.1416274	0.3086720	0.1984134	0.9088217	0.9854895	0.0687486	0.9968899	0.2789001	0.9856958	1.0000000
650	0.1416035	0.2901801	0.1984139	0.9087809	0.9830968	0.0763639	0.9969564	0.2665959	0.9955285	1.0000000
700	0.1415979	0.2814177	0.1984197	0.9085884	0.9783012	0.0834956	0.9970386	0.2571791	0.9987027	1.0000000
750	0.1416116	0.2775875	0.1984365	0.9081985	0.9720413	0.0885330	0.9971065	0.2515343	0.9996400	1.0000000
800	0.1416564	0.2759927	0.1984695	0.9076546	0.9658921	0.0915265	0.9971492	0.2485988	0.9999030	1.0000000
850	0.1417446	0.2753609	0.1985176	0.9070641	0.9609663	0.0931128	0.9971701	0.2472061	0.9999744	1.0000000
900	0.1418766	0.2751355	0.1985730	0.9065320	0.9575722	0.0938859	0.9971777	0.2465858	0.9999933	1.0000000
950	0.1420363	0.2750794	0.1986254	0.9061163	0.9554858	0.0942355	0.9971790	0.2463219	0.9999983	1.0000000
1000	0.1421980	0.2750900	0.1986671	0.9058261	0.9543149	0.0943788	0.9971783	0.2462134	0.9999996	1.0000000

0	0.1425725	0.2751917	0.1987195	0.9055260	0.9534142	0.0944288	0.9971821	0.2461422	1.0000000	1.0000000
50	0.4673401	0.2751168	0.1971889	0.9030610	0.8429682	0.0944153	0.9972749	0.2230943	0.9381877	0.7117567
100	0.7490221	0.2740839	0.1939122	0.8865274	0.7347264	0.0944661	0.9976995	0.2078001	0.8874405	0.4547280
150	0.8662118	0.2720615	0.1927043	0.8527921	0.6827556	0.0948033	0.9981037	0.2105511	0.8675958	0.3419651
200	0.9065885	0.2705351	0.1944871	0.8128427	0.6617747	0.0954647	0.9982485	0.2185629	0.8611896	0.3001670
250	0.9196991	0.2708098	0.1985825	0.7809742	0.6539349	0.0960787	0.9981788	0.2251038	0.8592979	0.2857013
300	0.9243818	0.2731746	0.2034984	0.7614416	0.6511326	0.0961504	0.9980233	0.2290275	0.8587672	0.2808580
350	0.9267111	0.2769707	0.2078829	0.7512699	0.6501614	0.0954325	0.9978794	0.2310464	0.8586231	0.2792640
400	0.9283354	0.2811659	0.2111098	0.7464718	0.6498365	0.0940487	0.9977890	0.2319929	0.8585848	0.2787442
450	0.9295761	0.2849259	0.2131850	0.7443363	0.6497366	0.0923491	0.9977546	0.2324098	0.8585748	0.2785756
500	0.9304725	0.2878457	0.2143951	0.7434139	0.6497142	0.0906872	0.9977605	0.2325856	0.8585723	0.2785211
550	0.6292800	0.2898801	0.2148495	0.7656617	0.7677600	0.0892883	0.9976701	0.2619561	0.9203839	0.5667468
600	0.3667137	0.2908833	0.2124347	0.8244131	0.8878310	0.0882632	0.9970919	0.2782018	0.9711309	0.8237698
650	0.2492720	0.2899324	0.2071356	0.8671401	0.9429354	0.0877417	0.9965238	0.2726115	0.9909756	0.9365309
700	0.1957572	0.2867815	0.2021130	0.8894642	0.9607084	0.0879246	0.9964056	0.2623233	0.9973818	0.9783284
750	0.1672482	0.2826332	0.1990270	0.8996199	0.9641131	0.0888668	0.9965971	0.2546002	0.9992735	0.9927938
800	0.1514916	0.2789374	0.1978156	0.9038432	0.9631098	0.0903168	0.9968471	0.2501572	0.9998042	0.9976371
850	0.1437913	0.2764600	0.1977561	0.9054362	0.9609635	0.0918468	0.9970307	0.2479284	0.9999483	0.9992311
900	0.1410530	0.2752208	0.1981293	0.9059230	0.9586742	0.0930954	0.9971298	0.2469010	0.9999865	0.9997509
950	0.1408458	0.2748377	0.1984940	0.9059654	0.9566550	0.0939080	0.9971697	0.2464538	0.9999965	0.9999195
1000	0.1415001	0.2748731	0.1986993	0.9058501	0.9551194	0.0943213	0.9971794	0.2462669	0.9999991	0.9999740

0	0.1425725	0.2751917	0.1987195	0.9055260	0.9534142	0.0944288	0.9971821	0.2461422	1.0000000	1.0000000
50	0.1256314	0.2734569	0.1392695	0.9054777	0.9529144	0.1008346	0.7617129	0.1864566	1.0000000	1.0000000
100	0.0805518	0.2418070	0.0711415	0.9054140	0.9366776	0.1640447	0.5212668	0.1183262	1.0000000	1.0000000
150	0.0539846	0.1843904	0.0325746	0.9030102	0.8107344	0.3144519	0.4005507	0.0795986	1.0000000	1.0000000
200	0.0436155	0.1271407	0.0148578	0.8882393	0.5445893	0.5042238	0.3502397	0.0613328	1.0000000	1.0000000
250	0.0401311	0.0848172	0.0077174	0.8473615	0.3049235	0.6806481	0.3310002	0.0534404	1.0000000	1.0000000
300	0.0390437	0.0587794	0.0052691	0.7807062	0.1600472	0.8055833	0.3239920	0.0501980	1.0000000	1.0000000
350	0.0387188	0.0447194	0.0048319	0.7096916	0.0874037	0.8757988	0.3215156	0.0489086	1.0000000	1.0000000
400	0.0386244	0.0380025	0.0052621	0.6553961	0.0543461	0.9096187	0.3206580	0.0484072	1.0000000	1.0000000
450	0.0385975	0.0353483	0.0059916	0.6222702	0.0400928	0.9244452	0.3203650	0.0482153	1.0000000	1.0000000
500	0.0385899	0.0347551	0.0067009	0.6046923	0.0341379	0.9305438	0.3202659	0.0481428	1.0000000	1.0000000
550	0.0386132	0.0429390	0.1080042	0.5961127	0.0317675	0.9006006	0.5562599	0.1078012	1.0000000	1.0000000
600	0.0569288	0.1104902	0.2229847	0.5922541	0.0332079	0.7015303	0.7957296	0.1759215	1.0000000	1.0000000
650	0.2102366	0.2051768	0.2683292	0.5918652	0.0498286	0.4557264	0.9128768	0.2146453	1.0000000	1.0000000
700	0.3919566	0.2765783	0.2711394	0.6004354	0.1243341	0.2712741	0.9608518	0.2329098	1.0000000	1.0000000
750	0.4743527	0.3144313	0.2639930	0.6410541	0.3219664	0.1641633	0.9806379	0.2408017	1.0000000	1.0000000
800	0.4747108	0.3287021	0.2519868	0.7197794	0.5783957	0.1113948	0.9896013	0.2440439	1.0000000	1.0000000
850	0.4235779	0.3288129	0.2359809	0.7967464	0.7732530	0.0881168	0.9939538	0.2453332	1.0000000	1.0000000
900	0.3452293	0.3205637	0.2203912	0.8487622	0.8837543	0.0793510	0.9960865	0.2458346	1.0000000	1.0000000
950	0.2673371	0.3085225	0.2086158	0.8782313	0.9370259	0.0777277	0.9970888	0.2460265	1.0000000	1.0000000
1000	0.2080259	0.2964465	0.2013742	0.8935432	0.9596235	0.0796854	0.9975087	0.2460990	1.0000000	1.0000000

0	0.1425725	0.2751917	0.1987195	0.9055260	0.9534142	0.0944288	0.9971821	0.2461422	1.0000000	1.0000000
50	0.1267080	0.2700605	0.1448679	0.9001097	0.6379295	0.0587349	0.8538711	0.2461422	1.0000000	0.6664362
100	0.0822180	0.2372876	0.0839883	0.8609256	0.3082629	0.0288348	0.7077256	0.2461422	1.0000000	0.3689948
150	0.0548514	0.1839657	0.0528987	0.7826341	0.1385781	0.0214070	0.6345380	0.2461422	1.0000000	0.2385023
200	0.0439461	0.1349509	0.0451354	0.6994038	0.0661904	0.0282236	0.6040887	0.2461422	1.0000000	0.1901323
250	0.0402439	0.1045199	0.0497669	0.6405284	0.0379092	0.0404145	0.5923815	0.2461422	1.0000000	0.1733922
300	0.0390859	0.0931086	0.0581676	0.6079384	0.0274053	0.0507468	0.5879944	0.2461422	1.0000000	0.1677873
350	0.0387508	0.0942080	0.0656973	0.5922313	0.0236289	0.0567465	0.5863254	0.2461422	1.0000000	0.1659426
400	0.0386749	0.1007745	0.0709356	0.5852295	0.0223013	0.0591129	0.5856671	0.2461422	1.0000000	0.1653412
450	0.0386793	0.1081343	0.0740805	0.5822486	0.0218421	0.0592428	0.5854035	0.2461422	1.0000000	0.1651461
500	0.0387033	0.1141548	0.0757843	0.5810153	0.0216851	0.0583058	0.5853056	0.2461422	1.0000000	0.1650830
550	0.0396862	0.1280358	0.1581720	0.6072888	0.3514326	0.2138500	0.7281752	0.2461422	1.0000000	0.4986264
600	0.0893893	0.1824590	0.2386750	0.7128184	0.6332810	0.2731393	0.8718533	0.2461422	1.0000000	0.7960612
