"Time"	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C

0	0.5858956	0.4442539	0.6502194	0.1029927	0.2012443	0.4367972	0.9265615	0.2746690	0.8170274	0.3505898
50	0.5135959	0.4507145	0.5437192	0.1029518	0.2012225	0.4367770	0.9265437	0.2747365	0.7920960	0.3562438
100	0.4375812	0.4939637	0.4228791	0.1029177	0.2012083	0.4367733	0.9265085	0.2747991	0.7573437	0.3864102
150	0.3723645	0.5697112	0.3545612	0.1028942	0.2012017	0.4367815	0.9264676	0.2748476	0.7169146	0.4340934
200	0.3049045	0.6469106	0.3224626	0.1028818	0.2012014	0.4367961	0.9264300	0.2748781	0.6627597	0.4924993
250	0.2445361	0.7062153	0.3086236	0.1028790	0.2012054	0.4368126	0.9264012	0.2748913	0.5927354	0.5619242
300	0.1998468	0.7447001	0.3029376	0.1028832	0.2012115	0.4368275	0.9263832	0.2748906	0.5102802	0.6356577
350	0.1709865	0.7670750	0.3006649	0.1028913	0.2012181	0.4368386	0.9263757	0.2748806	0.4255980	0.7018395
400	0.1539557	0.7791282	0.2997655	0.1029006	0.2012237	0.4368454	0.9263764	0.2748662	0.3506411	0.7526934
450	0.1445020	0.7852725	0.2994048	0.1029092	0.2012278	0.4368480	0.9263827	0.2748513	0.2922506	0.7873271
500	0.1394823	0.7882806	0.2992535	0.1029158	0.2012302	0.4368474	0.9263915	0.2748386	0.2509958	0.8089187
550	0.1843715	0.7803083	0.4058694	0.1029198	0.2012309	0.4368447	0.9264005	0.2748296	0.2319233	0.8163565
600	0.2328751	0.7244730	0.5268781	0.1029215	0.2012304	0.4368412	0.9264081	0.2748247	0.2271845	0.7918124
650	0.2765696	0.6400806	0.5953299	0.1029213	0.2012293	0.4368376	0.9264134	0.2748234	0.2352113	0.7450235
700	0.3317456	0.5644646	0.6275257	0.1029199	0.2012278	0.4368346	0.9264162	0.2748246	0.2586441	0.6875479
750	0.3964771	0.5116178	0.6414314	0.1029178	0.2012264	0.4368326	0.9264170	0.2748275	0.2991012	0.6207628
800	0.4582568	0.4795605	0.6471578	0.1029158	0.2012253	0.4368315	0.9264161	0.2748309	0.3588807	0.5505456
850	0.5071907	0.4618066	0.6494493	0.1029141	0.2012246	0.4368313	0.9264144	0.2748340	0.4368032	0.4872131
900	0.5407536	0.4525797	0.6503510	0.1029129	0.2012242	0.4368317	0.9264123	0.2748365	0.5238746	0.4377066
950	0.5614293	0.4480042	0.6507029	0.1029122	0.2012242	0.4368324	0.9264104	0.2748381	0.6068273	0.4031174
1000	0.5731826	0.4458154	0.6508397	0.1029121	0.2012244	0.4368332	0.9264089	0.2748388	0.6756147	0.3809097

0	0.5858956	0.4442539	0.6502194	0.1029927	0.2012443	0.4367972	0.9265615	0.2746690	0.8170274	0.3505898
50	0.5848719	0.4522589	0.5192350	0.1050489	0.2012212	0.4366879	0.9304790	0.2160690	0.8107286	0.3998210
100	0.5698504	0.5073181	0.3691382	0.1064108	0.2011101	0.4349262	0.9482020	0.1579938	0.7747320	0.4472387
150	0.5153826	0.6051741	0.2830979	0.1065822	0.2004175	0.4297290	0.9677585	0.1289842	0.7215391	0.4738351
200	0.4317045	0.7046311	0.2424406	0.1055946	0.1986812	0.4227118	0.9810291	0.1171968	0.6707622	0.5001858
250	0.3520766	0.7799063	0.2259330	0.1032473	0.1961506	0.4163302	0.9882745	0.1140148	0.6223161	0.5392464
300	0.2943712	0.8273529	0.2216348	0.0999118	0.1934962	0.4117206	0.9917121	0.1151109	0.5679630	0.5890723
350	0.2587061	0.8530676	0.2235530	0.0963766	0.1912508	0.4088686	0.9930679	0.1181293	0.5061161	0.6393784
400	0.2388866	0.8643894	0.2283412	0.0933060	0.1896198	0.4073187	0.9933581	0.1216248	0.4436918	0.6813748
450	0.2289480	0.8671134	0.2338997	0.0909977	0.1885688	0.4065993	0.9931431	0.1247642	0.3889834	0.7118297
500	0.2247482	0.8652631	0.2389814	0.0894489	0.1879636	0.4063582	0.9927351	0.1271881	0.3464020	0.7316417
550	0.2239610	0.8488632	0.3908521	0.0863689	0.1876599	0.4063932	0.9907368	0.1940687	0.3178457	0.7246267
600	0.2311831	0.7664354	0.5668304	0.0844229	0.1875748	0.4073298	0.9781698	0.2598563	0.3051679	0.7227479
650	0.2617878	0.6453139	0.6710073	0.0838248	0.1879003	0.4111595	0.9550544	0.2928905	0.3006357	0.7178287
700	0.3258381	0.5388057	0.7220118	0.0841597	0.1891461	0.4185547	0.9317134	0.3062758	0.3029871	0.6879066
750	0.4145083	0.4655439	0.7430972	0.0857038	0.1916178	0.4277047	0.9149754	0.3090791	0.3213982	0.6245147
800	0.5047321	0.4221573	0.7468981	0.0887562	0.1950192	0.4361079	0.9061629	0.3054133	0.3686085	0.5409950
850	0.5771180	0.4000479	0.7387046	0.0931169	0.1986248	0.4421279	0.9040646	0.2977926	0.4494919	0.4604453
900	0.6247901	0.3921885	0.7213954	0.0980486	0.2016989	0.4452712	0.9067104	0.2885655	0.5516904	0.3976183
950	0.6496449	0.3940493	0.6983423	0.1025944	0.2037829	0.4458573	0.9119949	0.2798177	0.6523661	0.3554765
1000	0.6565185	0.4025775	0.6739018	0.1059719	0.2047634	0.4446261	0.9180480	0.2729677	0.7342039	0.3307900

0	0.5858956	0.4442539	0.6502194	0.1029927	0.2012443	0.4367972	0.9265615	0.2746690	0.8170274	0.3505898
50	0.5851779	0.4481181	0.5859364	0.1029518	0.2012225	0.4367770	0.9265437	0.2747365	0.7850686	0.3508544
100	0.5779921	0.4727144	0.5130136	0.1029177	0.2012083	0.4367733	0.9265085	0.2747991	0.7479476	0.3511067
150	0.5521363	0.5144343	0.4718208	0.1028942	0.2012017	0.4367815	0.9264676	0.2748476	0.7259194	0.3543985
200	0.5094056	0.5563637	0.4524956	0.1028818	0.2012014	0.4367961	0.9264300	0.2748781	0.7125001	0.3662878
250	0.4634734	0.5884941	0.4441813	0.1028790	0.2012054	0.4368126	0.9264012	0.2748913	0.6981643	0.3893633
300	0.4253291	0.6093907	0.4407712	0.1028832	0.2012115	0.4368275	0.9263832	0.2748906	0.6758635	0.4205781
350	0.3984383	0.6215827	0.4394047	0.1028913	0.2012181	0.4368386	0.9263757	0.2748806	0.6435612	0.4535878
400	0.3814488	0.6281762	0.4388543	0.1029006	0.2012237	0.4368454	0.9263764	0.2748662	0.6044972	0.4826981
450	0.3715154	0.6315539	0.4386215	0.1029092	0.2012278	0.4368480	0.9263827	0.2748513	0.5646404	0.5050546
500	0.3660323	0.6332207	0.4385126	0.1029158	0.2012302	0.4368474	0.9263915	0.2748386	0.5292902	0.5204869
550	0.3633754	0.6288444	0.5028999	0.1029198	0.2012309	0.4368447	0.9264005	0.2748296	0.5229476	0.5306261
600	0.3675284	0.5987220	0.5759852	0.1029215	0.2012304	0.4368412	0.9264081	0.2748247	0.5268636	0.5373507
650	0.3879577	0.5531380	0.6173271	0.1029213	0.2012293	0.4368376	0.9264134	0.2748234	0.5266412	0.5366823
700	0.4249667	0.5117644	0.6367722	0.1029199	0.2012278	0.4368346	0.9264162	0.2748246	0.5281762	0.5223279
750	0.4687726	0.4824179	0.6451724	0.1029178	0.2012264	0.4368326	0.9264170	0.2748275	0.5405557	0.4941694
800	0.5086485	0.4643785	0.6486340	0.1029158	0.2012253	0.4368315	0.9264161	0.2748309	0.5688571	0.4593138
850	0.5389489	0.4542770	0.6500219	0.1029141	0.2012246	0.4368313	0.9264144	0.2748340	0.6106942	0.4260972
