YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.0000000	0.4556051	0.7083325	0.9759747	0.0494288	0.2344916	0.8881990	0.4929874	0.2208235	1.0486997
1.0621718	0.0000000	0.7037101	1.0135736	0.0523838	0.1894125	1.0485412	0.0173787	0.1345790	1.0222951
0.2621635	1.0053726	0.0000000	0.9931186	0.0567742	0.2668667	0.9637048	0.3544199	0.2512647	1.0157619
0.2314448	0.9258303	0.0850898	0.0000000	0.1163509	0.3186952	0.9859440	0.2942114	0.3667433	0.9995731
0.4402114	0.4872809	0.7141056	1.1039208	0.0000000	0.2015536	0.9397378	0.2019585	0.0361875	1.0947181
0.3902079	0.5545220	0.7382918	0.9790851	0.0120667	0.0000000	1.0053343	0.2523732	0.0795130	1.0045896
0.4448878	0.4346272	0.7727746	0.8072886	0.5322853	0.9009047	0.0000000	0.2246628	0.4525811	1.0569126
0.4035331	0.4774657	0.6704503	1.0550178	0.0559058	0.1735186	1.0127655	0.0000000	0.2178334	0.9997747
0.4186330	0.4867686	0.6490811	0.9701446	0.0566407	0.2364261	1.0088067	0.2545901	0.0000000	0.9850890
0.4724298	0.4004378	0.8987835	0.9814085	0.0645599	0.1947040	0.9612955	0.5445951	0.7448934	0.0000000
