YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.1214580	0.1188817	0.1114559	0.7400197	0.0653533	0.0007590	0.1773693	0.6490972	0.2359015	0.8357875
0.5486706	0.0001916	0.2919165	0.5086820	0.1084141	0.0003233	0.2107110	0.1982452	0.1977779	0.7822922
0.1331139	0.1026131	0.0117240	0.9433187	0.0273269	0.0152654	0.1886665	0.5985203	0.2215922	1.0000000
0.0000800	0.0004743	0.3646437	0.0322945	0.5617870	0.0623838	0.1856175	0.3807246	0.2252962	0.9446323
0.2701262	0.2379441	0.3596902	0.0581068	0.4500078	0.0651871	0.1122393	0.4357332	0.0468620	0.7238109
0.1794148	0.1475015	0.1697260	0.5980221	0.0427029	0.0623467	0.1886665	0.2856781	0.2215922	1.0000000
0.1282845	0.0008669	0.2949725	0.4541383	0.1211381	0.0616716	0.4569929	0.1439833	0.0782308	0.8521612
0.0968341	0.1575900	0.0356306	0.8475080	0.0469119	0.0645050	0.1204049	0.5897971	0.2215922	1.0000000
0.0000003	0.0000000	0.0000001	0.8091260	0.0000023	0.0623467	0.1886665	0.5524180	0.2215922	1.0000000
0.1795537	0.0004028	0.3511826	0.9999995	0.0000033	0.0623467	0.1886665	0.6688220	0.2215922	1.0000000
