"Time"	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W

0	0.0674955	0.0043735	0.6298700	0.3185876	0.6078293	0.6924727	0.0768635	0.3361193	0.4907367	0.3006374
50	0.0871372	0.0041729	0.6707241	0.2033396	0.5126891	0.7195199	0.0161535	0.3543458	0.4913748	0.4078571
100	0.0550292	0.0004201	0.6893409	0.2712488	0.5698004	0.7317255	0.0120881	0.2697961	0.5568447	0.2241786
150	0.0629000	0.0022562	0.7935650	0.2325019	0.5219703	0.7808021	0.0032359	0.3125469	0.6093771	0.3025168
200	0.1147339	0.0008881	0.8376367	0.2041561	0.5669628	0.8224756	0.0007134	0.2912377	0.4559781	0.2826520
250	0.0634165	0.0006325	0.8402026	0.2137015	0.5443083	0.7745690	0.0034806	0.2913779	0.4081670	0.2640929
300	0.1006227	0.0063323	0.8071147	0.1599803	0.5662106	0.6790841	0.0051205	0.2719326	0.4162167	0.4008039
350	0.1056050	0.0011698	0.8011854	0.1551102	0.7073935	0.7836886	0.0002474	0.2181432	0.4648914	0.2242614
400	0.1114942	0.0057807	0.7146616	0.1990978	0.5106188	0.7449254	0.0017480	0.3256067	0.4932348	0.3750815
450	0.0871564	0.0020516	0.7426201	0.1692560	0.5785534	0.7867750	0.0001143	0.2695748	0.4765308	0.2517714
500	0.0905339	0.0055422	0.7426289	0.1846826	0.6290964	0.7439520	0.0025184	0.3200292	0.5020988	0.2375428
550	0.1118791	0.0028502	0.6644045	0.2506930	0.7482142	0.6881182	0.0233055	0.2465940	0.4487956	0.2218203
600	0.0718767	0.0005680	0.5820757	0.3538769	0.6029315	0.8029033	0.0993662	0.2458615	0.3687037	0.2373324
650	0.1105927	0.0021484	0.5961953	0.2956465	0.5718582	0.8273807	0.0768491	0.2741797	0.3913703	0.2819746
700	0.0817670	0.0016628	0.6974564	0.4013328	0.6006641	0.7584479	0.1019286	0.2800256	0.3382496	0.3727772
750	0.1247008	0.0023137	0.7187091	0.2347055	0.6625334	0.6698336	0.0569997	0.2740525	0.4432661	0.3424570
800	0.0587611	0.0011355	0.6452030	0.3092486	0.5425735	0.7560209	0.0426935	0.3450509	0.4744675	0.3696215
850	0.0788378	0.0017062	0.7090141	0.2795711	0.5907087	0.8117129	0.0335439	0.2758250	0.4882614	0.2774675
900	0.0794283	0.0039483	0.8182431	0.3844832	0.6140559	0.6713737	0.0550246	0.3070803	0.3756262	0.3129431
950	0.0933189	0.0005617	0.5646570	0.3186572	0.5999363	0.6539338	0.0836656	0.3762560	0.5630796	0.3012594
