"Time"	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W

0	0.8888418	0.4803615	0.7761542	0.0871857	0.7759966	0.7306908	0.7779175	0.3383481	0.2063261	0.3114120
50	0.8887323	0.4806684	0.7876822	0.0464858	0.7887898	0.8866664	0.7882406	0.4515909	0.3497881	0.3695938
100	0.8883511	0.4837336	0.8164050	0.0345996	0.8223518	0.9514829	0.8105431	0.4943836	0.4049744	0.3935813
150	0.8865153	0.4904776	0.8407279	0.0302184	0.8527634	0.9784371	0.8292280	0.5097220	0.4315185	0.4042187
200	0.8822396	0.4983045	0.8557217	0.0280357	0.8730051	0.9896586	0.8407662	0.5147536	0.4453174	0.4102825
250	0.8759031	0.5049371	0.8638017	0.0267801	0.8848320	0.9943364	0.8469465	0.5167394	0.4528847	0.4149276
300	0.8688141	0.5096350	0.8678540	0.0260477	0.8912701	0.9962889	0.8500564	0.5185422	0.4574871	0.4188639
350	0.8622564	0.5126046	0.8697972	0.0256326	0.8946195	0.9971049	0.8516978	0.5208699	0.4606624	0.4220674
400	0.8569650	0.5143409	0.8707005	0.0254058	0.8963069	0.9974465	0.8527491	0.5235122	0.4630311	0.4244800
450	0.8531102	0.5153000	0.8711110	0.0252857	0.8971366	0.9975901	0.8535909	0.5260539	0.4648187	0.4261653
500	0.8505146	0.5158075	0.8712944	0.0252240	0.8975370	0.9976508	0.8543342	0.5281962	0.4661285	0.4272689
550	0.8488750	0.5159533	0.8655956	0.0657307	0.8922889	0.8525039	0.8494676	0.4219640	0.3380060	0.3722345
600	0.8480573	0.5145637	0.8466521	0.0771643	0.8725256	0.7914797	0.8346277	0.3811390	0.2840331	0.3500942
650	0.8486102	0.5104458	0.8247438	0.0809074	0.8468513	0.7643759	0.8178911	0.3663682	0.2554211	0.3403908
700	0.8513199	0.5043917	0.8072094	0.0827275	0.8240430	0.7509975	0.8052434	0.3620329	0.2396579	0.3349607
