YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.8642775	0.0765053	0.3600221	0.6223124	0.6821349	0.6136236	0.5119888	0.5351208	0.7169142	0.0773799
0.6437372	0.0652339	0.3336425	0.7273089	0.7245955	0.5143177	0.4794744	0.7528486	0.9465937	0.0825489
0.8917193	0.0000070	0.7953292	0.4688631	0.2557684	0.7723319	0.3247932	0.8569058	0.9991851	0.0043571
0.9999817	0.0001207	0.4632545	0.5492517	0.6935340	0.5948625	0.4736024	0.7628324	0.9619799	0.0644549
0.8601418	0.0761331	0.4540624	0.6895870	0.7236888	0.5772326	0.4539972	0.7977991	0.9597470	0.0671588
0.9999801	0.0001286	0.4508814	0.7211010	0.6393193	0.5971833	0.5277837	0.6751583	0.8470139	0.0326329
0.8717642	0.0760376	0.5518455	0.7596450	0.8252811	0.4790703	0.4216421	0.8260711	0.9966207	0.0116598
0.9360912	0.0766679	0.3424414	0.7122259	0.7600432	0.5440210	0.5348981	0.6643829	0.7109086	0.0699840
0.6757530	0.0760118	0.6290163	0.4777702	0.5817876	0.4552797	0.3000336	0.8705435	0.9805273	0.0398359
0.9367506	0.0760022	0.6870576	0.6148182	0.8592858	0.4297939	0.3523857	0.7753761	0.9828819	0.0363809
