YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.4033803	0.1314209	0.8158718	0.4024702	0.7086555	0.7536144	0.0119528	0.5083391	0.1231185	0.0008323
0.6963106	0.0986799	0.8284778	0.4092544	0.7787125	0.7849649	0.0392983	0.5541175	0.1407919	0.0017763
0.5172885	0.1966365	0.8682662	0.1947342	0.3829627	0.8810686	0.0626409	0.7404992	0.2201876	0.0551096
0.5250761	0.0510385	0.8010256	0.2219468	0.4437374	0.9827730	0.0812966	0.5598469	0.6199281	0.5186198
0.4839439	0.1413126	0.7887579	0.3964237	0.5496459	0.6897080	0.0011148	0.5126008	0.0351277	0.0809098
0.4015051	0.2725546	0.5446500	0.1572924	0.3538478	0.7352298	0.0053967	0.4894939	0.1801301	0.0394983
0.7402744	0.0575724	0.8838632	0.2805520	0.4454622	0.8343960	0.1190085	0.4179427	0.1858132	0.0571737
0.5753280	0.1289456	0.9387723	0.2738568	0.5505473	0.6700735	0.2064406	0.4568768	0.0294220	0.0222232
0.3387414	0.2233746	0.8303093	0.2149793	0.3679793	0.7661972	0.0067639	0.3679101	0.0461472	0.0185672
0.5074012	0.1607987	0.6107049	0.2751065	0.5466630	0.6251526	0.0094065	0.8534817	0.2906478	0.0563351
