YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.0000000	0.2631425	0.6603032	0.4679176	0.7130156	0.0821407	0.8168661	0.7387696	0.7350621	0.0354537
0.5180878	0.0000000	0.5866730	0.4418339	0.7621502	0.0940168	0.5838876	0.7558040	0.6811056	0.0956194
0.1748227	0.8547289	0.0000000	0.4840097	0.8284594	0.1120374	0.7255142	0.7515831	0.7483752	0.0729917
0.1913309	0.6675798	0.0127294	0.0000000	0.7586658	0.1058801	0.7490029	0.7391616	0.7681644	0.0598119
0.1696822	0.8211298	0.0119982	0.0035436	0.0023591	0.5584079	0.7031454	0.6468757	0.6222350	0.7225952
0.3655209	0.2891550	0.7026251	0.5190000	0.8037008	0.0000000	0.7086814	0.8128521	0.7272580	0.0628342
0.1555344	0.2594659	0.5029593	0.5426177	0.6007353	0.2795999	0.0000000	0.8606197	0.6046349	0.0688634
0.2488168	0.4303575	0.5866175	0.4587857	0.7222374	0.2796913	0.0125241	0.0000000	0.8381932	0.1353056
0.1832975	0.2702413	0.6060980	0.4791176	0.7222125	0.3134868	0.0342652	0.0232996	0.0000000	0.0916751
0.4041317	0.2829066	0.5191678	0.4385589	0.7119821	0.1349240	0.6706978	0.7308234	0.7383337	0.0000000
