YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0547581	0.4515445	0.6306127	0.5623365	0.9511484	0.1274501	0.1013936	0.0760538	0.0573222	0.2576179
0.0801225	0.2261340	0.6310022	0.5632751	0.9495294	0.1292986	0.1013957	0.0760714	0.0580234	0.2588539
0.0794582	0.0516485	0.3154879	0.5631714	0.9496314	0.1292469	0.1013953	0.0760685	0.0579118	0.2586767
0.0794587	0.0812338	0.3722265	0.2815631	0.9496739	0.1292148	0.1013186	0.0755248	0.0064454	0.0789417
0.3960690	0.7378275	0.8166425	0.8829112	0.4247200	0.2208322	0.2214004	0.3766883	0.5083380	0.6972482
0.1043775	0.4361601	0.6223046	0.5422467	0.9891010	0.0650425	0.1013541	0.0757706	0.0446373	0.2334131
0.1081764	0.4477571	0.6285741	0.5572532	0.9605928	0.1155135	0.0506904	0.0759602	0.0537936	0.2513117
0.1096832	0.4520265	0.6308662	0.5629378	0.9500914	0.1286862	0.0974329	0.0380360	0.0577935	0.2584141
0.1097675	0.4523492	0.6310761	0.5635688	0.9488432	0.1301947	0.1013297	0.0755924	0.0290638	0.2591117
0.1097583	0.4523356	0.6310715	0.5635620	0.9488520	0.1301879	0.1013194	0.0755290	0.0120798	0.1295500
