YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0828394	0.1494043	0.1571605	0.7609503	0.6192637	0.0313315	0.7203149	0.2284690	0.7812251	0.6702030
0.4617785	0.2606055	0.2244699	0.4537103	0.7501333	0.0339267	0.7003791	0.1134815	0.7308768	0.7479548
0.1032316	0.1629826	0.1554127	0.7029982	0.6145314	0.1202357	0.6022610	0.1287738	0.7597705	0.8433941
0.0208967	0.2247138	0.0741536	0.4057284	0.4635661	0.0444593	0.6996060	0.1073690	0.9343507	0.7423124
0.1256008	0.2017649	0.1955612	0.6027295	0.9048168	0.0377788	0.6119282	0.1602097	0.6444262	0.7866372
0.0002564	0.0855432	0.0734825	0.7144834	0.5546938	0.1032628	0.6568653	0.2447143	0.8366672	0.6595827
0.1477846	0.4106076	0.1329122	0.6891314	0.2120705	0.3145678	0.2187394	0.5483873	0.3057147	0.7769642
0.2063390	0.2041350	0.2577583	0.6633077	0.7659972	0.0557296	0.7236990	0.1373996	0.6778354	0.7172919
0.2693562	0.3454737	0.1488096	0.7648438	0.6226016	0.0477668	0.5394165	0.1454976	0.7554619	0.6908934
0.5312277	0.3769983	0.1799098	0.6846142	0.4233348	0.1560429	0.5024015	0.2838681	0.4164818	0.5818433
