"Time"	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C

0	0.2105360	0.9978171	0.2469520	0.3942145	0.0677688	0.3893760	0.2357250	0.6036785	0.9537433	1.0000000
50	0.2105471	0.9977678	0.2244763	0.5898969	0.0630112	0.2915971	0.2363950	0.5263494	0.9559696	1.0000000
100	0.2105685	0.9972258	0.1800104	0.6486096	0.0540513	0.2631848	0.2382647	0.5067956	0.9564028	1.0000000
150	0.2106733	0.9954631	0.1511044	0.6609979	0.0485364	0.2527629	0.2399842	0.5017086	0.9564871	1.0000000
200	0.2110002	0.9919864	0.1373482	0.6608505	0.0459415	0.2476039	0.2410419	0.5003908	0.9565035	1.0000000
250	0.2116912	0.9871918	0.1318182	0.6584279	0.0447953	0.2447475	0.2415764	0.5000542	0.9565067	1.0000000
300	0.2127730	0.9823913	0.1299814	0.6562956	0.0443142	0.2432130	0.2418189	0.4999695	0.9565073	1.0000000
350	0.2140915	0.9787200	0.1295903	0.6548541	0.0441608	0.2424415	0.2419220	0.4999485	0.9565074	1.0000000
400	0.2153967	0.9764527	0.1296690	0.6539840	0.0441803	0.2420772	0.2419642	0.4999433	0.9565074	1.0000000
450	0.2164874	0.9752770	0.1298424	0.6534949	0.0442840	0.2419138	0.2419809	0.4999421	0.9565074	1.0000000
500	0.2172817	0.9747610	0.1299912	0.6532344	0.0444142	0.2418433	0.2419875	0.4999418	0.9565074	1.0000000
550	0.2177951	0.9749299	0.1408708	0.4204564	0.0465410	0.3396782	0.2409119	0.5772577	0.9542811	1.0000000
600	0.2179676	0.9790917	0.1797249	0.3667517	0.0529097	0.3685655	0.2387306	0.5968172	0.9538480	1.0000000
650	0.2173986	0.9867473	0.2231384	0.3663443	0.0593301	0.3793169	0.2371916	0.6019088	0.9537637	1.0000000
700	0.2160120	0.9926331	0.2490048	0.3753947	0.0636123	0.3843855	0.2363787	0.6032285	0.9537473	1.0000000
750	0.2143479	0.9957471	0.2575415	0.3831047	0.0659635	0.3869751	0.2360008	0.6035658	0.9537441	1.0000000
800	0.2129127	0.9971543	0.2573308	0.3880935	0.0671073	0.3882705	0.2358373	0.6036506	0.9537435	1.0000000
850	0.2118903	0.9977267	0.2545209	0.3909953	0.0676018	0.3888873	0.2357696	0.6036717	0.9537434	1.0000000
900	0.2112480	0.9979222	0.2517579	0.3925830	0.0677816	0.3891672	0.2357425	0.6036769	0.9537433	1.0000000
950	0.2108811	0.9979580	0.2497562	0.3934137	0.0678259	0.3892891	0.2357317	0.6036781	0.9537433	1.0000000
1000	0.2106890	0.9979349	0.2484909	0.3938326	0.0678215	0.3893406	0.2357276	0.6036784	0.9537433	1.0000000

0	0.2105360	0.9978171	0.2469520	0.3942145	0.0677688	0.3893760	0.2357250	0.6036785	0.9537433	1.0000000
50	0.2105469	0.9978105	0.2485374	0.3623573	0.0582886	0.1648117	0.2409093	0.2356846	0.9537433	1.0000000
100	0.2105527	0.9978723	0.2705167	0.2709072	0.0453292	0.0948678	0.2816673	0.1495391	0.9537433	1.0000000
150	0.2105420	0.9982403	0.3407408	0.1815108	0.0401794	0.0526924	0.3805859	0.1293729	0.9537433	1.0000000
200	0.2104815	0.9989056	0.4702268	0.1164952	0.0386386	0.0240876	0.4820960	0.1246521	0.9537433	1.0000000
