"Time"	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C

0	0.1306622	0.7329369	0.9979802	0.9968974	1.0000000	1.0000000	0.0591005	1.0000000	1.0000000	1.0000000
50	0.0454439	0.7329582	0.9979910	0.9969997	1.0000000	0.9611672	0.0622812	0.7795849	1.0000000	1.0000000
100	0.0083141	0.7329659	0.9979951	0.9970467	1.0000000	0.9177163	0.0866956	0.5782547	1.0000000	1.0000000
150	0.0012752	0.7329688	0.9979968	0.9970682	1.0000000	0.8935531	0.1368329	0.4872461	1.0000000	1.0000000
200	0.0001814	0.7329698	0.9979975	0.9970780	1.0000000	0.8823992	0.1907457	0.4523866	1.0000000	1.0000000
250	0.0000260	0.7329702	0.9979977	0.9970824	1.0000000	0.8776794	0.2294581	0.4398921	1.0000000	1.0000000
300	0.0000051	0.7329704	0.9979979	0.9970844	1.0000000	0.8757794	0.2510484	0.4355521	1.0000000	1.0000000
350	0.0000023	0.7329704	0.9979979	0.9970853	1.0000000	0.8750384	0.2613102	0.4340684	1.0000000	1.0000000
400	0.0000020	0.7329705	0.9979980	0.9970857	1.0000000	0.8747557	0.2657049	0.4335654	1.0000000	1.0000000
450	0.0000020	0.7329705	0.9979980	0.9970859	1.0000000	0.8746495	0.2674595	0.4333956	1.0000000	1.0000000
500	0.0000020	0.7329705	0.9979980	0.9970860	1.0000000	0.8746101	0.2681269	0.4333385	1.0000000	1.0000000
550	0.0851960	0.7329705	0.9979980	0.9970860	1.0000000	0.9134283	0.2406844	0.6537343	1.0000000	1.0000000
600	0.1223189	0.7329705	0.9979980	0.9970861	1.0000000	0.9568739	0.1604051	0.8550581	1.0000000	1.0000000
650	0.1293559	0.7329705	0.9979980	0.9970861	1.0000000	0.9810352	0.1030912	0.9460645	1.0000000	1.0000000
700	0.1304493	0.7329705	0.9979980	0.9970861	1.0000000	0.9921884	0.0760967	0.9809232	1.0000000	1.0000000
750	0.1306045	0.7329705	0.9979980	0.9970861	1.0000000	0.9969079	0.0652930	0.9934175	1.0000000	1.0000000
800	0.1306254	0.7329705	0.9979980	0.9970861	1.0000000	0.9988079	0.0612871	0.9977575	1.0000000	1.0000000
850	0.1306281	0.7329705	0.9979980	0.9970861	1.0000000	0.9995488	0.0598591	0.9992412	1.0000000	1.0000000
900	0.1306285	0.7329705	0.9979980	0.9970861	1.0000000	0.9998315	0.0593609	0.9997442	1.0000000	1.0000000
950	0.1306285	0.7329705	0.9979980	0.9970861	1.0000000	0.9999377	0.0591893	0.9999139	1.0000000	1.0000000
1000	0.1306285	0.7329705	0.9979980	0.9970861	1.0000000	0.9999771	0.0591306	0.9999711	1.0000000	1.0000000

0	0.1306622	0.7329369	0.9979802	0.9968974	1.0000000	1.0000000	0.0591005	1.0000000	1.0000000	1.0000000
