"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W

0	0.1432118	0.6486695	0.9998125	0.9996995	0.2503167	0.5179028	0.0297834	0.9520501	0.0896774	1.0000000
50	0.1432146	0.8423214	0.9998114	0.7165584	0.3736872	0.5176356	0.0304683	0.8842684	0.0897284	1.0000000
100	0.1432164	0.9113365	0.9997877	0.4657800	0.4903915	0.5117872	0.0335299	0.8257770	0.0896006	1.0000000
150	0.1432150	0.9193604	0.9997138	0.3555085	0.5442945	0.4961596	0.0368658	0.8013488	0.0885059	1.0000000
200	0.1432028	0.9189571	0.9996088	0.3141350	0.5628037	0.4774660	0.0389702	0.7921974	0.0858275	1.0000000
250	0.1431724	0.9182745	0.9995146	0.2995175	0.5658955	0.4625397	0.0400271	0.7874698	0.0821402	1.0000000
300	0.1431260	0.9178152	0.9994499	0.2944859	0.5637207	0.4529093	0.0405944	0.7833446	0.0785021	1.0000000
350	0.1430732	0.9174191	0.9994088	0.2927728	0.5606498	0.4471314	0.0410128	0.7791787	0.0755719	1.0000000
400	0.1430239	0.9170370	0.9993797	0.2921902	0.5581008	0.4434345	0.0413965	0.7753210	0.0734770	1.0000000
450	0.1429835	0.9166904	0.9993555	0.2919895	0.5562471	0.4407100	0.0417490	0.7721304	0.0720560	1.0000000
500	0.1429532	0.9164042	0.9993337	0.2919176	0.5549051	0.4384912	0.0420491	0.7696992	0.0710877	1.0000000
550	0.1429315	0.6866617	0.9993206	0.5748615	0.4218285	0.4370569	0.0411074	0.8364457	0.0704017	1.0000000
600	0.1429164	0.6238974	0.9993856	0.8255379	0.2961156	0.4422331	0.0370570	0.8989639	0.0700111	1.0000000
650	0.1429068	0.6306764	0.9995307	0.9358701	0.2390197	0.4582916	0.0334771	0.9265575	0.0704592	1.0000000
700	0.1429054	0.6388567	0.9996592	0.9773361	0.2220335	0.4780444	0.0315856	0.9358544	0.0723634	1.0000000
750	0.1429169	0.6424606	0.9997358	0.9920152	0.2230639	0.4938601	0.0307968	0.9394655	0.0755583	1.0000000
800	0.1429439	0.6440564	0.9997730	0.9970767	0.2297721	0.5037438	0.0304729	0.9421714	0.0791864	1.0000000
850	0.1429841	0.6451536	0.9997897	0.9988014	0.2364591	0.5091881	0.0302932	0.9447856	0.0824088	1.0000000
900	0.1430307	0.6461154	0.9997976	0.9993870	0.2413749	0.5121735	0.0301549	0.9470513	0.0848419	1.0000000
950	0.1430759	0.6469192	0.9998023	0.9995868	0.2445691	0.5139833	0.0300413	0.9487661	0.0865080	1.0000000
1000	0.1431147	0.6475236	0.9998055	0.9996564	0.2465765	0.5152173	0.0299544	0.9499463	0.0876011	1.0000000

