YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0000000	0.0830705	0.1397822	0.2612997	0.6210325	0.0282166	0.4008992	0.8598887	0.0849698	0.5551013
0.6707591	0.0000000	0.0600908	0.1618002	0.7618170	0.0188627	0.3511974	0.7737989	0.0793950	0.4462735
0.7121240	0.1490610	0.0037843	0.1845769	0.8838599	0.0230194	0.3813791	0.7916464	0.0802942	0.4883648
0.5728280	0.5708249	0.7788467	0.0000000	0.7790780	0.0074244	0.4656105	0.9153733	0.1206226	0.6981467
0.5364321	0.1156972	0.0754276	0.7592982	0.0000000	0.0489920	0.3425957	0.8202876	0.0464125	0.5262360
0.8328818	0.0783441	0.1521339	0.2021616	0.7376435	0.0000000	0.2751728	1.0026286	0.0890339	0.5493767
0.7013498	0.0983198	0.1255798	0.1926437	0.7197357	0.0986695	0.0000000	0.8093465	0.0471661	0.4032938
0.8373972	0.0789695	0.2313275	0.2669607	0.7303410	0.0423852	0.3375251	0.0000000	0.0414288	0.4890720
0.5969437	0.0625382	0.1239347	0.1361925	0.7109427	0.0208150	0.2548653	0.6561922	0.0000000	0.5964163
0.8606433	0.0836230	0.0434770	0.5699279	0.1484779	0.7190923	0.2252817	0.7477247	0.0384887	0.0000000
