"Time"	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C

0	0.5254615	0.2915531	0.7116559	0.4304825	0.0708215	0.2442149	0.5452573	0.7338603	0.0046099	0.0616273
50	0.4791845	0.2985216	0.7669171	0.3575646	0.1054458	0.2655565	0.5282624	0.4778983	0.0025478	0.0715104
100	0.5088800	0.3075252	0.8225702	0.4771747	0.0606073	0.2011513	0.7323445	0.4475792	0.0090356	0.0600691
150	0.4407144	0.2795790	0.7046492	0.3333665	0.1160522	0.2082453	0.5570664	0.4118567	0.0214063	0.0727859
200	0.5110958	0.2004792	0.6081264	0.2353271	0.1371022	0.1689418	0.6123145	0.4627915	0.0081680	0.0460931
250	0.5109086	0.2664901	0.7675219	0.3077125	0.0968606	0.1884246	0.6734356	0.3512647	0.0179202	0.0340506
300	0.5801214	0.3393996	0.8582719	0.3651616	0.0584440	0.1839074	0.5652243	0.4619894	0.0122203	0.0455343
350	0.4730337	0.2306678	0.7554528	0.4869473	0.0457180	0.1659217	0.6383260	0.3735596	0.0158425	0.0402951
400	0.5897679	0.2312990	0.8505542	0.3316005	0.1020241	0.2201097	0.5125163	0.4217402	0.0047798	0.0423090
450	0.5601205	0.2663660	0.8654869	0.4359502	0.1127784	0.2250921	0.6251979	0.4641862	0.0094144	0.0545400
500	0.4739660	0.2712085	0.6714393	0.3941737	0.1003092	0.1818481	0.6059474	0.4225559	0.0083900	0.0393308
550	0.6199863	0.2770249	0.7464925	0.3610408	0.2137983	0.2529988	0.5988138	0.5918156	0.0069591	0.0313230
600	0.5112891	0.2761897	0.7515330	0.3776764	0.1020825	0.2728143	0.6839305	0.6414215	0.0136650	0.0519562
650	0.5892453	0.2973661	0.8009448	0.3952330	0.0932090	0.3411038	0.5322034	0.7500163	0.0148177	0.0526217
700	0.5735151	0.2534683	0.8049396	0.3258114	0.1178046	0.2583515	0.4989826	0.6720204	0.0138980	0.0234464
750	0.4814842	0.3092849	0.7267820	0.3164306	0.0960463	0.2087014	0.5252633	0.8508756	0.0091917	0.0216071
800	0.4547649	0.3481408	0.7962181	0.2900168	0.0792082	0.2729097	0.6613550	0.8041363	0.0048255	0.0334928
850	0.5131972	0.2938226	0.7699164	0.3371716	0.0422037	0.2186273	0.5597356	0.8550447	0.0256612	0.0307910
900	0.4743306	0.2978967	0.7540800	0.4280479	0.0894260	0.3064824	0.5594695	0.7173957	0.0047142	0.0802779
950	0.5018116	0.3920762	0.6652938	0.2984971	0.0923610	0.1938235	0.6130674	0.6558546	0.0117459	0.0731915
1000	0.4438589	0.3227428	0.6913350	0.3987150	0.0878487	0.1642599	0.5412096	0.7925195	0.0305881	0.0526721

0	0.5674124	0.3121140	0.7188157	0.4844124	0.0646295	0.2291605	0.4536936	0.6439047	0.0091634	0.0522467
50	0.1507055	0.3018854	0.4074403	0.3452650	0.3294836	0.2706603	0.6645520	0.7328592	0.0321023	0.0574490
100	0.0351282	0.2945563	0.4121590	0.3293115	0.4828770	0.2530248	0.6907587	0.8331509	0.0114547	0.0752261
150	0.0223410	0.3749420	0.4514083	0.2710542	0.3852762	0.2689829	0.7278013	0.7897001	0.0151148	0.0473104
200	0.0087094	0.3573217	0.4723073	0.2981207	0.3695283	0.2246324	0.5336427	0.6443133	0.0100323	0.0580435
250	0.0134836	0.4419938	0.4482247	0.2789260	0.4100766	0.2311566	0.7641552	0.8161833	0.0171550	0.0407783
300	0.0138090	0.4064247	0.3477372	0.2118324	0.4316599	0.1427085	0.7810907	0.8087334	0.0124857	0.1252098
350	0.0057363	0.4609254	0.3728964	0.2499055	0.5051788	0.1832816	0.6028634	0.6430828	0.0266614	0.0702162
400	0.0148083	0.5090137	0.4263519	0.2786076	0.4172065	0.2374208	0.6630397	0.8371152	0.0045282	0.0567767
450	0.0164615	0.3877118	0.3697427	0.2422745	0.3914815	0.2235558	0.6495292	0.7462199	0.0070577	0.0422219
500	0.0073772	0.3977569	0.2952061	0.3074969	0.2973144	0.2417995	0.4599591	0.5875650	0.0050564	0.0552417
550	0.2743282	0.4482153	0.6318038	0.1516885	0.1254188	0.1865753	0.5124126	0.7269568	0.0281842	0.0767700
600	0.3225621	0.3344716	0.6403113	0.1504496	0.0507158	0.2145112	0.5332433	0.7108429	0.0092622	0.0602267
