YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.2314898	0.3059130	0.5853886	0.4307009	0.3298765	0.3692516	0.3875083	0.0035891	0.2058270	0.2040212
0.8617326	0.0593279	0.0438471	0.4486033	0.5893246	0.2609480	0.7259751	0.0013742	0.2746480	0.6154640
0.6419216	0.1041907	0.4052994	0.0062874	0.3106712	0.3866972	0.5268275	0.0276290	0.7044878	0.3232031
0.0389009	0.4188680	0.5638389	0.4367033	0.3962283	0.3554120	0.8241384	0.3114550	0.0526322	0.1772590
0.2626977	0.4353005	0.6961660	0.1782904	0.0885346	0.5061877	0.5787793	0.0039053	0.3886377	0.1221390
0.4024238	0.2216461	0.5005140	0.4793944	0.0895584	0.5873589	0.6743292	0.0251524	0.3570727	0.1533304
0.1166500	0.4918408	0.6308432	0.0006260	0.0375377	0.5152476	0.7228447	0.0325922	0.1397601	0.1802247
0.0666751	0.4048003	0.7490452	0.2488471	0.0842996	0.7809693	0.6721729	0.0033159	0.2584554	0.1555639
0.1069409	0.3876562	0.7888773	0.1478614	0.0709690	0.6012777	0.7678899	0.0468849	0.2023567	0.0737084
0.2606496	0.2991861	0.6811959	0.0156544	0.0980937	0.6658337	0.5308193	0.0178110	0.1390144	0.1614414
