YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4927440530154854	0.0	0.0
-0.9743372935336083	0.0	-0.46620458108372986	0.2830869581150024	0.5237704512294449	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	-0.2690071836048604	0.6543288621217079	-0.6579955853521824	0.0	0.0	0.0	0.0
-0.7259019350167364	0.0	-0.23433989332988858	0.03230733285379994	-0.005671058632054193	0.0	-0.2790251849219203	-0.019407484913244843	0.361885298932266	0.0
0.0	0.0	0.0	0.0	0.2389801302090354	0.0	-0.567483821650967	0.0	0.9785469255450336	-0.7812120947055519
0.0	0.0	0.0	0.22192385676970172	0.0	0.0	0.0	0.0	0.13992110821820478	0.0
-0.030984166776761413	0.0	0.0	-0.0744972017062695	0.6191783525612272	-0.4837348503060639	0.0	0.0	0.9672528840175985	0.0
0.0	-0.35064481873996556	0.0	-0.19265165994221878	0.4734166091404922	-0.8441770218778402	0.0	0.0	0.618497128555846	0.0
-0.4356426380109042	0.0	0.0	-0.207139248021865	0.10105838129334821	0.0	-0.8914387268014252	-0.7581743649207056	0.0	0.0
-0.2611853510607034	-0.1984763853251934	-0.22910391981713474	-0.4760209000604094	0.6963391042411394	0.0	0.0	0.0	0.0	-0.9274898159783334
