"Time"	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C

0	0.2042392	0.9896886	0.2695412	0.3588586	0.0818347	0.3957460	0.2364309	0.5634343	1.0026280	1.0655737
50	0.2371283	1.0636717	0.2044897	0.6243194	0.0737860	0.3804932	0.2525749	0.5196700	1.0218794	0.8970954
100	0.2628319	1.0295090	0.1714394	0.6560102	0.0561745	0.2598428	0.2796438	0.5027618	0.8423642	0.9049326
150	0.2484830	1.0497889	0.1639661	0.7006915	0.0739941	0.1600680	0.2582622	0.4469179	1.0208079	0.9882789
200	0.2150922	1.0553934	0.1203165	0.6491695	0.0473138	0.2190658	0.2555666	0.4332323	0.8638328	0.9427880
250	0.1806009	0.9632288	0.1224381	0.6311199	0.0326684	0.1823035	0.2698905	0.4115234	0.9250261	0.9429197
300	0.1766524	0.9952591	0.1319433	0.6864912	0.0282619	0.2158347	0.2503852	0.4642781	0.9263915	0.9627799
350	0.1984368	0.8921289	0.0945328	0.6585556	0.0284213	0.2566948	0.2817314	0.5902543	0.9007978	1.0544219
400	0.2101491	0.8826161	0.1336299	0.6444886	0.0532017	0.2086592	0.2749748	0.5249506	0.9361453	0.9410312
450	0.1831627	0.9432794	0.1393976	0.6398158	0.0466223	0.2323274	0.2324863	0.6279720	0.9593206	0.9224355
500	0.1929645	1.0282149	0.1136564	0.6502455	0.0572794	0.2716828	0.2240747	0.6831991	0.9161689	0.9398430
550	0.2062776	0.8876347	0.1288789	0.4244681	0.0470669	0.3075576	0.2157749	0.5912556	1.0039872	1.0040400
600	0.2213657	0.9404236	0.1737839	0.3525020	0.0414273	0.3619360	0.2479724	0.5717409	1.0165697	1.0332456
650	0.1928498	1.0371497	0.2512217	0.3512675	0.0510784	0.3804082	0.2653245	0.5261721	1.0016057	1.0356515
700	0.2262971	0.9646747	0.2242135	0.3833950	0.0291261	0.3369261	0.3126018	0.5412132	0.9488789	1.0957279
750	0.1878546	1.0160258	0.2567579	0.3329339	0.0612561	0.3072469	0.2817285	0.5843258	0.8818256	1.0584261
800	0.1741868	1.1366634	0.2643876	0.3760811	0.0590399	0.3408252	0.2348435	0.5572401	0.8910006	0.9049436
850	0.1813120	0.9883650	0.2734018	0.3422733	0.0666333	0.3460585	0.2362076	0.6121175	0.9388119	0.9738924
900	0.1816394	1.1042917	0.2243255	0.3401630	0.0524481	0.3804214	0.2226125	0.6064217	0.9918159	0.9881432
950	0.1550189	1.0683641	0.2813355	0.3788535	0.0481538	0.4598447	0.2092059	0.5529843	0.9254197	0.9738900
1000	0.1984790	1.0332552	0.2298394	0.3941852	0.0487499	0.4465700	0.2345967	0.5311024	1.0078028	0.9724509

0	0.2042392	0.9896886	0.2695412	0.3588586	0.0818347	0.3957460	0.2364309	0.5634343	1.0026280	1.0655737
50	0.1855183	0.9020820	0.3246072	0.3231562	0.0364601	0.1551072	0.2429611	0.2642408	0.9416038	0.9729751
100	0.1910749	1.0714168	0.3508344	0.2813421	0.0334926	0.1032507	0.2295694	0.1616719	0.8790993	0.9988565
150	0.2234472	1.0320523	0.4023923	0.1855890	0.0537087	0.0557379	0.3224247	0.1824285	0.9505077	0.8863914
200	0.2597233	0.9902983	0.5216074	0.1105420	0.0480608	0.0368901	0.4054599	0.1530051	0.9169263	1.0569206
250	0.2448263	1.0545458	0.6891323	0.0622221	0.0383523	0.0243189	0.4345710	0.1461184	0.9927298	1.0548919
300	0.2459608	0.9858730	0.8765985	0.0610573	0.0507119	0.0156878	0.4972146	0.0749930	1.0236727	1.0959205
350	0.2330742	0.9597416	0.8730663	0.0415172	0.0368234	0.0072849	0.6309081	0.0911008	0.9568555	1.0467310
400	0.2438324	0.9100829	0.9639816	0.0450683	0.0378081	0.0085627	0.6845600	0.0952899	0.9434155	0.9920734
450	0.2481773	0.9466565	0.9631840	0.0550069	0.0485260	0.0006609	0.6044205	0.1349851	1.0200383	1.0237203
500	0.2688700	1.0053588	0.9893959	0.0472418	0.0525363	0.0000836	0.4967696	0.0992949	1.0032110	1.0885546
550	0.2491248	0.9664125	0.9830053	0.0491450	0.0415331	0.1374107	0.4902695	0.4035985	0.9552644	1.0780900
600	0.2342020	0.9477086	0.9495524	0.0941852	0.0230755	0.2068807	0.3595614	0.5736591	0.9567779	1.0462646
650	0.2360106	0.9081120	0.8667528	0.1693093	0.0219389	0.2822640	0.2712656	0.5673628	0.9396649	1.0814934
700	0.2667603	0.8910911	0.7506463	0.2538151	0.0403253	0.3455179	0.3087376	0.5749519	0.9123688	1.0027023
750	0.2471728	0.9631876	0.6807147	0.2554482	0.0633185	0.2980339	0.2582876	0.5997816	0.9665046	0.9665074
800	0.2784969	1.0397716	0.5344710	0.2739986	0.0582804	0.3180936	0.2389801	0.5881352	0.9350107	1.0650530
850	0.2061385	1.0005154	0.4826900	0.3579757	0.0442765	0.3133677	0.2586535	0.6210541	0.9190841	0.9637484
900	0.2565125	0.9699870	0.3870910	0.3725869	0.0758016	0.3363814	0.2431477	0.6010354	0.9711597	0.9990045
950	0.2803676	0.8840949	0.3136041	0.3545633	0.0718212	0.3316644	0.2540846	0.5874297	0.9899446	0.9527338
1000	0.2592058	0.9156917	0.3148213	0.3388962	0.0538303	0.4290338	0.2479760	0.4866714	1.0450678	1.0220810

0	0.2042392	0.9896886	0.2695412	0.3588586	0.0818347	0.3957460	0.2364309	0.5634343	1.0026280	1.0655737
50	0.1867647	1.0708117	0.0989702	0.5045116	0.0476851	0.1704920	0.2657039	0.1430219	0.9892337	1.0305575
100	0.1949461	0.8936283	0.0649634	0.5174626	0.0466541	0.0658230	0.3808747	0.0596103	0.8841920	0.9641225
150	0.2173558	0.8716545	0.0429872	0.3869630	0.0421801	0.0391996	0.5960672	0.0523168	0.8684002	1.0972059
200	0.2519514	0.6989442	0.0462279	0.4015407	0.0359061	0.0075731	0.8197899	0.0504807	0.9921578	1.0307947
250	0.2717258	0.6739196	0.0430766	0.4146329	0.0349216	0.0036819	0.7927097	0.0480273	0.9394293	1.0133811
300	0.3667014	0.4413446	0.0512606	0.4027098	0.0486563	0.0010141	0.8322043	0.0353894	0.9809505	1.0000988
350	0.4720276	0.3752642	0.0526001	0.3336203	0.0661557	0.0014451	0.9105578	0.0310575	0.9149233	0.9615216
400	0.6277585	0.5326895	0.0348612	0.3881530	0.0857331	0.0038792	0.8655797	0.0349011	0.8708773	0.9858731
450	0.6770727	0.4599724	0.0488847	0.3916879	0.1357974	0.0003885	1.0107072	0.0273426	1.0592551	0.9942726
500	0.6916472	0.4397395	0.0604087	0.4030605	0.1565981	0.0009830	0.9959330	0.0172517	0.8761668	0.9857813
550	0.6627343	0.5962504	0.2502490	0.1669765	0.1974021	0.1644051	0.6132501	0.4826785	0.8916817	1.0610756
600	0.5377113	0.8402285	0.4470512	0.1515335	0.1579295	0.2499924	0.3359792	0.6031491	0.9295599	1.0271943
650	0.4235742	0.8967113	0.5986560	0.1768162	0.1672283	0.2379416	0.2526621	0.6020742	0.9701360	1.0457258
700	0.2922449	0.8953738	0.6100168	0.2108226	0.1399314	0.2581134	0.2729739	0.6200334	0.9113874	1.0564817
750	0.2523157	0.9320231	0.5223055	0.2566839	0.1222970	0.3136642	0.2560555	0.5434144	0.9897004	0.9482340
