"Time"	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C

0	0.7523326	0.1061887	0.4159744	0.2164043	0.6366484	0.6120392	0.1018144	0.4431506	0.0435052	0.6874953
50	0.6464272	0.1112139	0.4607715	0.2119723	0.6997362	0.6410475	0.2316977	0.4057795	0.0466764	0.4470448
100	0.4922552	0.1111868	0.6016427	0.1611127	0.7534809	0.5670160	0.3624724	0.3124331	0.0819503	0.4244299
150	0.3591467	0.1182339	0.5194350	0.1321944	0.7799730	0.6820849	0.4605432	0.3415706	0.1205385	0.2788596
200	0.4136307	0.0783078	0.6036588	0.1464508	0.7127332	0.8479556	0.3973560	0.3738812	0.1805094	0.2586371
250	0.3691232	0.1132667	0.6650337	0.2122327	0.7476967	0.6727160	0.4181225	0.2368269	0.2045170	0.1876686
300	0.3998317	0.1000864	0.6576972	0.1849436	0.7445688	0.5929059	0.4917610	0.1773126	0.2568427	0.2041424
350	0.2769196	0.1410963	0.5842601	0.1999180	0.7381246	0.7735239	0.4442241	0.1273128	0.2377513	0.2408266
400	0.3033682	0.0864584	0.7253297	0.1385181	0.6691847	0.8611860	0.5590960	0.1086473	0.2210153	0.2396505
450	0.3154640	0.0554178	0.6046468	0.1512117	0.6495391	0.8347694	0.4908645	0.1349392	0.1955979	0.2602553
500	0.3754572	0.1027590	0.6358320	0.0843961	0.7773490	0.7910589	0.4338571	0.1712126	0.1741823	0.1775390
550	0.4197028	0.0942086	0.6226738	0.1223400	0.8256503	0.7344339	0.3728046	0.1648622	0.3156267	0.3779453
600	0.6770193	0.0854339	0.5213605	0.1708054	0.8065093	0.6298313	0.2090919	0.1458692	0.2716615	0.6737245
650	0.5914049	0.0985090	0.3565636	0.1666642	0.6300889	0.6895722	0.2273074	0.1098499	0.0932915	0.5960183
700	0.6653951	0.0976057	0.4322793	0.1335265	1.0184072	0.7597639	0.3056950	0.1468952	0.0948107	0.7300849
750	0.5046803	0.1052218	0.4575886	0.1246222	0.6676003	0.5790973	0.2875171	0.3094828	0.1428800	0.7855151
