"Time"	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W

0	0.6806140	0.7841404	0.7753651	0.0973126	0.0978968	0.1819405	0.7428316	0.6819101	0.0689706	0.7271311
50	0.4900869	0.6882991	0.7153160	0.2145306	0.1051247	0.0948314	0.7170351	0.7601641	0.0442254	0.8636913
100	0.6428086	0.6612701	0.1631091	0.6926145	0.2033669	0.0424337	0.5183188	0.7421008	0.0475969	0.7857160
150	0.4951309	0.7722678	0.0568849	0.8218475	0.3406691	0.0249359	0.6730146	0.7631305	0.0466030	0.6768720
200	0.5889707	0.7868764	0.0111453	0.6027905	0.4739714	0.0167379	0.5730562	0.6073708	0.0706714	0.8067775
250	0.7140110	0.8129154	0.0154448	0.7451255	0.5307746	0.0178065	0.7205497	0.6754828	0.0729724	0.7630886
300	0.6902747	0.6210016	0.0030860	0.6199169	0.6986879	0.0186387	0.7522368	0.6788834	0.0758124	0.8161988
350	0.5070496	0.7518894	0.0065349	0.7269091	0.6801553	0.0166530	0.5797265	0.6786889	0.1007953	0.8489669
400	0.7299631	0.8470330	0.0052716	0.7735935	0.6529361	0.0100402	0.6178724	0.8076027	0.0697094	0.7340032
450	0.8127735	0.6766390	0.0262858	0.7157454	0.6142175	0.0055952	0.6938691	0.6877127	0.0841022	0.8136331
500	0.7785704	0.6598978	0.0194318	0.7425945	0.6105056	0.0080015	0.8266753	0.6576359	0.1249378	0.7698518
550	0.7039831	0.7385345	0.0103079	0.6368001	0.5466450	0.0584547	0.8967574	0.7165440	0.0684577	0.6977800
600	0.5836545	0.7391131	0.0524559	0.5082813	0.5472491	0.1283799	0.6761155	0.6405386	0.1395045	0.7257382
650	0.7550506	0.7227687	0.0447078	0.4195779	0.4457685	0.1101897	0.6849827	0.8147898	0.1179404	0.8403258
700	0.6988414	0.7970113	0.0872723	0.3128679	0.3739194	0.0977781	0.6868434	0.7223236	0.0418216	0.7856696
750	0.5178476	0.7171122	0.2162776	0.2548722	0.3114102	0.1080831	0.7067849	0.7778593	0.0737324	0.7652457
800	0.5138163	0.6976913	0.4897529	0.1734000	0.3041697	0.1512055	0.8111473	0.7258542	0.0602016	0.6652200
850	0.5836551	0.7092302	0.6380363	0.0786216	0.1894425	0.2083837	0.7603784	0.8262331	0.0831547	0.8229721
900	0.4794225	0.8628530	0.5520299	0.0858363	0.1204880	0.1394402	0.8611734	0.7388961	0.1012077	0.8937255
950	0.5082603	0.7797782	0.6579790	0.0879696	0.1274367	0.1108450	0.7705992	0.6949752	0.0740605	0.9103002
1000	0.5947383	0.7185103	0.6000143	0.0710111	0.1144562	0.1384978	0.8799549	0.6329977	0.0757038	0.6761471

0	0.5297062	0.7809982	0.6825797	0.0826509	0.0949315	0.1735254	0.6026522	0.7301492	0.0576323	0.8201780
50	0.5643108	0.7234546	0.3448371	0.1814386	0.0898515	0.0974686	0.7002586	0.7588250	0.0428148	0.4618048
100	0.6035880	0.8728449	0.1590177	0.2304881	0.1160889	0.1242217	0.6553754	0.8062312	0.1314684	0.2266737
150	0.5950703	0.6160601	0.1378238	0.2194048	0.1182028	0.1813366	0.5692113	0.7408081	0.2043588	0.1021930
200	0.5289315	0.7738863	0.0477660	0.2576523	0.1812570	0.2013101	0.7317831	0.7805410	0.3137957	0.1130268
250	0.6338651	0.7108410	0.0529015	0.3254782	0.1745378	0.1866004	0.6710025	0.7850945	0.3931240	0.1166708
300	0.5261117	0.7279085	0.0535571	0.3079029	0.1451162	0.1752768	0.7148825	0.7641243	0.2783445	0.1150670
350	0.3931905	0.7845959	0.0388350	0.2594494	0.1647254	0.1402020	0.6603079	0.8077494	0.4099613	0.0985220
400	0.5172928	0.7811870	0.0478657	0.2376561	0.1924632	0.1300595	0.6197749	0.6756520	0.4621286	0.0592747
450	0.5700566	0.6604664	0.0635259	0.2096521	0.2323355	0.1113401	0.6844077	0.6621282	0.4760480	0.0679060
500	0.4813990	0.4890151	0.0966139	0.1709283	0.1900241	0.1590859	0.7056157	0.6795885	0.3698026	0.0435886
550	0.5284791	0.7341490	0.3215249	0.1829538	0.1742579	0.1181460	0.6635781	0.6593596	0.3154212	0.3587568
600	0.4830787	0.7929938	0.5385354	0.1613041	0.2295439	0.0937635	0.7566939	0.7364636	0.2643461	0.6662304
650	0.5379536	0.7666907	0.6199322	0.0788670	0.1662342	0.1183320	0.8006558	0.6913073	0.1304206	0.8342715
700	0.5959723	0.7237683	0.7005512	0.1039227	0.1098164	0.2199610	0.6014597	0.7173939	0.0607678	0.6403128
