YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.0000028	0.0760020	0.6887541	0.6929372	0.7574005	0.5462889	0.4501808	0.8052651	0.9829620	0.0362906
0.9999956	0.0000027	0.6887562	0.6929396	0.7574033	0.5462876	0.4501800	0.8052661	0.9829624	0.0362904
0.3586906	1.0000000	0.0000000	0.5690471	0.5384752	0.7417821	0.9750587	0.1002741	0.3423542	1.0000000
0.9367509	0.0760020	0.6887576	0.0000049	0.7574051	0.5462868	0.4501794	0.8052666	0.9829627	0.0362902
0.9366439	0.0761101	0.4687278	0.1198115	0.0000001	0.5494651	0.4561790	0.7937526	0.9632310	0.0629952
0.9367562	0.0759966	0.7467249	0.7801345	0.9999989	0.0000022	0.4497928	0.8060481	0.9844286	0.0340058
0.9367561	0.0759966	0.7466162	0.7800752	0.9998696	0.0492151	0.0000000	0.8059827	0.9843870	0.0340276
0.9367399	0.0760132	0.6217951	0.5645269	0.5324863	0.7472807	1.0000000	0.0000005	0.9802953	0.0403035
0.9367399	0.0760132	0.6220008	0.5649575	0.5330786	0.7467276	0.9974359	0.0297913	0.0000001	0.0402848
0.9367509	0.0760019	0.6892542	0.6938938	0.7600975	0.5434254	0.4451202	0.8149132	0.9999901	0.0000043
