YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.0000024	0.6661487	0.0447023	0.8982723	0.0851476	0.2974263	0.9875783	0.8803946	0.8165258	0.2231048
0.0430628	0.0000002	0.0447022	0.8982725	0.0851476	0.2974261	0.9875787	0.8804099	0.8165521	0.2230831
0.4010093	0.6678205	0.0000045	0.8982733	0.0851474	0.2974253	0.9875801	0.8804742	0.8166620	0.2229923
0.3565607	0.5999074	0.0486108	0.0000000	0.7252081	0.9999999	0.8454950	0.9228742	0.9375036	0.1569237
0.4262420	0.7080262	0.0447138	0.8980799	0.0000000	0.2976830	0.9869242	0.8423937	0.7450351	0.2773122
0.4024156	0.6703421	0.0446951	0.9999996	0.0702355	0.0000010	0.9879774	0.8770435	0.8088745	0.2281058
0.1329154	0.2677850	1.0000000	0.3326592	0.7252092	1.0000000	0.0000000	0.9229126	0.9375634	0.1568712
0.3195648	0.5456538	0.1495976	0.5571730	0.3546489	0.6633246	0.4551214	0.0000000	0.8979698	0.1755954
0.5775240	0.9869715	0.0759117	0.6832232	0.2079820	0.5291973	0.5988494	0.0251358	0.0000000	1.0000000
0.3358902	0.5696114	0.0446868	0.8985211	0.0850805	0.2970832	0.9884558	0.9376371	0.9999984	0.0000000
