"Time"	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C

0	0.0974103	0.8481436	0.0450119	1.0367633	0.8844383	0.7402904	0.8076780	1.0402381	0.8408525	1.0992975
50	0.0990188	0.9107846	0.0457169	0.9689940	0.8008238	0.8203487	0.7829407	1.0438273	0.9311722	1.0489150
100	0.0843180	0.9820458	0.0184732	0.9191300	0.8335278	0.7402340	0.7899747	0.9657287	0.9648611	1.0443793
150	0.0842024	0.8801597	0.0455581	1.0231042	0.8762742	0.7521766	0.8344421	0.9282327	0.9467211	0.9675154
200	0.1208414	0.8449378	0.0160084	0.9853804	0.8563737	0.7281590	0.8257480	1.0269145	0.9214911	1.0113776
250	0.0869387	0.9761989	0.0191354	0.8425017	0.8869647	0.7490871	0.7899035	1.0215403	0.9608418	0.9764014
300	0.0811809	1.0467377	0.0302192	0.9665052	0.8991225	0.7490338	0.8078913	1.0246310	0.9510585	0.9515844
350	0.0890961	1.0047641	0.0288441	0.9994828	0.8367949	0.7753114	0.8143366	0.9567056	1.0083174	1.0432358
400	0.0828340	1.0449453	0.0283898	1.0352029	0.8486619	0.8064356	0.7122419	1.0248645	1.0180523	0.9962376
450	0.0943011	1.0069249	0.0352727	1.0311399	0.7903081	0.8098584	0.7563303	1.0041030	0.9748932	0.9637738
500	0.0584073	0.9858367	0.0424835	1.0337317	0.8315539	0.7840177	0.7758274	0.9041806	0.9648029	0.8973873
550	0.0738909	0.9538566	0.0405558	1.0562243	0.8635780	0.7300754	0.8512902	1.0057365	0.8379714	1.0056034
600	0.0736985	0.9268931	0.0221455	1.0713410	0.8567613	0.7854414	0.8237639	1.0586072	0.7328054	0.9455256
650	0.0904907	1.0014655	0.0220949	1.0374718	0.8483204	0.8143071	0.8813295	1.0214189	0.7859340	0.9844746
700	0.1254520	1.0061396	0.0288062	0.9520163	0.7525401	0.8106388	0.8369295	0.9960873	0.7727657	1.0035134
750	0.1161092	0.9600513	0.0289680	0.9388062	0.7835323	0.7917267	0.8355250	1.1019306	0.8208081	1.0775151
800	0.0754009	0.9334172	0.0263062	0.9024677	0.7839961	0.7390562	0.7570417	1.0083115	0.8710687	1.0301506
850	0.1052001	0.9656755	0.0316745	0.9222480	0.8252868	0.6759527	0.7780540	0.9870842	0.7773916	0.9702235
900	0.0702367	1.0486860	0.0224373	0.9712183	0.7812485	0.7009803	0.8211135	0.9319081	0.7607423	0.9568996
950	0.0887087	0.9802845	0.0295749	0.9294059	0.7898876	0.8070717	0.7678235	0.9535617	0.7777087	1.0060856
1000	0.0747442	0.9258886	0.0347432	1.0387128	0.8352428	0.7831844	0.8129406	1.1167671	0.6725887	0.9759646

0	0.0974103	0.8481436	0.0450119	1.0367633	0.8844383	0.7402904	0.8076780	1.0402381	0.8408525	1.0992975
50	0.0791004	0.8404056	0.0197014	0.9289924	0.8634025	0.8583094	0.9365693	1.0246244	0.8092223	1.0081182
100	0.0847569	0.7763560	0.0254232	0.9097880	0.8873315	0.7876445	0.9179253	1.0341546	0.8897384	0.9930886
150	0.0897659	0.7820289	0.0386890	0.8832715	0.7740799	0.8039168	1.0193481	1.0037598	0.9766711	0.9315232
200	0.1111135	0.8024173	0.0196338	0.9970264	0.8110215	0.8000815	0.9998640	0.9955160	0.9770639	0.9300346
250	0.0941239	0.7598836	0.0216930	0.9660656	0.8075840	0.8420072	1.0663908	1.0196605	0.9788566	0.9856205
300	0.0829604	0.6952890	0.0333955	0.8959559	0.6939505	0.7949432	0.9645853	0.9953692	0.9142867	0.9663480
350	0.1118805	0.6651605	0.0284476	0.8867710	0.6791023	0.8288501	0.9023547	1.0060592	0.9630581	0.9890124
400	0.1061582	0.7213762	0.0335414	0.9033099	0.7103820	0.8023593	0.9637827	1.0106979	0.9506107	1.1033766
450	0.0697985	0.7028487	0.0348935	0.8625290	0.8018466	0.7089399	1.0044014	0.9832389	0.9983063	1.0063100
500	0.0713895	0.6796577	0.0390004	0.9455654	0.8123987	0.7642875	1.0458214	1.0030886	0.9692312	0.9930216
550	0.0856779	0.7890352	0.0332977	1.0776238	0.7562782	0.8302927	0.9234855	0.9357037	0.9187511	1.1451882
600	0.1196738	0.9016575	0.0340799	0.9524146	0.7753950	0.8308940	0.7699710	0.9685906	0.8145580	1.0451469
650	0.0904276	1.0570585	0.0401556	0.9695568	0.7760481	0.7372180	0.7820585	1.0393762	0.8043706	0.9966530
700	0.0786728	0.9825388	0.0469817	0.9858198	0.7837046	0.8118620	0.7953184	1.0511477	0.7591421	0.9651772
750	0.0640847	1.0275872	0.0397301	0.9656915	0.9179064	0.7832832	0.8417162	1.0112443	0.7357611	1.0004702
800	0.0992977	1.0623834	0.0358107	0.9722505	0.8069313	0.7734321	0.9021584	1.0268538	0.7811185	1.0185619
850	0.0943186	1.0264483	0.0284162	0.8711041	0.8660484	0.7349032	0.7625334	1.0315440	0.7339493	0.9377592
900	0.0916655	1.0166812	0.0245578	0.9568732	0.7974191	0.7462227	0.7889402	0.9983397	0.8436980	1.0007949
950	0.0674115	1.0170711	0.0439735	1.0218180	0.8482964	0.8154056	0.7830277	0.9481906	0.7698989	1.0354044
1000	0.0910137	0.8981305	0.0491103	0.9953064	0.8165583	0.7542539	0.7549832	0.9266970	0.8058052	1.0308213

0	0.0974103	0.8481436	0.0450119	1.0367633	0.8844383	0.7402904	0.8076780	1.0402381	0.8408525	1.0992975
50	0.0248045	0.8977108	0.0305487	0.9391640	0.8059210	0.7794624	0.8006163	0.3954904	0.8028873	0.9513631
100	0.0109718	0.9260363	0.0304513	0.9445264	0.9006781	0.7755909	0.4951009	0.2282675	0.7582038	0.9633542
150	0.0024440	0.9365050	0.0390297	0.9556085	0.8110090	0.7912431	0.2654011	0.1737478	0.8271807	0.9782889
200	0.0023908	0.8658599	0.0448903	1.0790040	0.8202474	0.7092456	0.1493833	0.1982810	0.8573947	0.8489040
250	0.0001782	0.9412830	0.0322036	1.0002312	0.7783279	0.5621142	0.0755427	0.1982241	0.8591893	0.7699508
300	0.0010280	0.9231928	0.0389017	1.0238266	0.9020655	0.4774545	0.0603647	0.1870961	0.9415340	0.7602262
350	0.0000000	0.9401437	0.0430165	1.0774300	0.9891191	0.3712776	0.0516025	0.1700910	0.8842982	0.8505970
400	0.0002800	0.9680510	0.0331125	0.9839377	1.0039116	0.2985133	0.0489295	0.2180953	0.9858985	0.8104881
450	0.0006635	0.9591938	0.0284263	0.9140071	0.9288142	0.2305956	0.0608916	0.1951862	0.9287403	0.8173514
500	0.0018458	0.9113852	0.0316175	0.9366738	0.9081542	0.2486293	0.0859553	0.2053594	0.9113731	0.8687257
550	0.0655659	0.8714077	0.0258217	1.0077436	0.9635807	0.3110336	0.1609049	0.8723477	0.8179917	0.9079702
600	0.0569239	0.9950479	0.0199697	0.9790648	1.0177769	0.4821332	0.4505836	0.9687342	0.7999455	1.0137100
650	0.0869544	1.0564464	0.0396909	1.0305735	0.9029541	0.5581889	0.6390972	1.0341217	0.7899087	1.0849533
700	0.0919612	1.0059346	0.0353286	0.9720784	0.9363730	0.7089988	0.8703583	0.9562997	0.7843326	1.0165191
750	0.1345320	0.9722371	0.0240881	1.0326095	0.9020025	0.8178951	0.8223597	1.0291896	0.7661055	1.0218835
800	0.0668504	1.0131314	0.0190315	1.0104575	0.8554091	0.8294657	0.8745559	0.9992230	0.7704535	1.0174237
850	0.0681456	0.9990359	0.0371982	1.0105066	0.8407191	0.8061707	0.8598118	0.9647349	0.8598503	1.0464902
900	0.0725709	0.8547174	0.0453347	1.0876257	0.8452360	0.8463538	0.8105448	1.0520021	0.8917609	1.0608892
950	0.0916823	0.9325647	0.0248759	1.0685387	0.8855881	0.8287305	0.8716023	0.9279723	0.7185732	1.0103261
1000	0.0914888	0.9874590	0.0447647	1.0659646	0.8870736	0.7576699	0.8753358	0.9327673	0.7618944	1.0248704

0	0.0974103	0.8481436	0.0450119	1.0367633	0.8844383	0.7402904	0.8076780	1.0402381	0.8408525	1.0992975
50	0.0645843	0.7500073	0.0227839	1.0389072	0.9099546	0.8489468	0.8201519	0.9892990	0.9094405	1.0684705
100	0.0862829	0.7895063	0.0206756	0.9696850	0.8397613	1.0049900	0.7664897	0.9731975	0.9781176	1.1017042
150	0.0734656	0.7854177	0.0223661	1.0209574	0.8275997	1.0103269	0.7704029	0.9934797	0.9354861	0.9872037
200	0.0801640	0.7427365	0.0301477	1.0589002	0.8442728	1.0061424	0.8263929	0.9498500	0.9647743	0.9773976
250	0.1028064	0.7772932	0.0257665	0.9638845	0.8542951	0.9824330	0.7735480	1.0042320	0.9015989	0.9675855
300	0.1176563	0.7064605	0.0311332	1.0093925	0.8458113	0.8791874	0.7891635	0.9959370	0.8546197	0.9604110
