YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.9947614	0.3619483	0.5387812	0.9860737	0.0959271	0.5747924	0.7515807	0.1564050	0.9489354	0.2378974
0.9680490	0.1611018	0.4726175	0.9958556	0.0776788	0.7089769	0.8912062	0.4146303	0.8706724	0.3258233
0.9781527	0.3945599	0.4799316	0.8221659	0.1102312	0.6933727	0.9674081	0.6939617	0.9563909	0.2255858
0.9738495	0.4061826	0.4627977	0.8848287	0.0551751	0.7323430	0.9499928	0.6959153	0.8798059	0.0100858
0.9975997	0.3908996	0.4870705	0.5546903	0.1125454	0.6768929	0.9315530	0.4682512	0.8692028	0.2271773
0.9953763	0.3480253	0.3600722	0.9936182	0.0948919	0.8209761	0.8918011	0.4172039	0.8595098	0.0125708
0.9242791	0.3911260	0.4856087	0.9930975	0.0983049	0.6810706	0.9405519	0.8858333	0.9691866	0.2019590
0.8978980	0.1653276	0.4805803	0.7392397	0.1104745	0.6914027	0.9535131	0.5324448	0.6952558	0.2706776
0.9942531	0.3178215	0.3542738	0.5686923	0.1143647	0.6648032	0.8577733	0.2313630	0.9353825	0.2568842
0.8908601	0.1513410	0.4872123	0.9907958	0.1125466	0.6770972	0.9320834	0.7409508	0.5466127	0.3300882
