YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.1631649	0.7891404	0.3853482	0.4298680	0.2376573	0.4789521	0.5282635	0.3087729	0.5174263	0.7336434
0.7988167	0.3621164	0.4230409	0.5871389	0.2047988	0.3788972	0.4696670	0.2772956	0.4924498	0.7604913
0.5137380	0.6468727	0.2009960	0.6290802	0.2705736	0.3300234	0.4035388	0.1578425	0.5097778	0.9145904
0.5516269	0.6893102	0.5274101	0.2540986	0.2262892	0.3229211	0.4174621	0.2233613	0.4826157	0.8485315
0.4454084	0.8307911	0.2380848	0.8126261	0.1607814	0.3079774	0.5943379	0.2493295	0.5608738	0.8275560
0.3888923	0.7159823	0.2869693	0.6379120	0.1008930	0.1160532	0.5044276	0.3054994	0.4259843	0.6840413
0.3180508	0.7716482	0.3009726	0.6295539	0.2845083	0.4477727	0.2161022	0.2009784	0.5723407	0.8572824
0.3803612	0.7586585	0.2939457	0.5438468	0.1328570	0.4766053	0.5126625	0.1082294	0.3896205	0.7851845
0.3633971	0.7875663	0.3926917	0.5806623	0.2582955	0.4041508	0.3340905	0.4254574	0.2455357	0.7911639
0.5678382	0.6854436	0.4264411	0.5731294	0.2807624	0.4199452	0.4285067	0.2883316	0.3910170	0.4936597
