YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.6108660	0.1746339	0.0682362	0.8319877	0.4644421	0.4950508	0.3649678	0.0110362	0.5686343	0.1846100
0.2773328	0.3504327	0.0441034	0.8402330	0.5166589	0.4807311	0.4140668	0.0152523	0.3274817	0.3568230
0.4648848	0.0150431	0.0329487	0.8273332	0.4105592	0.5378662	0.1227685	0.0177410	0.3787356	0.3317281
0.5325379	0.1550217	0.0752701	0.6681121	0.3841655	0.2933315	0.3864712	0.0020255	0.3036644	0.3521893
0.2571797	0.3813341	0.2129400	0.6852082	0.3504868	0.4609207	0.3966546	0.0279149	0.3365038	0.3465620
0.6548739	0.1215978	0.0620746	1.0005646	0.4660241	0.4584499	0.3562047	0.0213392	0.4494893	0.2646876
0.3583987	0.3968784	0.0812245	0.6619345	0.3563044	0.4842331	0.4703197	0.0003170	0.2265473	0.3583988
0.6621633	0.0012563	0.0013364	0.8711772	0.4018656	0.4997181	0.4134987	0.0118521	0.4158964	0.1685139
0.5083003	0.2434141	0.1149128	0.8060380	0.2873271	0.4557338	0.2234153	0.0413291	0.3204310	0.3237915
0.2228765	0.5669954	0.2579486	0.4832107	0.3158313	0.2831369	0.4522827	0.0453183	0.6768066	0.1139573
