YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000000	0.2215730	0.7098588	0.6425127	0.5710521	0.0000000	0.6076359	0.8165950	0.3271888	0.8242841
0.0000000	0.0000000	0.6809854	0.6771539	0.4826466	0.0351903	0.4996915	0.7059100	0.3635743	0.7266654
0.0000000	0.5188061	0.0000000	0.7528930	0.3806918	0.0206685	0.4688477	0.7466584	0.4423352	0.8442423
0.0000000	0.2464880	0.6876190	0.6966671	0.3564389	0.0223916	0.0509578	0.0000000	0.3978575	0.6462827
0.0000000	0.2326705	0.7652338	0.7768212	0.7043130	0.0571471	0.6112859	0.7836632	0.0000000	0.8689230
0.0000000	0.2320307	0.5199768	0.6561992	0.5049791	0.0248407	0.5193442	0.6209411	0.3940072	0.0000000
0.7625856	0.0000000	0.0796018	0.0625192	0.1539144	0.0000000	0.5692049	0.7900920	0.7191782	0.7403203
0.6697599	0.0000000	0.0560705	0.1200301	0.1409597	0.6570748	0.3894071	0.6523990	0.6014836	0.0000000
0.3980474	0.4186212	0.8125684	0.6512256	0.8063078	0.0000000	0.5290668	0.8071063	0.0000000	0.6666504
0.2796666	0.5701962	0.0502721	0.1298184	0.0750433	0.0000000	0.5369585	0.7135778	0.5533850	0.0000000
