YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.1962392	0.6292481	0.1521527	0.2673376	0.2514288	0.6785442	0.3010609	0.5654080	0.6392884	0.7314966
0.0933333	0.6441459	0.0000672	0.1125084	0.1913746	0.7299481	0.1544985	0.2487901	0.6441539	0.6067996
0.1835841	0.8213386	0.0011757	0.0890819	0.2265066	0.6646793	0.0002177	0.0000064	0.6542061	0.7210997
0.2479293	0.5105575	0.0350265	0.1498355	0.3279829	0.6151343	0.0213136	0.0956502	0.5003215	0.5245044
0.2168336	0.8634645	0.0218892	0.1779108	0.3763544	0.5608275	0.3053760	0.7151737	0.7023223	0.6770942
0.0009278	0.7830203	0.1973165	0.0041891	0.1109694	0.9232967	0.1807136	0.0641841	0.6249165	0.5771822
0.0421868	0.7671876	0.4061962	0.0780250	0.0195829	0.6671307	0.2500930	0.3594753	0.5491858	0.8564050
0.1115484	0.6120543	0.2689100	0.1462992	0.1936668	0.6559452	0.4407880	0.2984065	0.4299662	0.3108098
0.4419056	0.6460897	0.0268892	0.2404027	0.3187225	0.5841880	0.0616747	0.1230033	0.5927990	0.5575218
0.0670375	0.5744162	0.1146336	0.3298335	0.1997300	0.9331757	0.0982851	0.0095996	0.7088779	0.8081613
