YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.7158588	0.9909300	1.0000000	0.0008345	0.9999958	0.0479694	0.0011979	0.9781652	0.9999712	0.0250687
0.6760498	0.9913992	0.8693570	0.0304000	0.9747439	0.0000461	0.0013851	0.9273037	0.9999958	0.0140879
0.6796099	0.9152956	0.8765132	0.0044337	0.9747439	0.0479694	0.0013136	0.9272954	0.9998794	0.0386163
0.7957664	1.0000000	0.8366879	0.9515167	0.9997273	0.0496606	0.0454328	0.8347838	0.3178530	0.5812471
0.6788531	1.0000000	0.5921893	0.9378075	0.9747236	0.0002668	0.0021605	0.8705221	0.6307628	0.4204858
0.7139753	1.0000000	0.8933595	0.0113058	0.9999977	0.0000732	0.0436167	0.9868600	0.9997295	0.0492550
0.6788532	1.0000000	1.0000000	0.0005625	0.9747381	0.0001452	0.0443233	0.9074494	0.7996302	0.0226412
0.7284410	1.0000000	0.8574162	0.0023819	0.9747395	0.0480249	0.0438130	0.9600282	0.8313647	0.0328786
0.7618368	1.0000000	0.7013189	0.9519734	0.9999257	0.0006015	0.0455058	0.8316301	0.4613840	0.5942618
0.8001409	0.9621442	0.7339724	0.9775876	0.9999956	0.0001103	0.0442349	0.9149557	0.8562767	0.3426072
