YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.1523852	0.1599417	0.6033435	0.3425665	0.4022048	0.6781233	0.5032113	0.7083644	0.0406535	0.6618818
0.3028800	0.0871138	0.6213324	0.2143077	0.2250116	0.2898777	0.4518390	0.8389488	0.0456649	0.9059131
0.4040065	0.1498603	0.4358076	0.2016984	0.4033038	0.3846019	0.4511141	0.6817999	0.0622920	0.5935417
0.2590512	0.1104650	0.6767837	0.1952578	0.2128920	0.2582541	0.2855251	0.8038799	0.0542025	0.6797972
0.1030147	0.0617186	0.4254454	0.5649896	0.1911754	0.6489735	0.6223889	0.6829882	0.0621443	0.7463607
0.1770692	0.0386832	0.5890227	0.4708265	0.1974310	0.3407078	0.7682184	0.8009517	0.0551668	0.7654235
0.0800023	0.0535937	0.4803988	0.6944201	0.1546135	0.2985442	0.3536500	0.7010692	0.0773832	0.7012559
0.2639732	0.1314912	0.7487247	0.3542189	0.2504934	0.1963716	0.2285583	0.3562780	0.0671388	0.7835670
0.1692716	0.0737412	0.6450979	0.3891320	0.2620167	0.4600755	0.6115811	0.7528715	0.0229483	0.6431349
0.3087093	0.1199630	0.7885717	0.2451519	0.2249908	0.3766358	0.4338476	0.7741894	0.1178241	0.5008671
