YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.1879341	0.6057364	0.5092596	0.1006158	0.2193653	0.9404462	1.0643006	0.0076782	0.4735728	0.9318486
0.8736064	0.5917741	0.4422183	0.2228340	0.2269974	0.8875913	0.8675115	0.1170879	0.2674484	0.8841689
0.6231565	0.5444288	0.5664718	0.1184813	0.2133103	0.8638460	0.8708258	0.0825901	0.3400209	1.0274793
0.5579295	0.7717871	0.5903256	0.3301228	0.2252549	0.9643593	1.0147647	0.0431867	0.4622579	1.1102647
0.0061575	0.0868197	0.9597601	0.4636525	0.4886345	0.2119969	0.0603143	0.6030862	0.1248461	0.8125774
0.3550610	0.0560961	1.1091219	0.7282705	0.9407495	0.1742304	0.0299538	0.8864291	0.0823340	1.0727452
0.0029687	0.0042307	0.9530914	0.3974805	0.5649371	0.1777627	0.0437871	0.9040768	0.1956096	0.9250111
0.3515955	0.0069247	1.0001526	0.5461469	0.7615845	0.1487331	0.0517501	0.8321189	0.2195585	0.9026179
0.7892049	0.5242547	0.5874721	0.1548339	0.2454635	0.9091312	0.4940901	0.2260858	0.2538216	0.9779375
0.5038890	0.2584383	0.7128791	0.3152184	0.2594590	0.7355156	0.2384869	0.3663920	0.1267175	0.9821126
