"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C

0	0.1433431	0.0460173	0.0628561	0.1842990	0.1438162	0.3986913	0.0362966	0.0036609	0.8226782	0.7907055
50	0.1157725	0.0632938	0.0709380	0.1054451	0.3563168	0.5305338	0.0734202	0.0025430	0.6647732	0.6483077
100	0.0955836	0.0547585	0.0374453	0.1769280	0.4514464	0.4742919	0.0735108	0.0057830	0.6978337	0.7728272
150	0.0810864	0.0949495	0.0240480	0.1256857	0.5782694	0.4064881	0.0478910	0.0015885	0.7291158	0.6947590
200	0.1091096	0.0834494	0.0386920	0.1083075	0.7236767	0.4952379	0.0643613	0.0006832	0.7296863	0.7495212
250	0.1272801	0.0970839	0.0222090	0.1175678	0.6909832	0.4928168	0.0624922	0.0033521	0.7903279	0.7339540
300	0.1005886	0.0901375	0.0301513	0.0537938	0.5956120	0.4325440	0.0614917	0.0107509	0.7591086	0.6413165
350	0.0551328	0.0720272	0.0163794	0.1003484	0.8360803	0.5898454	0.0455210	0.0031894	0.7658497	0.6928103
400	0.0728332	0.0590442	0.0311429	0.0525283	0.7567339	0.5296302	0.0364355	0.0011578	0.6435959	0.7783437
450	0.0589721	0.0713798	0.0120685	0.0775596	0.5853792	0.3459681	0.0584115	0.0079471	0.7002589	0.6901078
500	0.0889151	0.0794103	0.0182732	0.0764034	0.6079653	0.4413486	0.0500943	0.0036450	0.7235436	0.7825548
550	0.0658976	0.0751460	0.0209421	0.1126840	0.5199427	0.3389842	0.0506808	0.0047988	0.7549492	0.9181228
600	0.0879958	0.0611621	0.0660636	0.0852665	0.1952228	0.5242481	0.0406587	0.0060982	0.6705048	0.7355640
650	0.0560250	0.0467120	0.0154133	0.0940550	0.2001307	0.4587316	0.0313045	0.0055503	0.6949953	0.6712152
700	0.1103717	0.0493733	0.0098919	0.1060320	0.2401778	0.4872526	0.0276720	0.0196736	0.7198346	0.6608353
750	0.0858999	0.0346487	0.0771231	0.1507005	0.1591280	0.4719352	0.0458036	0.0171931	0.6365111	0.5779422
800	0.1180266	0.0460613	0.0765360	0.0942119	0.1476230	0.4338062	0.0439622	0.0056720	0.6507521	0.6806618
