YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.0000000	0.1369932	1.0402694	0.1086060	0.4469172	0.9078072	0.0494955	0.7066757	0.1688931	0.0918396
0.9137001	0.0000000	0.9656876	0.3829239	0.5477976	1.0012642	0.4937834	0.6749778	0.2730668	0.1606784
0.2825043	0.9974935	0.0000000	0.0502229	0.4126990	0.9527343	0.0193951	0.5921284	0.1034726	0.0436738
0.6717333	0.2628489	0.9394353	0.0000000	0.4954661	0.9968163	0.0225592	0.7311848	0.1206171	0.0581798
0.6780694	0.1819181	0.9850965	0.2413542	0.0000000	1.0236594	0.0374060	0.6655065	0.0805246	0.0289203
0.6349136	0.1732692	1.0338938	0.1971808	0.0770692	0.0000000	0.0191171	0.1075351	0.1137786	0.0489417
0.7129759	0.1921358	0.9953249	0.3486777	0.5761645	1.0784785	0.0000000	0.7249136	0.1657711	0.0599604
0.6419715	0.2181509	0.9456683	0.2483203	0.5496019	1.0182684	0.0211624	0.0000000	0.1631355	0.0660300
0.6298962	0.2487707	1.0335014	0.3246311	0.5379817	1.0271878	0.0211735	0.6107452	0.0012571	0.0522841
0.6807604	0.2031731	1.0275325	0.3264539	0.5610780	1.0423915	0.0431824	0.6272811	0.0819602	0.0000000
