"Time"	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C

0	0.2105210	0.9978444	0.2471232	0.3942037	0.0677717	0.3893762	0.2357250	0.6036785	0.9537433	1.0000000
50	0.2105342	0.9978190	0.2419449	0.4828991	0.0664794	0.3396554	0.2359957	0.5586949	0.9552650	1.0000000
100	0.2105479	0.9976463	0.2165658	0.5819252	0.0605758	0.2906359	0.2373848	0.5216549	0.9561794	1.0000000
150	0.2105900	0.9968716	0.1847262	0.6327049	0.0539011	0.2657304	0.2391751	0.5068956	0.9564330	1.0000000
200	0.2107403	0.9949329	0.1599922	0.6518671	0.0492258	0.2539110	0.2405268	0.5020077	0.9564917	1.0000000
250	0.2111208	0.9915815	0.1446872	0.6569413	0.0465533	0.2479998	0.2413068	0.5005267	0.9565042	1.0000000
300	0.2118310	0.9872997	0.1364647	0.6570571	0.0451775	0.2449172	0.2416931	0.5001018	0.9565068	1.0000000
350	0.2128621	0.9830605	0.1325163	0.6559408	0.0445335	0.2433145	0.2418673	0.4999844	0.9565073	1.0000000
400	0.2140758	0.9796440	0.1308265	0.6548431	0.0442878	0.2425072	0.2419415	0.4999528	0.9565074	1.0000000
450	0.2152771	0.9773043	0.1302092	0.6540583	0.0442543	0.2421169	0.2419718	0.4999445	0.9565074	1.0000000
500	0.2163080	0.9759008	0.1300471	0.6535688	0.0443245	0.2419356	0.2419839	0.4999424	0.9565074	1.0000000
550	0.2170941	0.9752031	0.1322792	0.5463746	0.0449368	0.2915940	0.2415322	0.5449166	0.9549858	1.0000000
600	0.2176067	0.9761796	0.1492771	0.4356656	0.0483642	0.3408263	0.2397272	0.5819558	0.9540714	1.0000000
650	0.2176730	0.9805089	0.1820400	0.3881984	0.0539720	0.3661106	0.2379234	0.5967192	0.9538177	1.0000000
700	0.2170485	0.9863733	0.2156195	0.3770898	0.0593123	0.3780820	0.2367835	0.6016103	0.9537591	1.0000000
750	0.2158309	0.9912667	0.2385522	0.3791544	0.0631609	0.3838762	0.2361954	0.6030927	0.9537466	1.0000000
800	0.2144049	0.9944665	0.2497855	0.3839095	0.0655104	0.3867386	0.2359235	0.6035182	0.9537440	1.0000000
850	0.2131163	0.9962854	0.2532831	0.3879500	0.0667848	0.3881441	0.2358059	0.6036357	0.9537435	1.0000000
900	0.2121278	0.9972201	0.2530532	0.3906713	0.0674069	0.3888173	0.2357572	0.6036674	0.9537434	1.0000000
950	0.2114524	0.9976541	0.2515914	0.3923100	0.0676766	0.3891297	0.2357376	0.6036757	0.9537433	1.0000000
1000	0.2110306	0.9978283	0.2500689	0.3932307	0.0677750	0.3892702	0.2357299	0.6036778	0.9537433	1.0000000

0	0.2105210	0.9978444	0.2471232	0.3942037	0.0677717	0.3893762	0.2357250	0.6036785	0.9537433	1.0000000
50	0.2105342	0.9978254	0.2472498	0.3859711	0.0650932	0.2752267	0.2375892	0.3885874	0.9537433	1.0000000
100	0.2105443	0.9978294	0.2535889	0.3353070	0.0550696	0.1612239	0.2597546	0.2166606	0.9537433	1.0000000
150	0.2105472	0.9979603	0.2840687	0.2556548	0.0463051	0.0942226	0.3328339	0.1515043	0.9537433	1.0000000
200	0.2105261	0.9983489	0.3576606	0.1788784	0.0415454	0.0506276	0.4345300	0.1311480	0.9537433	1.0000000
250	0.2104584	0.9988845	0.4777798	0.1197792	0.0394299	0.0249165	0.5149671	0.1253370	0.9537433	1.0000000
300	0.2103456	0.9993462	0.6203460	0.0808015	0.0385799	0.0121028	0.5615229	0.1237625	0.9537433	1.0000000
350	0.2102158	0.9996491	0.7490203	0.0580979	0.0382516	0.0063909	0.5842466	0.1233500	0.9537433	1.0000000
