"Time"	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C

0	0.0920405	0.0778378	0.3315083	0.2305644	0.4814407	0.7006949	0.6560064	1.0282843	0.3001299	0.9710719
50	0.1166058	0.0803083	0.2769617	0.0758084	0.4499797	0.6476600	0.6698862	0.9570765	0.2408982	0.9877893
100	0.1423177	0.0712827	0.4299151	0.0206260	0.5013310	0.6574847	0.6299419	1.0668437	0.2666100	0.9789448
150	0.1141433	0.0996224	0.5810133	0.0030997	0.4609182	0.6524454	0.6196468	0.9423478	0.2869728	0.9010499
200	0.0863519	0.2158828	0.5947550	0.0038408	0.4645657	0.5905359	0.5698969	1.0644563	0.2808098	0.9248826
250	0.1421113	0.3544797	0.7163128	0.0065384	0.2629710	0.6227588	0.6285733	0.9573315	0.2936456	1.0071633
300	0.2980129	0.4129529	0.6410279	0.0049860	0.1785527	0.5425202	0.5764946	0.9595432	0.2367239	0.9512286
350	0.4612502	0.5030844	0.7213302	0.0000000	0.1880680	0.5691822	0.5838565	0.9617370	0.2244446	0.9470079
400	0.6134737	0.5224429	0.6977075	0.0016581	0.1687462	0.6307765	0.5487702	0.9529913	0.2043538	0.9799868
450	0.6259481	0.5714539	0.6897395	0.0086842	0.1931858	0.6008673	0.5424599	1.0158361	0.1627877	1.1111911
500	0.7805268	0.6092407	0.6545306	0.0106551	0.1829279	0.5006703	0.5493068	0.9493810	0.2366401	1.0714146
550	0.7792942	0.6196999	0.5892702	0.5018630	0.2053484	0.4902465	0.5590245	1.0473913	0.2300713	1.0885769
600	0.7705501	0.5870342	0.2513005	0.6072139	0.1711507	0.5153931	0.5539763	1.0513840	0.2211777	1.0896566
650	0.6275964	0.2570955	0.1677063	0.7325379	0.1718837	0.5935141	0.6325414	0.9951303	0.2001999	1.0272969
700	0.3595531	0.1307773	0.0991124	0.6630703	0.1842029	0.5445582	0.6329062	0.9571658	0.1895999	0.9816885
750	0.1836245	0.0606928	0.0849532	0.6292543	0.3032617	0.6866370	0.6384925	1.0310327	0.1773838	0.9721673
800	0.1243561	0.0382100	0.0925033	0.5683276	0.3706553	0.7094992	0.6333600	1.0403568	0.1952716	1.0132778
850	0.1112489	0.0442490	0.1359390	0.4432995	0.4415594	0.6586910	0.6744712	1.0453670	0.2143306	0.9217757
900	0.1000160	0.0305413	0.1462693	0.3409280	0.5893102	0.6793864	0.5709579	0.9893001	0.2565070	0.8810284
950	0.1085749	0.0377277	0.2010594	0.2313688	0.5911642	0.4652532	0.5350178	0.9936708	0.2977752	0.9993357
1000	0.0906427	0.0170967	0.2752548	0.1818182	0.6655789	0.4432490	0.5788711	1.0247371	0.3398557	1.0475426

0	0.0920405	0.0778378	0.3315083	0.2305644	0.4814407	0.7006949	0.6560064	1.0282843	0.3001299	0.9710719
50	0.2049622	0.4742616	0.3201207	0.1366849	0.3361742	0.6026981	0.6036394	0.9870704	0.2261434	0.9574544
100	0.4741246	0.5722435	0.4667998	0.0957745	0.2344867	0.5613658	0.7009727	1.0535532	0.2389668	0.9127755
150	0.5317345	0.6245872	0.6381427	0.1095586	0.1755272	0.5536006	0.6495989	1.0277261	0.2461828	0.9014645
200	0.6575927	0.7015471	0.7036011	0.1149005	0.1563356	0.6905095	0.6397832	1.0583536	0.2498345	0.9652766
250	0.7768599	0.7607514	0.6801060	0.1352857	0.1394430	0.6719872	0.5961235	1.0402455	0.2308117	0.9256728
300	0.9567391	0.8634314	0.7188839	0.1300414	0.1576323	0.6145626	0.6399952	1.0443137	0.2498602	0.9010041
350	0.9170682	0.8564255	0.6629023	0.1547514	0.1428539	0.6684377	0.6233750	1.0768484	0.2664860	0.9187810
400	0.9597009	0.8608608	0.6504895	0.0969978	0.1682225	0.7409134	0.6452181	1.0222805	0.2720670	0.8548970
450	0.9186791	0.7466976	0.5769686	0.1412461	0.1330667	0.7117144	0.6565527	1.1257261	0.2804601	0.8508982
500	0.9172246	0.8451025	0.6772767	0.1016280	0.1818144	0.7662370	0.6850018	1.0391141	0.3485175	0.8787473
550	0.9074027	0.6035378	0.4868620	0.5908152	0.1154133	0.5945189	0.6239560	1.0287834	0.3366422	0.9511189
600	0.7864900	0.4205371	0.2666342	0.6887130	0.1252924	0.6177366	0.5596823	0.9785510	0.2817316	0.9508213
650	0.6093019	0.2200128	0.1696710	0.7588519	0.1455227	0.7229890	0.6146374	1.0172790	0.2097974	0.9951385
700	0.3524902	0.1048983	0.0931918	0.7866257	0.1683241	0.7165859	0.6246778	0.9588031	0.1837017	0.9425156
750	0.1629551	0.0361020	0.1071126	0.7747039	0.2497178	0.7302076	0.6550067	1.0671471	0.1677151	0.9322937
800	0.0894791	0.0189170	0.1058996	0.5917225	0.4122005	0.6301014	0.6198852	1.0298112	0.2093507	1.0647499
