YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.3663589	0.0756576	0.1722727	0.2241129	0.7660550	0.0087565	0.4763629	0.6794315	0.0507774	0.5395565
0.7546369	0.0608672	0.1697989	0.2193855	0.8087870	0.0227576	0.3684554	0.7846702	0.0499230	0.3822163
0.6931745	0.0997309	0.0609136	0.1821191	0.7875719	0.0312356	0.3405191	0.6985059	0.0632534	0.5372274
0.5443867	0.2283524	0.4311291	0.1030054	0.7456519	0.0074322	0.2883800	0.7346028	0.0448231	0.5358120
0.8048568	0.1258571	0.1275847	0.3306842	0.4525991	0.0283267	0.3737015	0.7874753	0.1045559	0.4999396
0.8705672	0.0556756	0.2063063	0.2286379	0.7172548	0.0043254	0.3322405	0.6763182	0.0597651	0.5017646
0.7218195	0.0802270	0.1879381	0.2560565	0.7401059	0.0120361	0.1752137	0.7565511	0.0580425	0.5144048
0.7044036	0.1162115	0.2052492	0.2533708	0.6600530	0.0224357	0.3375392	0.4246691	0.0887873	0.4918839
0.7298339	0.0800575	0.1504540	0.2041848	0.8434168	0.0187699	0.4220514	0.6577779	0.0648222	0.5387232
0.7368662	0.0571875	0.1468849	0.1885929	0.6145772	0.0541221	0.2634342	0.6802508	0.0483427	0.1607192
