"Time"	YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W

0	0.7073421	1.0000000	1.0000000	0.0440672	0.9999953	0.0479743	0.0437059	0.9750351	0.9999590	0.0271707
50	0.7073422	1.0000000	1.0000000	0.0504755	0.9999955	0.0355719	0.0323475	0.9748939	0.9713583	0.1025577
100	0.7073422	1.0000000	1.0000000	0.1725541	0.9999953	0.0200063	0.0182254	0.9738851	0.9323619	0.1792298
150	0.7073422	1.0000000	1.0000000	0.4144725	0.9999947	0.0101055	0.0093853	0.9719479	0.9010695	0.2190550
200	0.7073422	1.0000000	1.0000000	0.6216050	0.9999940	0.0048432	0.0047912	0.9695610	0.8768785	0.2485554
250	0.7073422	1.0000000	1.0000000	0.7608715	0.9999933	0.0022665	0.0026071	0.9671123	0.8557265	0.2909415
300	0.7073422	1.0000000	1.0000000	0.8527208	0.9999926	0.0010616	0.0016237	0.9646522	0.8300695	0.3430087
350	0.7073422	1.0000000	1.0000000	0.9117533	0.9999917	0.0005155	0.0011994	0.9617895	0.7941502	0.3921195
400	0.7073422	1.0000000	1.0000000	0.9472342	0.9999904	0.0002760	0.0010262	0.9578352	0.7491317	0.4307644
450	0.7073422	1.0000000	1.0000000	0.9672362	0.9999883	0.0001775	0.0009651	0.9521570	0.7016931	0.4576110
500	0.7073422	1.0000000	1.0000000	0.9780270	0.9999853	0.0001443	0.0009573	0.9445454	0.6588290	0.4746752
550	0.7073422	1.0000000	1.0000000	0.9829572	0.9999818	0.0125621	0.0123561	0.9359420	0.6525436	0.4116151
600	0.7073422	1.0000000	1.0000000	0.9798726	0.9999803	0.0281546	0.0265501	0.9312298	0.6994478	0.3425152
650	0.7073422	1.0000000	1.0000000	0.9679125	0.9999822	0.0380581	0.0354527	0.9339391	0.7674340	0.3062305
700	0.7073422	1.0000000	1.0000000	0.9513729	0.9999856	0.0433030	0.0400734	0.9415612	0.8269158	0.2874868
750	0.7073422	1.0000000	1.0000000	0.9348499	0.9999887	0.0458568	0.0422451	0.9499985	0.8691467	0.2752592
800	0.7073422	1.0000000	1.0000000	0.9199349	0.9999910	0.0470423	0.0431921	0.9569786	0.8967815	0.2654053
850	0.7073422	1.0000000	1.0000000	0.9063055	0.9999924	0.0475759	0.0435744	0.9619938	0.9147629	0.2567555
900	0.7073422	1.0000000	1.0000000	0.8932701	0.9999933	0.0478107	0.0437131	0.9653512	0.9269557	0.2488871
950	0.7073422	1.0000000	1.0000000	0.8802751	0.9999939	0.0479120	0.0437539	0.9675401	0.9357782	0.2414849
1000	0.7073422	1.0000000	1.0000000	0.8668611	0.9999942	0.0479546	0.0437589	0.9689772	0.9426337	0.2342625

0	0.7073421	1.0000000	1.0000000	0.0440672	0.9999953	0.0479743	0.0437059	0.9750351	0.9999590	0.0271707
50	0.6967304	0.7688601	1.0000000	0.1918904	0.9999955	0.0479715	0.0437017	0.9750386	0.9999625	0.0217535
100	0.6345371	0.5505160	1.0000000	0.3573708	0.9999956	0.0479703	0.0437000	0.9750402	0.9999710	0.0168790
