"Time"	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W

0	0.1198514	0.6420372	0.9999801	0.0555326	0.1060440	0.8736660	0.9025520	0.0449873	0.2597954	0.1365085
50	0.1203000	0.6186432	0.8105276	0.0555309	0.1062699	0.8559516	0.9050755	0.0451370	0.2430714	0.2540494
100	0.1309936	0.5220109	0.6978871	0.0555333	0.1125502	0.7631663	0.9208240	0.0457400	0.2376978	0.3856624
150	0.1752741	0.4265347	0.6619934	0.0555701	0.1396747	0.6450240	0.9433453	0.0458639	0.2577632	0.4717637
200	0.2597505	0.3704935	0.6513488	0.0558204	0.1982607	0.5517821	0.9603161	0.0451137	0.2890642	0.5299438
250	0.3587337	0.3446709	0.6482296	0.0572288	0.2821165	0.4900343	0.9690202	0.0441660	0.3160697	0.5708342
300	0.4429731	0.3342561	0.6473157	0.0630141	0.3715765	0.4515988	0.9719057	0.0434817	0.3334534	0.5979179
350	0.5012736	0.3303842	0.6470395	0.0785393	0.4491872	0.4283358	0.9719210	0.0430923	0.3428040	0.6142361
400	0.5364534	0.3290118	0.6469193	0.1063496	0.5076380	0.4146254	0.9710203	0.0428960	0.3472666	0.6232686
450	0.5557712	0.3285051	0.6467350	0.1423402	0.5475436	0.4067977	0.9701220	0.0428037	0.3492286	0.6279580
500	0.5657351	0.3281945	0.6462670	0.1789086	0.5729076	0.4024788	0.9695019	0.0427624	0.3500576	0.6303047
550	0.5679195	0.3582044	0.8341467	0.2100834	0.5876324	0.4049672	0.9676797	0.0426880	0.3769748	0.5282298
600	0.5234333	0.4647760	0.9445552	0.2321320	0.5832445	0.4373655	0.9504264	0.0425057	0.3826949	0.3940884
650	0.4171503	0.5557219	0.9784161	0.2358009	0.5348018	0.5068008	0.9103330	0.0424778	0.3524559	0.2883367
700	0.3064135	0.6038713	0.9888795	0.2086698	0.4396704	0.5990094	0.8760694	0.0427363	0.3157991	0.2188483
750	0.2254556	0.6250076	0.9941323	0.1591777	0.3307442	0.6898541	0.8658416	0.0432308	0.2895434	0.1786263
800	0.1758921	0.6341690	0.9974068	0.1129533	0.2414278	0.7617202	0.8717851	0.0437951	0.2745665	0.1571388
850	0.1483962	0.6384370	0.9990100	0.0831579	0.1818118	0.8103398	0.8819068	0.0442691	0.2668992	0.1462681
900	0.1339882	0.6404682	0.9996420	0.0676727	0.1465412	0.8398285	0.8903073	0.0445920	0.2631443	0.1409852
950	0.1266976	0.6413913	0.9998655	0.0605755	0.1270586	0.8563838	0.8958171	0.0447835	0.2613394	0.1385002
1000	0.1230989	0.6417841	0.9999413	0.0575579	0.1167123	0.8651653	0.8990322	0.0448873	0.2604877	0.1373661

