YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.3644822	0.7918767	0.5911144	1.0000000	0.9750007	0.9999917	0.7004745	0.9667025	1.0000000	0.8467276
0.5570486	0.6672396	0.5911145	1.0000000	0.9346223	0.9991707	1.0000000	1.0000000	0.7961491	0.9681247
0.4247660	0.5868330	0.6149320	0.8738417	0.7199459	0.9999942	1.0000000	0.6923404	0.7969156	0.7525013
0.6162720	0.6236432	0.5911145	1.0000000	0.9995385	0.9999877	0.7270132	0.6311800	1.0000000	0.6925504
0.3420198	0.7664407	0.6702706	0.9624880	1.0000000	0.9991704	0.9856463	0.9759947	0.7692050	0.8264524
0.3895787	0.8044766	0.6765984	0.8825288	1.0000000	0.9991618	0.7560936	1.0000000	0.9942815	0.8363622
0.6884795	0.5710297	0.5911144	1.0000000	1.0000000	0.9999929	0.9557518	1.0000000	0.9007723	0.5214165
0.6884795	0.5710297	0.5911144	1.0000000	1.0000000	0.9999953	1.0000000	0.4779076	1.0000000	0.8116366
0.6407913	0.5706246	0.5911144	1.0000000	1.0000000	0.9991707	1.0000000	0.8454485	0.8389823	0.8309043
0.4271381	0.6886231	0.7274654	0.9507748	0.8847617	0.9991707	1.0000000	0.4619787	0.9373173	0.7829079
