YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.7942328	0.0196019	0.2999787	0.6636005	0.1285711	0.8358971	0.7557431	0.6854604	1.0781366	0.8865282
0.9286303	0.8992011	0.9997442	0.0798228	0.3181495	0.7226883	1.0363483	0.5933654	0.9834594	1.0162995
0.6182300	0.0087675	0.2556877	0.7662685	0.3179154	0.6084289	0.7866536	0.6450013	1.0171179	1.0337272
0.8343562	0.0636747	0.2925365	0.7115503	0.1459825	1.0187597	0.9863548	0.8020623	0.9641318	0.9823184
0.8823077	0.3723080	0.3319294	0.6095943	0.2155214	0.9648362	0.9954304	0.6353483	0.7478000	0.8769256
0.8570127	0.0019517	0.1422409	0.9918359	0.1576862	1.0541368	0.6897350	0.7169745	1.0127796	0.9702317
0.9558733	0.0184118	0.2536669	0.6064308	0.1375010	0.9793057	0.8908098	0.8467697	1.0766249	0.9972319
0.9801899	0.3173326	0.1146070	0.9512786	0.4500565	0.6499940	1.1222056	0.7401056	1.0333344	0.7540800
0.8872879	0.6120972	0.5140020	0.4269337	0.1652187	1.0139539	0.9353774	0.4732051	0.8516108	0.6629820
0.5799253	0.6268747	0.6581971	0.2916253	0.1386723	1.0325769	1.0189494	0.1930849	0.5524292	0.7079028
