YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0735930	0.6900223	0.9707646	1.0107296	0.2709202	0.4060852	0.0456612	0.9770453	0.0945574	1.0902783
0.1719471	0.3627906	0.9730758	1.0190071	0.2380324	0.4911731	0.0484215	0.9151728	0.1100835	0.9782457
0.1892922	0.6673061	0.4860064	1.0602137	0.2812159	0.5854848	0.0333130	1.0247602	0.1398315	0.9703462
0.1514846	0.6782563	0.9581032	0.4355923	0.2348535	0.5117599	0.0523562	0.9713982	0.0813913	1.0358166
0.1152149	0.7076689	1.0847233	0.9720111	0.1505828	0.5142636	0.0478287	0.9725279	0.1309604	1.1008061
0.1847359	0.6528351	0.8673838	1.1254477	0.0871790	0.1992447	0.0575008	0.9929447	0.0746231	1.0117514
0.1811813	0.8022446	1.1218132	1.0891557	0.3377727	0.7652442	0.0259988	1.0178524	0.2422057	0.9018110
0.1975486	0.4003349	0.9037245	1.0256564	0.1197992	0.3690021	0.1146397	0.5150995	0.0857084	0.9986946
0.0974013	0.6317426	0.9115581	1.0259470	0.2380975	0.5427521	0.0648379	0.7445977	0.0361421	1.0377665
0.6208762	0.5514066	1.0377085	0.9846571	0.2741978	0.4036761	0.0681827	0.7402245	0.1444259	0.5643139
