"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C

0	0.4179598	0.7040890	0.3935965	0.6539156	0.2672148	0.3490409	0.0982283	0.1125670	0.7912535	0.6463062
50	0.4670765	0.6163289	0.3649638	0.6784019	0.3669888	0.3710281	0.3684338	0.0861518	0.7078764	0.7196599
100	0.4005291	0.6473970	0.3678876	0.7406348	0.3712603	0.2647121	0.5748413	0.1158566	0.5973898	0.6603738
150	0.3784192	0.6524488	0.3678004	0.7671697	0.3137983	0.2411224	0.5855586	0.1271805	0.3535293	0.5003486
200	0.3636291	0.7025359	0.4527791	0.6554045	0.3049723	0.2739962	0.5716754	0.1291112	0.2814500	0.6515946
250	0.4337885	0.6204627	0.4168307	0.7142320	0.3059034	0.3076897	0.5248257	0.1658118	0.3091533	0.5571219
300	0.3550844	0.6156890	0.4953189	0.7079279	0.4034848	0.3812690	0.5446575	0.2391306	0.3136932	0.6379459
350	0.3432220	0.6578746	0.3397252	0.7424469	0.2670166	0.2675661	0.5713422	0.2796856	0.2918193	0.5837820
400	0.4347446	0.7006483	0.2796275	0.8885506	0.3944289	0.2455475	0.7138854	0.3165265	0.3084917	0.5933504
450	0.3228715	0.5109237	0.4118626	0.5813525	0.3642147	0.2896162	0.6221679	0.3657658	0.3067249	0.5623823
500	0.3179358	0.5680371	0.3757359	0.6550384	0.2878554	0.1758945	0.6673156	0.2635341	0.3155885	0.5143214
550	0.3419201	0.6634747	0.4044600	0.6586935	0.2420412	0.4019532	0.4608090	0.2964508	0.3203311	0.6114328
600	0.3503824	0.5645620	0.3621090	0.6854444	0.2815172	0.3946700	0.3438797	0.2860986	0.3116690	0.6016470
650	0.4540312	0.6066032	0.3907631	0.6829069	0.2433502	0.2093074	0.3668397	0.2449037	0.3856632	0.7257727
700	0.3583325	0.5206352	0.4282513	0.7104852	0.2381106	0.3442660	0.3095930	0.2502014	0.5685405	0.6880686
750	0.4357822	0.6659357	0.3372976	0.7081458	0.3135316	0.2702089	0.2441121	0.1640724	0.6027784	0.7566885
800	0.4859111	0.7443149	0.3525204	0.7011716	0.2833086	0.2654559	0.1860675	0.1791459	0.6538167	0.6896670
850	0.2585575	0.6163443	0.4605519	0.7981962	0.2634738	0.4337910	0.2312120	0.1120432	0.6026081	0.6298396
900	0.4728152	0.7129523	0.4091598	0.7757375	0.3637627	0.3981659	0.1329813	0.1224110	0.7467991	0.6400486
950	0.3001553	0.5893628	0.4009259	0.7092856	0.3948356	0.2567929	0.1520982	0.0872309	0.6950505	0.7032518
1000	0.3469164	0.6416888	0.3296071	0.6291853	0.3134457	0.3014159	0.1296926	0.1472764	0.7877160	0.8302699

0	0.4838201	0.5426480	0.3496502	0.6963784	0.3087247	0.3549023	0.0506946	0.1090428	0.9356795	0.6846809
50	0.2131694	0.3757940	0.3201089	0.7650639	0.2512976	0.2166438	0.1367901	0.0910003	0.1867418	0.5936280
100	0.2143592	0.5802223	0.4222367	0.7254785	0.1833363	0.2577342	0.1062337	0.0676677	0.1258796	0.6412288
150	0.1302950	0.4332219	0.3909233	0.8595654	0.2673317	0.2957913	0.1659469	0.0733098	0.0790992	0.5103762
200	0.1621080	0.4292215	0.3498884	0.6742704	0.2539529	0.3772414	0.1412926	0.1399359	0.1076413	0.5620202
250	0.1548590	0.3614587	0.3380237	0.7631738	0.2968177	0.3673707	0.1486113	0.1445319	0.0768785	0.4459036
300	0.1861659	0.3965942	0.4293631	0.6863783	0.2982929	0.3880705	0.1431951	0.1544189	0.0978104	0.5253715
350	0.1756147	0.3658974	0.3896540	0.7567558	0.2023635	0.3215536	0.1352234	0.1768932	0.1249230	0.4894953
400	0.1907173	0.4701526	0.4727039	0.7106743	0.2265748	0.4992868	0.1936456	0.1428291	0.0892581	0.5328651
450	0.1532581	0.3300558	0.3545122	0.7921858	0.2391880	0.3721176	0.1615326	0.1461548	0.0981859	0.4823961
500	0.2291400	0.4882219	0.4096004	0.6388418	0.2285168	0.3001039	0.1940561	0.1750856	0.0901597	0.4246749
