YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0495057	0.0008508	0.6462274	0.1930976	0.7647583	0.3275460	0.0002738	0.2550410	0.5268633	0.2814471
0.1790069	0.0175520	0.7022551	0.1695859	0.3314723	0.7280109	0.0028442	0.2433831	0.3939878	0.3872307
0.6100740	0.0588933	0.2729841	0.4594916	0.3606455	0.5105665	0.0843490	0.2518020	0.5417281	0.3664826
0.2253787	0.0225903	0.3889057	0.5022815	0.4191667	0.7274625	0.0484270	0.3005423	0.5843524	0.4978733
0.2938044	0.0019572	0.7947433	0.3524862	0.6669844	0.4715770	0.0626350	0.1470442	0.2667002	0.2173687
0.4383360	0.0043706	0.4503938	0.4709634	0.6188884	0.8747385	0.0858456	0.2997413	0.5473541	0.3281344
0.3473213	0.0008137	0.5887076	0.3163284	0.5410507	0.8149156	0.0538672	0.3237479	0.6696653	0.3305143
0.0391270	0.0121188	0.4472016	0.4485110	0.4976129	0.5674660	0.0693068	0.2013930	0.6246394	0.3645046
0.0172329	0.0052345	0.7913120	0.3552012	0.7375697	0.7062709	0.0001247	0.2236783	0.4581973	0.2775051
0.0030833	0.0043562	0.6775571	0.2618839	0.6631541	0.6150840	0.0017162	0.2390966	0.3120722	0.2031004
