"Time"	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W

0	0.7046956	0.8911670	0.5177625	0.7632426	0.5488552	0.4041281	0.1183958	0.9728227	0.3100345	1.0640961
50	0.8500792	0.8785749	0.5093944	0.9535209	0.6546138	0.5314657	0.1315877	0.9377646	0.3760705	1.0578721
100	0.7742948	0.7778033	0.4926552	1.0080171	0.6307464	0.7499641	0.1186292	0.8838044	0.3302950	1.0342405
150	0.7383962	0.6371467	0.4990683	0.9288607	0.6279935	0.8235350	0.0987047	0.8013194	0.3732137	0.9754295
200	0.8386785	0.4784354	0.4760578	0.9370815	0.6566743	0.8682485	0.1072834	0.8570666	0.3748082	0.8890149
250	0.8389805	0.4550583	0.5035034	1.1088029	0.7093991	0.7793927	0.1143446	0.9669451	0.3240320	0.9748283
300	0.9078168	0.3973106	0.5447184	0.9895719	0.7432196	0.8407256	0.1010944	0.8535779	0.3170576	1.0079925
350	0.8714801	0.3624604	0.6349403	1.1471182	0.6290351	0.8790971	0.1146557	0.9953235	0.3919281	0.9878898
400	0.9058739	0.3911313	0.6261191	0.9671705	0.6432550	0.7617196	0.0996694	0.9794858	0.3620160	0.8862173
450	0.9204630	0.4865124	0.4851175	0.9990195	0.6799287	0.8547730	0.0788200	0.9726147	0.3358493	0.9399438
500	0.8205758	0.4220122	0.5058012	0.9554429	0.7089065	0.8325253	0.1164798	1.0203366	0.2880901	1.0212655
550	0.9016093	0.4112823	0.6136311	0.7882079	0.6380424	0.7047804	0.1451982	0.9122689	0.3700705	0.8823936
600	0.7944204	0.4202302	0.5545671	0.8126419	0.6525730	0.6174921	0.1398188	0.9486197	0.3413793	0.9631303
650	0.8395929	0.5166261	0.5717290	0.8320009	0.6520718	0.6319265	0.1176468	0.9101160	0.3503216	1.0710443
700	0.8351897	0.5816849	0.5397977	0.8253002	0.6185253	0.5078728	0.0817908	0.9513275	0.3538173	1.0585374
750	0.8120942	0.6698186	0.5395063	0.8246270	0.6222802	0.3868046	0.1100117	1.0308681	0.3878243	1.1668604
800	0.8547146	0.8138135	0.4095086	0.7529633	0.5666338	0.4222770	0.1028950	0.9640744	0.4188006	1.0659096
850	0.8436553	0.9093887	0.4857858	0.7362136	0.6352244	0.3965736	0.1344859	1.0439410	0.4133278	1.0140941
900	0.8053065	0.9049520	0.5420526	0.7496194	0.5560948	0.4556369	0.1482634	1.0006895	0.3449681	1.0989041
950	0.7466096	0.8561119	0.4472674	0.6816722	0.5175186	0.4409066	0.1519596	0.8721044	0.3825241	1.0645851
1000	0.7440129	0.8928084	0.3837819	0.7827313	0.5575042	0.4153474	0.1784405	0.8986320	0.4116315	1.0030996

0	0.7046956	0.8911670	0.5177625	0.7632426	0.5488552	0.4041281	0.1183958	0.9728227	0.3100345	1.0640961
50	0.7781515	0.8668319	0.3833330	0.8979958	0.5383917	0.5188420	0.1275853	0.8454585	0.3503819	0.8668128
100	0.7830035	0.9524770	0.4189367	0.9258502	0.4401886	0.3919703	0.1378043	0.8245212	0.3073421	1.0139276
150	0.7256029	0.8295012	0.4023008	0.8951208	0.4260944	0.4326771	0.1179853	0.7708407	0.2633791	0.9977692
200	0.7581491	0.8623018	0.3348098	0.8957378	0.4687757	0.4148691	0.1425101	0.8048315	0.2413872	1.0968292
250	0.8014720	0.8133095	0.3277729	0.8975078	0.5162664	0.4302085	0.1474150	0.8134544	0.2945374	1.0391307
300	0.7443977	0.8145002	0.3353951	0.8739903	0.4817697	0.4185913	0.1783540	0.9379322	0.2482578	0.9403272
350	0.7527157	0.8884873	0.3608980	0.8725017	0.5513317	0.3994657	0.1573599	0.8370306	0.2872761	1.0742081
400	0.7934005	0.9420170	0.3369690	0.8590228	0.4701664	0.4471774	0.1089913	0.8795863	0.2628216	1.0421025
450	0.8275106	0.9517876	0.3164678	0.9857023	0.4628131	0.2757952	0.1108509	0.8450202	0.3045211	1.1110090
500	0.8235929	0.9772632	0.3042624	0.9978241	0.5825795	0.2410856	0.1902724	0.8681067	0.2787871	1.1203371
550	0.7504360	0.8953174	0.4448553	0.8959610	0.5328554	0.3694586	0.1729805	0.9080071	0.3885823	1.1362237
600	0.8550512	0.8834593	0.4267053	0.8358852	0.5566528	0.4603586	0.1226956	0.9451503	0.3330403	1.0307172
650	0.8748537	0.9265320	0.3874308	0.7884750	0.6004166	0.4463741	0.1453838	0.9005264	0.4218545	1.0598177
700	0.8190586	0.9106003	0.4237270	0.8652115	0.6321956	0.3928637	0.1293948	0.8637967	0.4388746	1.0077712
750	0.7710564	0.7965087	0.4569019	0.8270912	0.5963613	0.4098283	0.1401113	0.9127449	0.4083048	1.0507359
800	0.7939117	0.8776834	0.4882201	0.8193266	0.5931934	0.3967179	0.1840482	0.9473853	0.3686186	1.0046931
850	0.8950917	0.8094379	0.4656166	0.7613550	0.5999768	0.4805354	0.1312535	0.9210026	0.4159891	0.9958611
900	0.8867533	0.9316915	0.4593903	0.7670388	0.5298867	0.4893090	0.1449071	1.0599582	0.4291470	0.9125228
950	0.8869506	0.8866684	0.4922728	0.8406575	0.5616581	0.4132210	0.1102268	0.9935447	0.2828920	0.9327837
1000	0.9502381	0.8283435	0.4498653	0.7699968	0.5518218	0.3961902	0.0901509	0.8985304	0.3381563	0.9943490

0	0.7046956	0.8911670	0.5177625	0.7632426	0.5488552	0.4041281	0.1183958	0.9728227	0.3100345	1.0640961
50	0.8383615	0.9943562	0.3880851	0.7181554	0.6618632	0.3118595	0.0946253	0.8365123	0.4479263	0.7930549
100	0.9036020	0.9099082	0.4433452	0.8023562	0.8196680	0.3811705	0.0532778	0.9630844	0.3480521	0.6670275
150	0.7984200	0.9379436	0.5165306	0.8478267	0.9074591	0.3128238	0.0344701	0.9790507	0.2921663	0.5351912
200	0.7684529	0.9634761	0.6655503	0.8606077	0.9661925	0.3388446	0.0091230	0.9540000	0.3116519	0.4693794
250	0.8612362	0.8665579	0.6434623	0.9080239	0.9514982	0.3516380	0.0054876	0.9857636	0.2182436	0.4415621
300	0.8094932	0.9297390	0.7232629	0.8714486	0.8412768	0.3851961	0.0139130	0.9381258	0.2335000	0.4346409
350	0.8171886	1.0120488	0.7623282	0.9008534	0.9172078	0.4738227	0.0144036	0.9887128	0.2363142	0.4704620
400	0.8513500	0.9782180	0.7376200	0.8932742	0.9092428	0.4639421	0.0104746	0.9868898	0.2085549	0.4624640
450	0.9135584	0.8896868	0.6694481	0.8528082	0.9018044	0.4893623	0.0083789	1.0589345	0.2149461	0.4382871
500	0.8466939	0.8252401	0.7176079	0.8567852	0.9077434	0.4574613	0.0045468	0.9085593	0.1932530	0.4173508
550	0.8645051	0.7936191	0.7351809	0.9896516	0.6541194	0.4726192	0.0242263	0.8126607	0.2741255	0.6456542
600	0.8261246	0.7815293	0.5801248	0.8795426	0.5713704	0.4564620	0.0373892	0.8848596	0.2630742	0.8626824
650	0.6871272	0.7958362	0.5194694	0.8147626	0.5355303	0.3738447	0.0979630	0.8375321	0.3367076	1.0005806
700	0.6780848	0.9504247	0.4117831	0.8162774	0.5423125	0.3060135	0.1325170	0.9611986	0.4526086	1.0548757
750	0.7913005	0.9855695	0.3533319	0.7962826	0.5876337	0.3021427	0.1322586	1.0173822	0.4163803	1.0134385
800	0.8259195	0.8931957	0.4132068	0.7883472	0.6981758	0.3368398	0.1055846	0.9719529	0.3943473	0.9874176
850	0.8764784	0.8862011	0.4591144	0.7593548	0.6338705	0.3584715	0.1031058	0.9502178	0.3839958	0.9467798
900	0.8871143	0.8928097	0.5108118	0.8730094	0.5977849	0.3363447	0.1238975	0.8412014	0.3979536	0.9831243
950	0.7973950	0.8914894	0.4550679	0.8438476	0.5341529	0.3752205	0.1317727	0.9236383	0.4226305	1.0813437
1000	0.8277554	0.9294156	0.4521665	0.7705358	0.6075775	0.3976138	0.1014247	0.8312726	0.3568967	0.9770279

0	0.7046956	0.8911670	0.5177625	0.7632426	0.5488552	0.4041281	0.1183958	0.9728227	0.3100345	1.0640961
50	0.8120062	0.7361484	0.4102865	0.7840107	0.5981454	0.4150265	0.0641972	1.0400371	0.3845532	0.6747804
100	0.8310379	0.4453086	0.5386828	0.8952678	0.5697457	0.3445709	0.0527512	0.9442496	0.3185717	0.3868370
150	0.8362738	0.3601690	0.5591209	0.8459538	0.5842795	0.3351366	0.0505777	0.8773287	0.2312054	0.2460263
200	0.8559614	0.3028487	0.4999457	0.9421587	0.5766142	0.3369776	0.0390125	1.0272424	0.1930240	0.2257366
250	0.8789085	0.2532586	0.5384547	0.8277409	0.5520970	0.3801953	0.0442514	0.7948543	0.1520716	0.1445927
300	0.8416422	0.2388051	0.4100429	0.8860350	0.5142230	0.4106715	0.0789243	0.7522171	0.1297666	0.1641663
350	0.7942984	0.2366657	0.4088733	0.8747236	0.5831073	0.3691877	0.0845938	0.7440128	0.1364715	0.1487014
400	0.8040551	0.3019285	0.4686350	0.9222333	0.5457771	0.2727629	0.1065644	0.7706721	0.1138507	0.1329312
450	0.8031289	0.2649296	0.5086311	0.9420363	0.5153722	0.2920897	0.1408065	0.7975752	0.1153682	0.1360265
500	0.8375153	0.2947235	0.4813799	0.8352851	0.5253891	0.3252302	0.1101137	0.7000466	0.0928531	0.1137492
550	0.8179140	0.5380708	0.4566467	0.7880363	0.4787431	0.3209883	0.0905009	0.7402455	0.1595491	0.4161948
600	0.7527774	0.8801414	0.3619974	0.7018863	0.5168665	0.3303585	0.1640706	0.7914728	0.2758035	0.7988231
650	0.7936545	0.9701042	0.3972001	0.8468867	0.5387673	0.3869512	0.1893120	0.8937740	0.3554212	1.0195827
700	0.8382756	0.9192980	0.4797554	0.8818408	0.6173936	0.4375616	0.1813769	0.8851799	0.3337213	0.8886165
750	0.8694990	0.8726575	0.4444697	0.8118995	0.5857903	0.4462565	0.1387487	0.8714346	0.3247597	0.9775968
800	0.8069389	0.8751838	0.4878700	0.8099795	0.5909005	0.4230272	0.1250705	0.8916260	0.3222909	0.9981650
850	0.7733536	0.8171049	0.4609083	0.7663412	0.5446332	0.4227514	0.1662476	0.9676019	0.3870043	1.0266927
900	0.7877511	0.8285837	0.4367420	0.8505509	0.6094892	0.4759166	0.1266719	1.0604787	0.3109492	0.9439312
